	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76	F77	F78	F79	F80	F81	F82	F83	F84	F85	F86	F87	F88	F89	F90	F91	F92	F93	F94	F95	F96	F97	F98	F99	F100
75	1.602500	1.572840	1.725890	1.703440	1.903410	1.722810	1.938600	1.905710	1.857330	2.173350	2.424040	2.219920	2.191440	2.208990	2.321490	2.123170	2.119540	2.179830	2.072240	2.568900	2.638150	2.657180	2.611450	1.956890	1.573050	1.626170	1.541970	1.805620	2.488410	2.763020	2.905640	3.004590	3.014120	3.223040	2.971610	2.798200	3.089560	2.684330	2.711710	2.685310	2.280680	2.380790	2.163890	2.144080	2.468400	2.498230	2.665420	2.660100	3.089520	3.252470	2.943080	3.466830	2.700460	2.998100	2.738290	2.679100	2.471820	2.938330	3.215960	3.523470	3.075910	2.807420	2.788420	3.941970	2.649220	2.625720	2.296700	2.382800	1.922840	1.620890	1.624580	1.732220	1.824190	2.014110	2.042550	2.087720	2.435000	2.183040	2.378770	2.521460	3.238950	3.419410	2.708720	2.596190	3.168360	2.770730	3.005250	2.797890	2.592530	2.546790	2.932660	2.954150	2.932680	3.461010	3.573260	3.408280	3.715830	3.086320	2.997500	2.637130	2.522670	
76	1.602500	1.667360	1.892140	1.632980	1.851260	1.721860	1.787280	1.683100	1.684300	1.700770	2.128280	1.988870	2.168900	2.286630	2.253590	2.254270	1.894860	1.994230	1.713400	1.643810	1.628440	1.608520	1.937420	1.971020	2.040140	2.564840	2.529740	2.647140	2.443960	2.437950	2.570810	2.511270	2.542410	2.554390	2.311980	1.988450	2.136310	1.998830	2.118470	2.000310	2.322680	2.361510	2.512240	2.322720	2.811160	2.643310	2.679390	2.810550	2.649250	2.698760	2.596010	2.752500	2.731890	2.857280	2.626620	2.351000	2.167080	2.223840	2.023070	1.923070	2.274280	2.153470	2.482450	2.901660	2.956140	2.940660	2.955940	3.844160	3.198710	2.636460	2.803060	2.639630	2.887500	3.009700	3.162650	3.177910	3.472610	3.322000	3.135090	3.444610	3.352040	2.665940	2.927520	2.727730	2.822080	2.836110	2.874840	2.827260	2.879550	3.426040	3.520470	2.968910	3.148850	3.240060	3.478620	2.885360	2.987250	3.005210	3.052720	3.134430	2.661650	
77	1.602500	1.497070	1.640090	1.673310	1.869420	1.864580	1.610040	1.782460	1.824140	1.792310	1.953950	1.813010	1.888470	1.859810	2.127420	1.862490	1.930060	1.918270	2.088340	1.910950	2.126940	2.036680	2.055800	2.064730	2.158490	2.181770	2.189570	1.806810	1.987020	1.956500	1.856570	1.930380	2.015740	2.295490	2.644410	2.915280	2.797440	2.379080	2.143830	2.039830	1.682870	1.997190	2.018930	1.824660	2.006460	2.106100	1.860010	1.825510	1.730930	1.903960	1.727740	1.999160	1.958740	1.868530	1.689790	1.729770	1.733680	1.725710	1.890590	2.233430	2.638730	2.450300	2.478170	2.653050	2.557900	2.573430	2.749660	2.484830	2.985610	2.975020	3.117000	3.597490	3.243520	3.181190	2.663920	3.012440	2.782830	2.853740	2.958660	2.736010	3.021420	2.359900	2.766420	2.482580	2.639860	2.817120	2.435130	2.646320	2.562890	2.234240	2.466590	2.580110	2.640940	3.221010	3.236120	3.038110	2.741720	3.009740	2.897500	3.110990	3.008500	
78	1.602500	1.441180	1.650020	1.610340	2.236330	2.338580	2.095000	2.572770	2.216360	2.151270	1.792580	1.557920	1.855570	1.969440	1.870100	2.129770	2.796810	2.744750	1.887990	2.117690	2.205140	2.152970	1.947920	2.283830	2.421950	2.235490	2.886860	2.293870	2.508080	2.213140	1.957930	1.729310	1.746320	1.910930	2.060830	2.165400	2.382310	2.256510	2.438340	2.343110	3.109960	2.897280	2.897120	2.597160	2.486280	2.346330	2.565630	2.437810	2.301120	2.673580	2.537870	2.387600	2.297840	2.338080	2.243190	2.427980	2.468660	2.657620	3.160860	3.306900	2.743260	3.405050	3.167990	3.492760	3.143120	2.859590	2.558220	2.326710	2.951480	3.256480	3.225650	2.467050	1.864610	1.605090	1.530470	1.463500	1.808160	2.436050	2.664880	2.862300	3.248410	3.101770	2.995500	3.633110	3.260540	3.240470	2.981070	2.769580	2.540580	2.237830	2.592230	2.247960	1.902020	1.981210	1.834580	2.135250	2.048310	2.102490	1.856300	1.987550	1.736220	
79	1.602500	1.580790	1.811300	1.806250	2.006060	1.749960	1.604260	1.747170	1.708260	1.773610	1.834820	1.771660	1.832840	1.838090	1.712140	1.575680	1.556430	1.875170	1.678240	2.029930	1.997680	1.836760	2.000720	1.857340	1.765810	1.783760	1.866950	1.878280	1.919160	2.066390	2.193930	2.156240	1.950990	2.126580	2.801720	2.446920	2.334910	2.456830	2.219750	2.517820	1.945550	2.177780	3.022450	3.829560	3.054350	3.080060	3.449210	3.024440	2.747890	2.609730	2.522850	2.164010	3.238240	2.901460	3.059130	2.800800	2.649950	2.702050	2.593680	2.922430	2.600770	2.867660	2.741020	2.912860	3.057580	3.108850	2.915820	3.125030	3.520810	3.412320	3.113710	3.444810	3.456530	3.558430	2.946810	3.169580	3.578450	2.873400	2.787680	2.238650	2.527590	2.925590	2.767280	2.658950	2.202900	2.291260	2.377430	2.525720	3.018160	2.277310	2.779560	2.644550	2.870100	2.746330	2.919100	3.095690	3.049180	2.954400	3.278240	2.772160	3.220230	
80	1.602500	2.035570	1.733280	2.092820	2.089960	2.315560	2.410810	2.590620	2.376580	2.497410	2.690530	2.042710	2.210490	1.946340	1.783380	1.592930	1.737030	1.944030	1.957260	2.129920	2.371880	2.351270	2.163520	2.414260	2.351820	2.306940	2.604610	2.696900	3.110930	3.184750	2.985350	2.645270	2.954810	2.948880	3.275960	3.060380	3.181950	3.361720	3.538130	3.142040	3.083170	3.260990	3.439120	3.425180	3.584840	3.722900	3.510370	3.140090	3.086140	2.965210	2.650690	2.513440	2.465910	2.328740	2.117130	2.059790	2.193040	1.910160	2.272700	2.582020	2.981560	3.052200	2.320230	2.883480	2.712930	2.941590	2.998040	2.380140	2.922110	3.323050	2.844530	2.469820	2.617290	2.637230	2.408210	2.208600	2.434800	2.758300	2.665710	2.512420	2.499110	2.504240	2.700050	2.832990	2.901040	2.898570	3.147250	2.540000	2.816110	2.482850	2.098000	1.890340	2.172550	2.385100	2.294880	2.417870	2.368590	2.826000	2.697910	2.638900	2.656010	
81	1.602500	1.655500	1.744850	1.584120	1.771740	1.881670	1.729760	1.708960	1.784930	1.691360	1.845220	2.035450	1.795020	1.793970	1.796040	1.740520	1.519390	1.541380	1.710350	1.900930	2.183770	2.079700	2.234860	2.405580	2.240560	2.016150	2.036220	1.903210	1.938650	1.752920	1.636380	1.805600	1.922360	1.894500	2.029700	2.147130	2.288780	2.040930	2.059550	2.642730	2.273100	2.706600	2.644360	2.659760	2.298450	2.345740	1.906130	1.807950	2.100340	2.018940	2.051170	1.758010	2.058190	2.070580	2.388080	2.534470	2.475340	2.820710	2.809880	2.772660	2.412250	3.228070	3.473150	3.029340	3.442230	2.717300	2.521420	2.325000	2.602310	2.734180	2.852600	3.334000	3.207220	3.285860	3.644770	3.068800	2.764940	2.945820	3.145900	3.244050	2.901030	2.909340	3.509070	2.840990	3.072540	3.136310	2.731270	2.900830	2.648740	2.554380	2.785680	3.535800	2.688160	3.580080	3.206650	3.159100	3.165360	3.064580	2.851830	2.930460	2.846740	
82	1.602500	1.642270	1.784200	1.630930	1.602310	1.820320	1.947700	1.866740	1.888720	1.986690	1.862920	1.669410	1.592380	1.505000	1.803120	1.934060	2.387090	2.256540	2.159530	2.307620	2.445540	2.684140	2.353950	2.612490	2.833280	2.868980	2.811450	2.536540	2.784650	2.888600	3.156560	2.963610	3.440640	2.938580	3.043120	3.157750	3.013980	3.004100	3.200110	3.114820	3.093210	3.348160	2.627670	2.502780	2.172610	2.166820	2.307810	2.205180	2.265370	2.314360	2.161960	2.391090	3.318040	3.225790	3.094250	3.497800	3.253210	3.503580	3.712940	3.394560	3.437840	3.080890	2.747240	2.446280	2.331600	2.584920	2.256190	2.482490	2.314620	2.544390	2.542790	2.406840	2.371550	2.349270	2.328380	2.420260	2.657700	2.374820	2.275830	2.191890	2.279740	2.076990	2.089440	2.075070	2.620400	3.198230	3.119830	3.983620	2.921570	2.920730	2.901200	2.891460	2.837600	2.953260	3.232960	3.292230	2.522480	2.831020	3.138080	3.194740	3.575660	
83	1.602500	1.581850	1.745470	1.834170	1.754940	1.836810	1.704200	1.795190	1.812460	2.163380	2.309200	2.261390	2.396420	2.573260	2.509980	3.026320	2.653810	3.102910	2.833180	2.602600	2.593970	2.694450	2.568170	2.343710	2.019290	2.466420	2.198860	2.388890	2.769010	2.528390	2.196270	2.484260	2.480940	2.362520	2.035640	2.347170	2.226640	2.273380	2.101890	2.015250	2.200240	2.219830	2.471480	2.714750	2.479700	2.737200	2.997550	2.200260	2.851300	2.871960	2.687260	2.537000	2.834710	3.123310	2.984810	2.953350	3.256710	3.367470	2.990050	2.849590	3.095210	2.735110	3.085810	2.741530	2.857640	2.885730	3.050850	3.286760	3.281880	3.039110	3.302430	3.078200	2.868420	2.776950	3.093320	2.880190	2.749840	2.664150	2.849270	2.853180	2.919800	3.142290	3.318920	2.810730	2.979240	3.090560	2.713510	2.859700	2.944010	3.088000	2.548480	2.539750	3.055660	2.863960	3.206090	3.778500	3.311220	3.631880	3.474400	3.536490	3.109740	
84	1.602500	1.582760	1.802490	2.049150	1.933480	1.906160	1.797880	1.951000	1.780510	1.830200	1.871900	2.208390	2.521520	2.785230	2.783270	2.873510	2.576540	2.485460	2.598420	2.935470	2.242280	2.384790	2.326590	2.404650	2.308970	1.993750	1.680780	1.614990	1.637620	2.039440	2.164290	1.977460	2.312670	2.329650	2.233790	1.986590	2.001450	1.883490	1.873380	2.257580	2.320750	2.486280	2.029830	2.097290	2.012230	2.069250	2.108740	2.385930	2.010210	2.036930	2.015130	1.772100	1.889200	1.714370	1.684930	1.724440	1.896820	1.750640	1.868170	1.615760	1.868280	1.980230	1.835410	2.075740	2.085160	2.279560	2.539080	2.524960	2.158480	2.365430	2.171650	2.205400	2.214610	2.255310	2.404280	2.559930	2.785310	3.117270	3.320050	3.580120	3.345320	3.171500	2.754790	2.667580	2.563760	2.598710	2.581490	3.144160	2.890950	3.626460	3.187400	2.814900	2.417630	2.549990	2.121320	1.995780	2.507940	2.576350	2.475080	2.520090	2.434080	
85	1.602500	1.622400	1.671250	1.611570	1.557860	1.611870	1.650470	1.909440	1.632860	1.590590	1.676930	1.783620	1.699530	1.814550	1.993910	1.942400	1.801200	1.725870	1.872430	1.905430	2.243710	2.236430	2.625950	2.565860	2.182440	2.109780	2.356080	2.366750	2.036520	2.341110	2.454340	2.073580	2.169740	2.141350	2.356050	2.251470	2.112870	1.907740	2.294860	2.162880	2.009260	2.173870	2.650380	2.152260	2.605700	2.818620	2.725060	3.219860	2.720180	3.299710	2.725040	2.993540	2.941210	2.795380	2.987810	2.595970	3.421010	2.742820	3.168120	2.748940	2.819580	2.860930	3.018070	2.601340	2.836810	3.059880	3.227880	2.815970	2.588230	2.855350	2.874900	2.702710	2.688220	2.607490	2.434690	2.639690	2.683160	2.670510	2.860550	2.558280	3.346480	2.926760	3.242900	3.359550	2.895800	3.002640	2.503300	2.635070	2.581430	2.407360	2.778870	2.113130	2.066820	2.767590	2.343580	2.035000	2.060620	1.914940	1.911770	1.838690	2.016230	
86	1.602500	1.666900	1.747110	1.650950	1.829700	1.734560	1.887060	2.097160	2.023680	1.851770	2.004570	1.766240	1.824210	1.979270	1.806860	1.869250	2.300150	2.180990	2.401790	2.257420	2.102500	2.003980	2.291710	2.141750	2.107370	1.888960	1.886790	1.941060	1.956050	2.013240	2.061150	1.969660	2.220430	1.994260	2.266240	2.446860	2.161390	2.720030	2.579960	2.916190	2.666530	2.617130	3.015140	2.942120	3.028550	3.193790	3.016750	3.010560	2.798190	2.767010	2.587360	2.885350	2.628660	2.455780	2.694860	3.295070	3.407140	3.092930	3.293490	3.118690	3.259430	3.162370	3.233790	2.656730	3.179140	2.671460	2.752890	2.750250	2.773950	3.083500	2.902570	2.922960	2.813870	2.807490	2.110150	2.003060	2.089920	2.688270	2.694440	2.994070	2.887380	3.205180	3.163620	3.004340	2.890240	3.235210	3.094630	2.877430	3.096310	3.097670	3.960070	3.174480	3.183930	2.998230	2.646270	2.428140	2.350730	2.386220	2.348720	2.280810	2.189850	
87	1.602500	1.773380	1.946760	1.660450	1.718370	1.842440	1.869300	1.902480	2.061000	2.317220	2.061890	1.821770	1.529130	1.603430	1.876450	2.144360	2.560630	2.729480	2.641660	3.027960	3.147310	2.586220	2.198670	1.953380	1.969390	1.536890	1.546540	1.828350	2.247470	2.408280	2.175470	2.454050	2.859700	2.697910	3.043650	3.393600	3.384430	3.325790	3.567480	3.487310	3.218320	2.846000	3.229020	3.062420	3.243050	3.060410	2.856710	3.187640	3.028630	2.950370	3.398240	3.182800	3.294770	2.932450	3.133500	2.943930	3.169940	3.687000	3.236770	2.494140	3.086560	2.492390	2.545770	2.406180	2.174270	2.487360	2.846420	2.583810	2.810230	2.550010	2.773230	2.660230	3.110910	2.922450	3.606760	3.176700	3.025370	3.676290	2.756170	3.481570	3.753470	3.451350	2.794510	2.651260	2.407230	2.524790	2.517870	2.624810	2.593760	2.911920	3.040990	2.941290	2.912650	2.716380	2.687590	3.152920	2.870730	3.291420	3.102190	2.961640	2.654260	
88	1.602500	1.611290	1.543330	1.679880	1.965610	1.929960	1.775940	1.682030	1.781600	1.833350	1.642110	2.242040	1.900830	2.003730	1.865420	1.660140	1.747270	1.958460	1.862760	2.302250	2.232330	2.240500	2.082980	1.908140	1.966510	1.732490	1.885230	1.774220	2.077880	2.174330	2.304260	2.623090	2.807110	2.687620	2.887430	2.872170	2.953570	2.946390	3.012450	3.214790	2.669590	2.916100	2.894850	2.702820	3.005970	2.457010	2.901500	2.775350	2.693400	2.709710	2.381050	2.211930	2.448360	2.465410	2.425010	2.347280	2.274340	2.109720	1.894990	1.796020	1.777660	1.915780	2.052690	2.378640	2.144350	2.221560	2.298640	2.015260	2.674380	2.788060	3.083260	3.062990	2.752600	2.726590	2.745800	2.451820	2.974230	2.863100	3.440790	3.259520	3.016420	3.172740	2.833630	2.811780	2.774980	3.016720	2.744270	2.523950	3.106850	2.604350	2.843730	2.854920	2.990560	2.733060	3.142870	3.348040	3.609660	3.517320	3.136360	3.223670	2.757200	
89	1.602500	1.614440	1.807640	1.831710	1.819960	1.762430	1.801820	1.907840	2.147180	2.029460	2.272950	2.402820	2.341340	2.163360	2.428970	2.528270	2.452570	2.210140	2.269980	2.341220	2.234780	2.207660	2.241480	2.242580	2.003240	2.180900	2.213000	2.912800	3.017130	3.629280	3.125850	3.384780	3.267600	3.225790	3.727940	3.058990	3.577980	2.803400	2.869470	2.573740	2.353920	1.796300	1.991160	2.555470	2.612870	2.602420	2.871190	2.781340	2.661320	3.060130	3.099090	2.865100	3.082850	3.141730	2.900220	2.871240	2.962840	2.697890	2.489590	2.720180	2.342560	1.852440	1.404990	1.962310	1.941350	2.343530	2.720750	2.451650	3.006900	3.398410	2.789760	2.699230	2.818740	3.084580	3.515060	3.203770	3.531890	3.004430	3.200750	2.677370	3.012820	2.953780	3.238290	3.011770	2.601410	2.498150	2.730590	2.680980	2.489590	2.277380	3.099630	2.510530	2.903290	3.110840	2.759810	2.644590	2.836280	3.143140	3.021600	3.360920	2.879030	
90	1.602500	1.669630	1.635520	1.730050	1.821340	1.698570	1.758160	1.754080	1.723610	2.041390	1.842530	1.856320	1.842110	2.075390	1.871420	1.790990	1.740800	1.926400	1.642870	1.839770	1.635380	1.752850	1.718160	1.822040	1.769600	1.798020	2.138560	2.199240	2.130470	2.552960	2.301510	2.695850	2.279000	2.496860	2.732990	2.997220	3.084450	2.830340	3.087900	2.992840	3.132180	2.753420	2.874080	2.838560	2.671860	2.840920	2.765820	2.578520	2.923000	2.521120	2.730940	2.550660	2.007460	2.469510	2.461190	2.812890	2.368420	2.121720	2.561400	2.569970	2.423550	2.401330	2.640470	2.816280	2.673380	3.201220	3.333860	3.227670	2.997060	2.947180	3.045330	2.649720	2.559670	3.256440	2.903020	2.872750	2.606650	3.178120	3.165870	2.714780	2.962440	2.879570	2.846140	2.398490	2.537490	2.868500	2.891840	2.571030	2.917450	2.540330	2.671650	2.639130	3.125770	2.605530	2.979300	3.000020	2.874550	3.119570	3.287350	3.047680	3.456140	
