    After analysis of      3 configurations: 
 -76.500  27.104   0.000
 -76.500  27.552   0.000
 -76.500  28.000   0.000
 -76.500  28.448   0.000
 -76.500  28.896   0.000
 -76.500  29.344   0.000
 -76.500  29.792   0.000
 -76.500  30.240   0.000
 -76.500  30.688   0.000
 -76.500  31.136   0.000
 -76.500  31.584   0.000
 -76.500  32.032   0.000
 -76.500  32.480   0.000
 -76.500  32.928   0.000
 -76.500  33.376   0.000
 -76.500  33.824   0.000
 -76.500  34.272   0.000
 -76.500  34.720   0.000
 -76.500  35.168   0.000
 -76.500  35.616   0.000
 -76.500  36.064   0.000
 -76.500  36.512   0.000
 -76.500  36.960   0.000
 -76.500  37.408   0.000
 -76.500  37.856   0.000
 -76.500  38.304   0.000
 -76.500  38.752   0.000
 -76.500  39.200   0.000
 -76.500  39.648   0.000
 -76.500  40.096   0.000
 -76.500  40.544   0.000
 -76.500  40.992   0.000
 -76.500  41.440   0.000
 -76.500  41.888   0.000
 -76.500  42.336   0.000
 -76.500  42.784   0.000
 -76.500  43.232   0.000
 -76.500  43.680   0.000
 -76.500  44.128   0.000
 -76.500  44.576   0.000
 -73.500   0.224   0.000
 -73.500   0.672   0.000
 -73.500   1.120   0.000
 -73.500   1.568   0.000
 -73.500   2.016   0.000
 -73.500   2.464   0.000
 -73.500   2.912   0.000
 -73.500   3.360   0.000
 -73.500   3.808   0.000
 -73.500   4.256   0.000
 -73.500   4.704   0.000
 -73.500   5.152   0.000
 -73.500   5.600   0.000
 -73.500   6.048   0.000
 -73.500   6.496   0.000
 -73.500   6.944   0.000
 -73.500   7.392   0.000
 -73.500   7.840   0.000
 -73.500   8.288   0.000
 -73.500   8.736   0.000
 -73.500   9.184   0.000
 -73.500   9.632   0.000
 -73.500  10.080   0.000
 -73.500  10.528   0.000
 -73.500  10.976   0.000
 -73.500  11.424   0.000
 -73.500  11.872   0.000
 -73.500  12.320   0.000
 -73.500  12.768   0.000
 -73.500  13.216   0.000
 -73.500  13.664   0.000
 -73.500  14.112   0.000
 -73.500  14.560   0.000
 -73.500  15.008   0.000
 -73.500  15.456   0.000
 -73.500  15.904   0.000
 -73.500  16.352   0.000
 -73.500  16.800   0.000
 -73.500  17.248   0.000
 -73.500  17.696   0.000
 -73.500  18.144   0.000
 -73.500  18.592   0.000
 -73.500  19.040   0.000
 -73.500  19.488   0.000
 -73.500  19.936   0.000
 -73.500  20.384   0.000
 -73.500  20.832   0.000
 -73.500  21.280   0.000
 -73.500  21.728   0.000
 -73.500  22.176   0.000
 -73.500  22.624   0.000
 -73.500  23.072   0.000
 -73.500  23.520   0.000
 -73.500  23.968   0.000
 -73.500  24.416   0.000
 -73.500  24.864   0.000
 -73.500  25.312   0.000
 -73.500  25.760   0.000
 -73.500  26.208   0.000
 -73.500  26.656   0.000
 -73.500  27.104   0.000
 -73.500  27.552   0.000
 -73.500  28.000   0.000
 -73.500  28.448   0.000
 -73.500  28.896   0.000
 -73.500  29.344   0.000
 -73.500  29.792   0.000
 -73.500  30.240   0.000
 -73.500  30.688   0.000
 -73.500  31.136   0.000
 -73.500  31.584   0.000
 -73.500  32.032   0.000
 -73.500  32.480   0.000
 -73.500  32.928   0.000
 -73.500  33.376   0.000
 -73.500  33.824   0.000
 -73.500  34.272   0.000
 -73.500  34.720   0.000
 -73.500  35.168   0.000
 -73.500  35.616   0.000
 -73.500  36.064   0.000
 -73.500  36.512   0.000
 -73.500  36.960   0.000
 -73.500  37.408   0.000
 -73.500  37.856   0.000
 -73.500  38.304   0.000
 -73.500  38.752   0.000
 -73.500  39.200   0.000
 -73.500  39.648   0.000
 -73.500  40.096   0.000
 -73.500  40.544   0.000
 -73.500  40.992   0.000
 -73.500  41.440   0.000
 -73.500  41.888   0.000
 -73.500  42.336   0.000
 -73.500  42.784   0.000
 -73.500  43.232   0.000
 -73.500  43.680   0.000
 -73.500  44.128   0.000
 -73.500  44.576   0.000
 -70.500   0.224   0.000
 -70.500   0.672   0.000
 -70.500   1.120   0.000
 -70.500   1.568   0.000
 -70.500   2.016   0.000
 -70.500   2.464   0.000
 -70.500   2.912   0.000
 -70.500   3.360   0.000
 -70.500   3.808   0.000
 -70.500   4.256   0.000
 -70.500   4.704   0.000
 -70.500   5.152   0.000
 -70.500   5.600   0.000
 -70.500   6.048   0.000
 -70.500   6.496   0.000
 -70.500   6.944   0.000
 -70.500   7.392   0.000
 -70.500   7.840   0.000
 -70.500   8.288   0.000
 -70.500   8.736   0.000
 -70.500   9.184   0.000
 -70.500   9.632   0.000
 -70.500  10.080   0.000
 -70.500  10.528   0.000
 -70.500  10.976   0.000
 -70.500  11.424   0.000
 -70.500  11.872   0.000
 -70.500  12.320   0.000
 -70.500  12.768   0.000
 -70.500  13.216   0.000
 -70.500  13.664   0.000
 -70.500  14.112   0.000
 -70.500  14.560   0.000
 -70.500  15.008   0.000
 -70.500  15.456   0.000
 -70.500  15.904   0.000
 -70.500  16.352   0.000
 -70.500  16.800   0.000
 -70.500  17.248   0.000
 -70.500  17.696   0.000
 -70.500  18.144   0.000
 -70.500  18.592   0.000
 -70.500  19.040   0.000
 -70.500  19.488   0.000
 -70.500  19.936   0.000
 -70.500  20.384   0.000
 -70.500  20.832   0.000
 -70.500  21.280   0.000
 -70.500  21.728   0.000
 -70.500  22.176   0.000
 -70.500  22.624   0.000
 -70.500  23.072   0.000
 -70.500  23.520   0.000
 -70.500  23.968   0.000
 -70.500  24.416   0.000
 -70.500  24.864   0.000
 -70.500  25.312   0.000
 -70.500  25.760   0.000
 -70.500  26.208   0.000
 -70.500  26.656   0.000
 -70.500  27.104   0.000
 -70.500  27.552   0.000
 -70.500  28.000   0.000
 -70.500  28.448   0.000
 -70.500  28.896   0.000
 -70.500  29.344   0.000
 -70.500  29.792   0.000
 -70.500  30.240   0.000
 -70.500  30.688   0.000
 -70.500  31.136   0.000
 -70.500  31.584   0.000
 -70.500  32.032   0.000
 -70.500  32.480   0.000
 -70.500  32.928   0.000
 -70.500  33.376   0.000
 -70.500  33.824   0.000
 -70.500  34.272   0.000
 -70.500  34.720   0.000
 -70.500  35.168   0.000
 -70.500  35.616   0.000
 -70.500  36.064   0.000
 -70.500  36.512   0.000
 -70.500  36.960   0.000
 -70.500  37.408   0.000
 -70.500  37.856   0.000
 -70.500  38.304   0.000
 -70.500  38.752   0.000
 -70.500  39.200   0.000
 -70.500  39.648   0.000
 -70.500  40.096   0.000
 -70.500  40.544   0.000
 -70.500  40.992   0.000
 -70.500  41.440   0.000
 -70.500  41.888   0.000
 -70.500  42.336   0.000
 -70.500  42.784   0.000
 -70.500  43.232   0.000
 -70.500  43.680   0.000
 -70.500  44.128   0.000
 -70.500  44.576   0.000
 -67.500   0.224   0.000
 -67.500   0.672   0.000
 -67.500   1.120   0.000
 -67.500   1.568   0.000
 -67.500   2.016   0.000
 -67.500   2.464   0.000
 -67.500   2.912   0.000
 -67.500   3.360   0.000
 -67.500   3.808   0.000
 -67.500   4.256   0.000
 -67.500   4.704   0.000
 -67.500   5.152   0.000
 -67.500   5.600   0.000
 -67.500   6.048   0.000
 -67.500   6.496   0.000
 -67.500   6.944   0.000
 -67.500   7.392   0.000
 -67.500   7.840   0.000
 -67.500   8.288   0.000
 -67.500   8.736   0.000
 -67.500   9.184   0.000
 -67.500   9.632   0.000
 -67.500  10.080   0.000
 -67.500  10.528   0.000
 -67.500  10.976   0.000
 -67.500  11.424   0.000
 -67.500  11.872   0.000
 -67.500  12.320   0.000
 -67.500  12.768   0.000
 -67.500  13.216   0.000
 -67.500  13.664   0.000
 -67.500  14.112   0.000
 -67.500  14.560   0.000
 -67.500  15.008   0.000
 -67.500  15.456   0.000
 -67.500  15.904   0.000
 -67.500  16.352   0.000
 -67.500  16.800   0.000
 -67.500  17.248   0.000
 -67.500  17.696   0.000
 -67.500  18.144   0.000
 -67.500  18.592   0.000
 -67.500  19.040   0.000
 -67.500  19.488   0.000
 -67.500  19.936   0.000
 -67.500  20.384   0.000
 -67.500  20.832   0.000
 -67.500  21.280   0.000
 -67.500  21.728   0.000
 -67.500  22.176   0.000
 -67.500  22.624   0.000
 -67.500  23.072   0.000
 -67.500  23.520   0.000
 -67.500  23.968   0.000
 -67.500  24.416   0.000
 -67.500  24.864   0.000
 -67.500  25.312   0.000
 -67.500  25.760   0.000
 -67.500  26.208   0.000
 -67.500  26.656   0.000
 -67.500  27.104   0.000
 -67.500  27.552   0.000
 -67.500  28.000   0.000
 -67.500  28.448   0.000
 -67.500  28.896   0.000
 -67.500  29.344   0.000
 -67.500  29.792   0.000
 -67.500  30.240   0.000
 -67.500  30.688   0.000
 -67.500  31.136   0.000
 -67.500  31.584   0.000
 -67.500  32.032   0.000
 -67.500  32.480   0.000
 -67.500  32.928   0.000
 -67.500  33.376   0.000
 -67.500  33.824   0.000
 -67.500  34.272   0.000
 -67.500  34.720   0.000
 -67.500  35.168   0.000
 -67.500  35.616   0.000
 -67.500  36.064   0.000
 -67.500  36.512   0.000
 -67.500  36.960   0.000
 -67.500  37.408   0.000
 -67.500  37.856   0.000
 -67.500  38.304   0.000
 -67.500  38.752   0.000
 -67.500  39.200   0.000
 -67.500  39.648   0.000
 -67.500  40.096   0.000
 -67.500  40.544   0.000
 -67.500  40.992   0.000
 -67.500  41.440   0.000
 -67.500  41.888   0.000
 -67.500  42.336   0.000
 -67.500  42.784   0.000
 -67.500  43.232   0.000
 -67.500  43.680   0.000
 -67.500  44.128   0.000
 -67.500  44.576   0.000
 -64.500   0.224   0.000
 -64.500   0.672   0.000
 -64.500   1.120   0.000
 -64.500   1.568   0.000
 -64.500   2.016   0.000
 -64.500   2.464   0.000
 -64.500   2.912   0.000
 -64.500   3.360   0.000
 -64.500   3.808   0.000
 -64.500   4.256   0.000
 -64.500   4.704   0.000
 -64.500   5.152   0.000
 -64.500   5.600   0.000
 -64.500   6.048   0.000
 -64.500   6.496   0.000
 -64.500   6.944   0.000
 -64.500   7.392   0.000
 -64.500   7.840   0.000
 -64.500   8.288   0.000
 -64.500   8.736   0.000
 -64.500   9.184   0.000
 -64.500   9.632   0.000
 -64.500  10.080   0.000
 -64.500  10.528   0.000
 -64.500  10.976   0.000
 -64.500  11.424   0.000
 -64.500  11.872   0.000
 -64.500  12.320   0.000
 -64.500  12.768   0.000
 -64.500  13.216   0.000
 -64.500  13.664   0.000
 -64.500  14.112   0.000
 -64.500  14.560   0.000
 -64.500  15.008   0.000
 -64.500  15.456   0.000
 -64.500  15.904   0.000
 -64.500  16.352   0.000
 -64.500  16.800   0.000
 -64.500  17.248   0.000
 -64.500  17.696   0.000
 -64.500  18.144   0.000
 -64.500  18.592   0.000
 -64.500  19.040   0.000
 -64.500  19.488   0.000
 -64.500  19.936   0.000
 -64.500  20.384   0.000
 -64.500  20.832   0.000
 -64.500  21.280   0.000
 -64.500  21.728   0.000
 -64.500  22.176   0.000
 -64.500  22.624   0.000
 -64.500  23.072   0.000
 -64.500  23.520   0.000
 -64.500  23.968   0.000
 -64.500  24.416   0.000
 -64.500  24.864   0.000
 -64.500  25.312   0.000
 -64.500  25.760   0.000
 -64.500  26.208   0.000
 -64.500  26.656   0.000
 -64.500  27.104   0.000
 -64.500  27.552   0.000
 -64.500  28.000   0.000
 -64.500  28.448   0.000
 -64.500  28.896   0.000
 -64.500  29.344   0.000
 -64.500  29.792   0.000
 -64.500  30.240   0.000
 -64.500  30.688   0.000
 -64.500  31.136   0.000
 -64.500  31.584   0.000
 -64.500  32.032   0.000
 -64.500  32.480   0.000
 -64.500  32.928   0.000
 -64.500  33.376   0.000
 -64.500  33.824   0.000
 -64.500  34.272   0.000
 -64.500  34.720   0.000
 -64.500  35.168   0.000
 -64.500  35.616   0.000
 -64.500  36.064   0.000
 -64.500  36.512   0.000
 -64.500  36.960   0.000
 -64.500  37.408   0.000
 -64.500  37.856   0.000
 -64.500  38.304   0.000
 -64.500  38.752   0.000
 -64.500  39.200   0.000
 -64.500  39.648   0.000
 -64.500  40.096   0.000
 -64.500  40.544   0.000
 -64.500  40.992   0.000
 -64.500  41.440   0.000
 -64.500  41.888   0.000
 -64.500  42.336   0.000
 -64.500  42.784   0.000
 -64.500  43.232   0.000
 -64.500  43.680   0.000
 -64.500  44.128   0.000
 -64.500  44.576   0.000
 -61.500   0.224   0.000
 -61.500   0.672   0.000
 -61.500   1.120   0.000
 -61.500   1.568   0.000
 -61.500   2.016   0.000
 -61.500   2.464   0.000
 -61.500   2.912   0.000
 -61.500   3.360   0.000
 -61.500   3.808   0.000
 -61.500   4.256   0.000
 -61.500   4.704   0.000
 -61.500   5.152   0.000
 -61.500   5.600   0.000
 -61.500   6.048   0.000
 -61.500   6.496   0.000
 -61.500   6.944   0.000
 -61.500   7.392   0.000
 -61.500   7.840   0.000
 -61.500   8.288   0.000
 -61.500   8.736   0.000
 -61.500   9.184   0.000
 -61.500   9.632   0.000
 -61.500  10.080   0.000
 -61.500  10.528   0.000
 -61.500  10.976   0.000
 -61.500  11.424   0.000
 -61.500  11.872   0.000
 -61.500  12.320   0.000
 -61.500  12.768   0.000
 -61.500  13.216   0.000
 -61.500  13.664   0.000
 -61.500  14.112   0.000
 -61.500  14.560   0.000
 -61.500  15.008   0.000
 -61.500  15.456   0.000
 -61.500  15.904   0.000
 -61.500  16.352   0.000
 -61.500  16.800   0.000
 -61.500  17.248   0.000
 -61.500  17.696   0.000
 -61.500  18.144   0.000
 -61.500  18.592   0.000
 -61.500  19.040   0.000
 -61.500  19.488   0.000
 -61.500  19.936   0.000
 -61.500  20.384   0.000
 -61.500  20.832   0.000
 -61.500  21.280   0.000
 -61.500  21.728   0.000
 -61.500  22.176   0.000
 -61.500  22.624   0.000
 -61.500  23.072   0.000
 -61.500  23.520   0.000
 -61.500  23.968   0.000
 -61.500  24.416   0.000
 -61.500  24.864   0.000
 -61.500  25.312   0.000
 -61.500  25.760   0.000
 -61.500  26.208   0.000
 -61.500  26.656   0.000
 -61.500  27.104   0.000
 -61.500  27.552   0.000
 -61.500  28.000   0.000
 -61.500  28.448   0.000
 -61.500  28.896   0.000
 -61.500  29.344   0.000
 -61.500  29.792   0.000
 -61.500  30.240   0.000
 -61.500  30.688   0.000
 -61.500  31.136   0.000
 -61.500  31.584   0.000
 -61.500  32.032   0.000
 -61.500  32.480   0.000
 -61.500  32.928   0.000
 -61.500  33.376   0.000
 -61.500  33.824   0.000
 -61.500  34.272   0.000
 -61.500  34.720   0.000
 -61.500  35.168   0.000
 -61.500  35.616   0.000
 -61.500  36.064   0.000
 -61.500  36.512   0.000
 -61.500  36.960   0.000
 -61.500  37.408   0.000
 -61.500  37.856   0.000
 -61.500  38.304   0.000
 -61.500  38.752   0.000
 -61.500  39.200   0.000
 -61.500  39.648   0.000
 -61.500  40.096   0.000
 -61.500  40.544   0.000
 -61.500  40.992   0.000
 -61.500  41.440   0.000
 -61.500  41.888   0.000
 -61.500  42.336   0.000
 -61.500  42.784   0.000
 -61.500  43.232   0.000
