    After analysis of      3 configurations: 
 Bulk (1) O-water                        :   at.type -     1;   col.title - o*      
 Bulk (1) H-water                        :   at.type -     2;   col.title - h*      


   ra      rb      o*      h*      
   0.870  37.879   0.000   0.000
   1.450   0.383   0.000   0.000
   1.450   1.148   0.000   0.000
   1.450   1.913   0.000   0.000
   1.450   2.678   0.000   0.000
   1.450   3.444   0.000   0.000
   1.450   4.209   0.000   0.000
   1.450   4.974   0.000   0.000
   1.450   5.739   0.000   0.333
   1.450   6.504   0.000   0.000
   1.450   7.270   0.000   0.333
   1.450   8.035   0.000   0.500
   1.450   8.800   0.000   0.000
   1.450   9.565   0.000   0.000
   1.450  10.331   0.000   0.167
   1.450  11.096   0.333   0.000
   1.450  11.861   0.333   0.000
   1.450  12.626   0.000   0.000
   1.450  13.391   0.000   0.000
   1.450  14.157   0.000   0.000
   1.450  14.922   0.000   0.000
   1.450  15.687   0.333   0.167
   1.450  16.452   0.000   0.167
   1.450  17.218   0.000   0.000
   1.450  17.983   0.000   0.000
   1.450  18.748   0.000   0.500
   1.450  19.513   0.000   0.333
   1.450  20.278   0.000   0.167
   1.450  21.044   0.000   0.000
   1.450  21.809   0.000   0.000
   1.450  22.574   0.000   0.000
   1.450  23.339   0.000   0.500
   1.450  24.105   0.000   0.000
   1.450  24.870   0.000   0.000
   1.450  25.635   0.000   0.000
   1.450  26.400   0.000   0.000
   1.450  27.165   0.000   0.000
   1.450  27.931   0.000   0.000
   1.450  28.696   0.000   0.000
   1.450  29.461   0.000   0.000
   1.450  30.226   0.000   0.000
   1.450  30.992   0.000   0.000
   1.450  31.757   0.000   0.000
   1.450  32.522   0.000   0.000
   1.450  33.287   0.000   0.333
   1.450  34.052   0.000   0.000
   1.450  34.818   0.000   0.000
   1.450  35.583   0.000   0.000
   1.450  36.348   0.000   0.000
   1.450  37.113   0.000   0.000
   1.450  37.879   0.000   0.000
   2.030   0.383   0.000   0.167
   2.030   1.148   0.000   0.000
   2.030   1.913   0.333   0.167
   2.030   2.678   0.000   0.000
   2.030   3.444   0.000   0.167
   2.030   4.209   0.000   0.000
   2.030   4.974   1.000   0.000
   2.030   5.739   0.000   0.167
   2.030   6.504   0.000   0.000
   2.030   7.270   0.000   0.000
   2.030   8.035   0.000   0.000
   2.030   8.800   0.000   0.000
   2.030   9.565   1.000   0.000
   2.030  10.331   0.000   0.667
   2.030  11.096   0.000   0.000
   2.030  11.861   0.000   0.000
   2.030  12.626   0.000   0.000
   2.030  13.391   0.000   0.000
   2.030  14.157   0.000   0.000
   2.030  14.922   0.000   0.000
   2.030  15.687   0.000   0.000
   2.030  16.452   0.000   0.000
   2.030  17.218   0.000   0.000
   2.030  17.983   0.000   0.000
   2.030  18.748   0.000   0.000
   2.030  19.513   0.000   0.000
   2.030  20.278   0.000   0.000
   2.030  21.044   0.000   0.000
   2.030  21.809   0.000   0.000
   2.030  22.574   0.000   0.000
   2.030  23.339   0.000   0.000
   2.030  24.105   0.000   0.000
   2.030  24.870   0.000   0.333
   2.030  25.635   0.000   0.000
   2.030  26.400   0.000   0.000
   2.030  27.165   0.000   0.000
   2.030  27.931   0.000   0.000
   2.030  28.696   0.000   0.000
   2.030  29.461   0.000   0.000
   2.030  30.226   0.000   0.000
   2.030  30.992   0.000   0.167
   2.030  31.757   0.000   0.000
   2.030  32.522   0.000   0.000
   2.030  33.287   0.000   0.167
   2.030  34.052   0.000   0.000
   2.030  34.818   0.000   0.000
   2.030  35.583   0.000   0.000
   2.030  36.348   0.000   0.000
   2.030  37.113   0.000   0.000
   2.030  37.879   0.000   0.000
   2.610   0.383   0.000   0.333
   2.610   1.148   0.000   0.000
   2.610   1.913   0.667   0.333
   2.610   2.678   0.000   0.000
   2.610   3.444   0.000   0.333
   2.610   4.209   0.000   0.000
   2.610   4.974   0.000   0.500
   2.610   5.739   0.000   0.000
   2.610   6.504   0.000   0.000
   2.610   7.270   0.000   0.000
   2.610   8.035   0.000   0.000
   2.610   8.800   0.000   0.000
   2.610   9.565   0.000   0.000
   2.610  10.331   0.000   0.000
   2.610  11.096   0.000   0.000
   2.610  11.861   0.000   0.000
   2.610  12.626   0.000   0.000
   2.610  13.391   0.000   0.000
   2.610  14.157   0.000   0.000
   2.610  14.922   0.000   0.000
   2.610  15.687   0.000   0.000
   2.610  16.452   0.000   0.000
   2.610  17.218   0.000   0.167
   2.610  17.983   0.000   0.000
   2.610  18.748   0.000   0.000
   2.610  19.513   0.000   0.000
   2.610  20.278   0.000   0.000
   2.610  21.044   0.000   0.000
   2.610  21.809   0.000   0.000
   2.610  22.574   0.000   0.000
   2.610  23.339   0.000   0.000
   2.610  24.105   0.667   0.000
   2.610  24.870   0.333   0.167
   2.610  25.635   0.000   0.000
   2.610  26.400   0.000   0.000
   2.610  27.165   0.000   0.000
   2.610  27.931   0.000   0.000
   2.610  28.696   0.000   0.000
   2.610  29.461   0.000   0.333
   2.610  30.226   0.000   0.000
   2.610  30.992   0.000   0.333
   2.610  31.757   0.000   0.000
   2.610  32.522   0.000   0.167
   2.610  33.287   1.000   0.000
   2.610  34.052   0.000   0.000
   2.610  34.818   0.000   0.500
   2.610  35.583   0.667   0.000
   2.610  36.348   0.000   0.500
   2.610  37.113   0.000   0.000
   2.610  37.879   1.000   0.000
   3.190   0.383   0.000   0.000
   3.190   1.148   0.000   0.000
   3.190   1.913   0.000   0.167
   3.190   2.678   0.000   0.333
   3.190   3.444   0.000   0.000
   3.190   4.209   0.000   0.000
   3.190   4.974   0.000   0.000
   3.190   5.739   0.000   0.000
   3.190   6.504   0.000   0.000
   3.190   7.270   0.000   0.000
   3.190   8.035   0.000   0.000
   3.190   8.800   0.000   0.333
   3.190   9.565   0.000   0.000
   3.190  10.331   0.000   0.000
   3.190  11.096   0.000   0.000
   3.190  11.861   0.000   0.000
   3.190  12.626   0.000   0.333
   3.190  13.391   0.000   0.000
   3.190  14.157   0.000   0.000
   3.190  14.922   0.000   0.333
   3.190  15.687   0.000   0.333
   3.190  16.452   0.000   0.000
   3.190  17.218   0.000   0.000
   3.190  17.983   0.000   0.000
   3.190  18.748   0.000   0.000
   3.190  19.513   0.000   0.000
   3.190  20.278   0.000   0.000
   3.190  21.044   0.000   0.500
   3.190  21.809   0.000   0.000
   3.190  22.574   0.000   0.000
   3.190  23.339   0.000   0.500
   3.190  24.105   0.000   0.000
   3.190  24.870   0.000   0.500
   3.190  25.635   0.000   0.000
   3.190  26.400   0.000   0.000
   3.190  27.165   0.000   0.000
   3.190  27.931   0.000   0.000
   3.190  28.696   0.000   0.000
   3.190  29.461   0.000   0.167
   3.190  30.226   1.000   0.000
   3.190  30.992   0.000   0.000
   3.190  31.757   0.000   0.000
   3.190  32.522   0.000   0.333
   3.190  33.287   0.000   0.000
   3.190  34.052   0.000   0.000
   3.190  34.818   0.000   0.000
   3.190  35.583   0.000   0.000
   3.190  36.348   0.000   0.000
   3.190  37.113   0.000   0.000
   3.190  37.879   0.000   0.500
   3.770   0.383   0.000   0.000
   3.770   1.148   0.000   0.000
   3.770   1.913   0.000   0.000
   3.770   2.678   0.000   0.000
   3.770   3.444   0.000   0.000
   3.770   4.209   0.000   0.000
   3.770   4.974   0.000   0.000
   3.770   5.739   0.000   0.000
   3.770   6.504   0.000   0.000
   3.770   7.270   0.000   0.500
   3.770   8.035   0.667   0.000
   3.770   8.800   0.000   0.167
   3.770   9.565   0.000   0.000
   3.770  10.331   0.000   0.000
   3.770  11.096   0.000   0.000
   3.770  11.861   0.000   0.000
   3.770  12.626   0.000   0.167
   3.770  13.391   0.000   0.000
   3.770  14.157   0.000   0.000
   3.770  14.922   0.000   0.000
   3.770  15.687   0.000   0.167
   3.770  16.452   0.333   0.167
   3.770  17.218   0.000   0.333
   3.770  17.983   0.000   0.000
   3.770  18.748   0.000   0.000
   3.770  19.513   0.000   0.000
   3.770  20.278   0.000   0.000
   3.770  21.044   0.000   0.000
   3.770  21.809   1.000   0.000
   3.770  22.574   0.000   0.000
   3.770  23.339   0.000   0.000
   3.770  24.105   0.000   0.000
   3.770  24.870   0.000   0.000
   3.770  25.635   0.000   0.000
   3.770  26.400   0.000   0.000
   3.770  27.165   0.000   0.000
   3.770  27.931   0.000   0.000
   3.770  28.696   0.000   0.000
   3.770  29.461   0.000   0.167
   3.770  30.226   0.000   0.167
   3.770  30.992   0.000   0.000
   3.770  31.757   0.000   0.167
   3.770  32.522   0.000   0.167
   3.770  33.287   0.000   0.000
   3.770  34.052   0.000   0.000
   3.770  34.818   0.000   0.000
   3.770  35.583   0.000   0.000
   3.770  36.348   0.000   0.000
   3.770  37.113   0.000   0.000
   3.770  37.879   0.000   0.000
   4.350   0.383   0.000   0.000
   4.350   1.148   0.000   0.000
   4.350   1.913   0.000   0.000
   4.350   2.678   0.000   0.000
   4.350   3.444   0.000   0.000
   4.350   4.209   0.000   0.000
   4.350   4.974   0.000   0.000
   4.350   5.739   0.000   0.000
   4.350   6.504   0.000   0.000
   4.350   7.270   0.000   0.000
   4.350   8.035   0.333   0.000
   4.350   8.800   0.000   0.500
   4.350   9.565   0.000   0.000
   4.350  10.331   0.000   0.000
   4.350  11.096   0.000   0.000
   4.350  11.861   0.000   0.000
   4.350  12.626   0.000   0.167
   4.350  13.391   0.000   0.167
   4.350  14.157   0.000   0.000
   4.350  14.922   0.000   0.000
   4.350  15.687   0.000   0.000
   4.350  16.452   0.667   0.000
   4.350  17.218   0.000   0.000
   4.350  17.983   0.000   0.000
   4.350  18.748   0.000   0.000
   4.350  19.513   0.000   0.000
   4.350  20.278   0.000   0.000
   4.350  21.044   0.000   0.000
   4.350  21.809   0.000   0.000
   4.350  22.574   0.000   0.000
   4.350  23.339   0.000   0.000
   4.350  24.105   0.000   0.000
   4.350  24.870   0.000   0.000
   4.350  25.635   0.000   0.000
   4.350  26.400   0.000   0.000
   4.350  27.165   0.000   0.000
   4.350  27.931   0.000   0.000
   4.350  28.696   0.000   0.000
   4.350  29.461   0.000   0.167
   4.350  30.226   0.000   0.000
   4.350  30.992   0.000   0.000
   4.350  31.757   0.000   0.000
   4.350  32.522   0.000   0.000
   4.350  33.287   0.000   0.000
   4.350  34.052   0.000   0.000
   4.350  34.818   0.000   0.000
   4.350  35.583   0.000   0.000
   4.350  36.348   0.000   0.000
   4.350  37.113   0.000   0.000
   4.350  37.879   0.000   0.000
   4.930   0.383   0.000   0.000
   4.930   1.148   0.000   0.000
   4.930   1.913   0.000   0.000
   4.930   2.678   0.000   0.000
   4.930   3.444   0.000   0.000
   4.930   4.209   0.000   0.000
   4.930   4.974   0.000   0.000
   4.930   5.739   0.000   0.000
   4.930   6.504   0.000   0.167
   4.930   7.270   0.000   0.000
   4.930   8.035   0.000   0.000
   4.930   8.800   0.000   0.000
   4.930   9.565   0.000   0.000
   4.930  10.331   0.000   0.000
   4.930  11.096   0.000   0.000
   4.930  11.861   0.000   0.000
   4.930  12.626   0.000   0.000
   4.930  13.391   0.000   0.167
   4.930  14.157   0.000   0.000
   4.930  14.922   0.000   0.000
   4.930  15.687   0.000   0.000
   4.930  16.452   0.000   0.000
   4.930  17.218   0.000   0.000
   4.930  17.983   0.000   0.000
   4.930  18.748   0.000   0.000
   4.930  19.513   0.000   0.000
   4.930  20.278   0.000   0.000
   4.930  21.044   0.000   0.000
   4.930  21.809   0.000   0.500
   4.930  22.574   0.000   0.000
   4.930  23.339   0.000   0.000
   4.930  24.105   0.000   0.000
   4.930  24.870   0.000   0.000
   4.930  25.635   0.000   0.000
   4.930  26.400   0.000   0.000
   4.930  27.165   0.000   0.000
   4.930  27.931   0.000   0.000
   4.930  28.696   0.000   0.500
   4.930  29.461   0.000   0.000
   4.930  30.226   0.000   0.000
   4.930  30.992   0.000   0.000
   4.930  31.757   0.000   0.000
   4.930  32.522   0.000   0.000
   4.930  33.287   0.000   0.500
   4.930  34.052   0.000   0.000
   4.930  34.818   0.000   0.000
   4.930  35.583   0.000   0.000
   4.930  36.348   0.000   0.000
   4.930  37.113   0.000   0.000
   4.930  37.879   0.000   0.000
   5.510   0.383   0.000   0.000
   5.510   1.148   0.000   0.000
   5.510   1.913   0.000   0.000
   5.510   2.678   0.000   0.000
   5.510   3.444   0.000   0.000
   5.510   4.209   0.000   0.000
   5.510   4.974   0.000   0.000
   5.510   5.739   0.000   0.333
   5.510   6.504   0.000   0.167
   5.510   7.270   0.000   0.167
   5.510   8.035   0.000   0.000
   5.510   8.800   0.000   0.000
   5.510   9.565   0.000   0.000
   5.510  10.331   0.000   0.000
   5.510  11.096   0.000   0.000
   5.510  11.861   0.000   0.167
   5.510  12.626   0.333   0.000
   5.510  13.391   0.000   0.000
   5.510  14.157   0.000   0.000
   5.510  14.922   0.000   0.000
   5.510  15.687   0.000   0.000
   5.510  16.452   0.000   0.333
   5.510  17.218   0.000   0.000
   5.510  17.983   0.000   0.000
   5.510  18.748   0.000   0.000
   5.510  19.513   0.000   0.000
   5.510  20.278   0.000   0.000
   5.510  21.044   0.000   0.000
   5.510  21.809   0.000   0.000
   5.510  22.574   0.000   0.000
   5.510  23.339   0.000   0.000
   5.510  24.105   0.000   0.000
   5.510  24.870   0.000   0.000
   5.510  25.635   0.000   0.000
   5.510  26.400   0.000   0.000
   5.510  27.165   0.000   0.000
   5.510  27.931   0.000   0.000
   5.510  28.696   0.667   0.000
   5.510  29.461   0.333   0.000
   5.510  30.226   0.000   0.000
   5.510  30.992   0.000   0.000
   5.510  31.757   0.000   0.000
   5.510  32.522   0.000   0.000
   5.510  33.287   0.000   0.000
   5.510  34.052   0.000   0.000
   5.510  34.818   0.000   0.000
   5.510  35.583   0.000   0.000
   5.510  36.348   0.000   0.000
   5.510  37.113   0.000   0.000
   5.510  37.879   0.000   0.000
   6.090   0.383   0.000   0.000
   6.090   1.148   0.000   0.167
   6.090   1.913   0.000   0.000
   6.090   2.678   0.000   0.000
   6.090   3.444   0.000   0.000
   6.090   4.209   0.000   0.000
   6.090   4.974   0.000   0.000
   6.090   5.739   0.333   0.167
   6.090   6.504   0.667   0.000
   6.090   7.270   0.000   0.000
   6.090   8.035   0.000   0.000
   6.090   8.800   0.000   0.000
   6.090   9.565   0.000   0.000
   6.090  10.331   0.000   0.000
   6.090  11.096   0.000   0.000
   6.090  11.861   0.000   0.333
   6.090  12.626   0.000   0.000
   6.090  13.391   0.000   0.000
   6.090  14.157   0.000   0.000
   6.090  14.922   0.000   0.500
   6.090  15.687   0.000   0.000
   6.090  16.452   0.000   0.667
   6.090  17.218   0.000   0.000
   6.090  17.983   0.000   0.000
   6.090  18.748   0.000   0.000
   6.090  19.513   0.000   0.000
   6.090  20.278   0.000   0.000
   6.090  21.044   0.333   0.000
   6.090  21.809   0.000   0.000
   6.090  22.574   0.000   0.000
   6.090  23.339   0.000   0.000
   6.090  24.105   0.000   0.167
   6.090  24.870   0.333   0.000
   6.090  25.635   0.000   0.000
   6.090  26.400   0.000   0.000
   6.090  27.165   0.000   0.000
   6.090  27.931   0.000   0.500
   6.090  28.696   0.000   0.000
   6.090  29.461   0.000   0.500
   6.090  30.226   0.000   0.000
   6.090  30.992   0.000   0.000
   6.090  31.757   0.000   0.000
   6.090  32.522   0.000   0.000
   6.090  33.287   0.000   0.000
   6.090  34.052   0.333   0.000
   6.090  34.818   0.667   0.000
   6.090  35.583   0.000   0.000
   6.090  36.348   0.000   0.167
   6.090  37.113   0.000   0.000
   6.090  37.879   0.000   0.000
   6.670   0.383   0.000   0.333
   6.670   1.148   0.000   0.000
   6.670   1.913   0.000   0.000
   6.670   2.678   0.000   0.000
   6.670   3.444   0.000   0.000
   6.670   4.209   0.000   0.000
   6.670   4.974   0.000   0.167
   6.670   5.739   0.000   0.000
   6.670   6.504   0.000   0.000
   6.670   7.270   0.000   0.000
   6.670   8.035   0.000   0.000
   6.670   8.800   0.000   0.000
   6.670   9.565   0.000   0.000
   6.670  10.331   0.000   0.000
   6.670  11.096   0.000   0.000
   6.670  11.861   0.000   0.000
   6.670  12.626   0.000   0.333
   6.670  13.391   0.333   0.333
   6.670  14.157   0.000   0.000
   6.670  14.922   0.000   0.000
   6.670  15.687   0.000   0.000
   6.670  16.452   0.333   0.000
   6.670  17.218   0.667   0.000
   6.670  17.983   0.000   0.000
   6.670  18.748   0.000   0.000
   6.670  19.513   0.000   0.000
   6.670  20.278   0.000   0.333
   6.670  21.044   0.667   0.167
   6.670  21.809   0.000   0.500
   6.670  22.574   0.000   0.000
   6.670  23.339   0.000   0.000
   6.670  24.105   0.000   0.333
   6.670  24.870   0.667   0.000
   6.670  25.635   0.000   0.000
   6.670  26.400   0.000   0.000
   6.670  27.165   0.000   0.000
   6.670  27.931   0.000   0.000
   6.670  28.696   0.000   0.000
   6.670  29.461   0.000   0.000
   6.670  30.226   0.000   0.000
   6.670  30.992   0.000   0.000
   6.670  31.757   0.000   0.000
   6.670  32.522   0.000   0.000
   6.670  33.287   0.000   0.000
   6.670  34.052   0.000   0.167
   6.670  34.818   0.000   0.000
   6.670  35.583   0.000   0.000
   6.670  36.348   0.000   0.333
   6.670  37.113   0.000   0.000
   6.670  37.879   0.000   0.000
   7.250   0.383   0.000   0.500
   7.250   1.148   1.000   0.000
   7.250   1.913   0.000   0.000
   7.250   2.678   0.000   0.000
   7.250   3.444   0.000   0.000
   7.250   4.209   0.000   0.000
   7.250   4.974   0.000   0.167
   7.250   5.739   0.000   0.167
   7.250   6.504   0.000   0.000
   7.250   7.270   0.000   0.000
   7.250   8.035   0.000   0.000
   7.250   8.800   0.000   0.000
   7.250   9.565   0.000   0.333
   7.250  10.331   0.000   0.333
   7.250  11.096   0.000   0.000
   7.250  11.861   0.000   0.000
   7.250  12.626   0.000   0.167
   7.250  13.391   0.667   0.167
   7.250  14.157   0.000   0.000
   7.250  14.922   0.000   0.000
   7.250  15.687   0.000   0.000
   7.250  16.452   0.000   0.500
   7.250  17.218   0.000   0.000
   7.250  17.983   0.000   0.167
   7.250  18.748   0.000   0.000
   7.250  19.513   0.000   0.000
   7.250  20.278   0.000   0.167
   7.250  21.044   0.000   0.000
   7.250  21.809   0.000   0.000
   7.250  22.574   0.000   0.000
   7.250  23.339   0.000   0.000
   7.250  24.105   0.000   0.000
   7.250  24.870   0.000   0.500
   7.250  25.635   0.000   0.000
   7.250  26.400   0.000   0.000
   7.250  27.165   0.000   0.000
   7.250  27.931   0.000   0.000
   7.250  28.696   0.000   0.000
   7.250  29.461   0.000   0.000
   7.250  30.226   0.000   0.000
   7.250  30.992   0.000   0.000
   7.250  31.757   0.000   0.000
   7.250  32.522   0.000   0.000
   7.250  33.287   0.000   0.000
   7.250  34.052   0.000   0.500
   7.250  34.818   0.000   0.000
   7.250  35.583   0.000   0.000
   7.250  36.348   0.000   0.000
   7.250  37.113   0.000   0.000
   7.250  37.879   0.000   0.000
   7.830   0.383   0.000   0.000
   7.830   1.148   0.000   0.000
   7.830   1.913   0.000   0.000
   7.830   2.678   0.000   0.000
   7.830   3.444   0.000   0.000
   7.830   4.209   0.000   0.000
   7.830   4.974   0.000   0.000
   7.830   5.739   0.000   0.167
   7.830   6.504   0.000   0.000
   7.830   7.270   0.000   0.000
   7.830   8.035   0.000   0.000
   7.830   8.800   0.000   0.000
   7.830   9.565   0.000   0.000
   7.830  10.331   0.000   0.000
   7.830  11.096   0.000   0.000
   7.830  11.861   0.000   0.000
   7.830  12.626   0.000   0.000
   7.830  13.391   0.000   0.000
   7.830  14.157   0.000   0.000
   7.830  14.922   0.000   0.000
   7.830  15.687   0.000   0.000
   7.830  16.452   0.000   0.000
   7.830  17.218   0.000   0.000
   7.830  17.983   0.000   0.333
   7.830  18.748   0.667   0.000
   7.830  19.513   0.000   0.000
   7.830  20.278   0.000   0.000
   7.830  21.044   0.000   0.000
   7.830  21.809   0.000   0.000
   7.830  22.574   0.000   0.000
   7.830  23.339   0.000   0.000
   7.830  24.105   0.000   0.000
   7.830  24.870   0.000   0.000
   7.830  25.635   0.000   0.000
   7.830  26.400   0.000   0.000
   7.830  27.165   0.000   0.000
   7.830  27.931   0.000   0.000
   7.830  28.696   0.000   0.000
   7.830  29.461   0.000   0.000
   7.830  30.226   0.000   0.000
   7.830  30.992   0.000   0.000
   7.830  31.757   0.000   0.333
   7.830  32.522   0.000   0.000
   7.830  33.287   0.000   0.000
   7.830  34.052   0.000   0.000
   7.830  34.818   0.000   0.000
   7.830  35.583   0.000   0.000
   7.830  36.348   0.000   0.000
   7.830  37.113   0.000   0.000
   7.830  37.879   0.000   0.000
   8.410   0.383   0.000   0.000
   8.410   1.148   0.000   0.000
   8.410   1.913   0.000   0.000
   8.410   2.678   0.000   0.000
   8.410   3.444   0.000   0.000
   8.410   4.209   0.000   0.000
   8.410   4.974   0.000   0.500
   8.410   5.739   0.000   0.000
   8.410   6.504   0.000   0.000
   8.410   7.270   0.000   0.000
   8.410   8.035   0.000   0.000
   8.410   8.800   0.000   0.000
   8.410   9.565   0.000   0.000
   8.410  10.331   0.000   0.000
   8.410  11.096   0.000   0.000
   8.410  11.861   0.000   0.000
   8.410  12.626   0.000   0.000
   8.410  13.391   0.000   0.000
   8.410  14.157   0.000   0.333
   8.410  14.922   0.000   0.000
   8.410  15.687   0.000   0.000
   8.410  16.452   0.000   0.000
   8.410  17.218   0.000   0.000
   8.410  17.983   0.000   0.000
   8.410  18.748   0.333   0.000
   8.410  19.513   0.000   0.000
   8.410  20.278   0.000   0.000
   8.410  21.044   0.000   0.000
   8.410  21.809   0.000   0.000
   8.410  22.574   0.000   0.000
   8.410  23.339   0.000   0.000
   8.410  24.105   0.000   0.000
   8.410  24.870   0.000   0.000
   8.410  25.635   0.000   0.000
   8.410  26.400   0.000   0.000
   8.410  27.165   0.000   0.000
   8.410  27.931   0.000   0.000
   8.410  28.696   0.000   0.000
   8.410  29.461   0.000   0.000
   8.410  30.226   0.000   0.000
   8.410  30.992   0.000   0.000
   8.410  31.757   0.000   0.000
   8.410  32.522   0.000   0.167
   8.410  33.287   0.000   0.000
   8.410  34.052   1.000   0.000
   8.410  34.818   0.000   0.000
   8.410  35.583   0.000   0.000
   8.410  36.348   0.000   0.000
   8.410  37.113   0.000   0.000
   8.410  37.879   0.000   0.000
   8.990   0.383   0.000   0.000
   8.990   1.148   0.000   0.333
   8.990   1.913   0.000   0.167
   8.990   2.678   0.000   0.000
   8.990   3.444   0.000   0.000
   8.990   4.209   0.000   0.000
   8.990   4.974   0.000   0.000
   8.990   5.739   0.000   0.000
   8.990   6.504   0.000   0.167
   8.990   7.270   0.000   0.500
   8.990   8.035   0.000   0.000
   8.990   8.800   0.000   0.000
   8.990   9.565   1.000   0.167
   8.990  10.331   0.000   0.167
   8.990  11.096   0.000   0.000
   8.990  11.861   0.000   0.000
   8.990  12.626   0.000   0.000
   8.990  13.391   0.000   0.000
   8.990  14.157   0.000   0.000
   8.990  14.922   0.000   0.167
   8.990  15.687   0.000   0.000
   8.990  16.452   0.000   0.000
   8.990  17.218   0.000   0.000
   8.990  17.983   0.000   0.000
   8.990  18.748   0.000   0.500
   8.990  19.513   0.000   0.000
   8.990  20.278   0.000   0.000
   8.990  21.044   0.000   0.000
   8.990  21.809   0.000   0.000
   8.990  22.574   0.000   0.000
   8.990  23.339   0.000   0.000
   8.990  24.105   0.000   0.167
   8.990  24.870   0.000   0.000
   8.990  25.635   0.000   0.000
   8.990  26.400   0.000   0.000
   8.990  27.165   0.000   0.000
   8.990  27.931   0.000   0.167
   8.990  28.696   0.000   0.000
   8.990  29.461   0.000   0.000
   8.990  30.226   0.000   0.500
   8.990  30.992   0.000   0.000
   8.990  31.757   1.000   0.000
   8.990  32.522   0.000   0.000
   8.990  33.287   0.000   0.333
   8.990  34.052   0.000   0.167
   8.990  34.818   0.000   0.000
   8.990  35.583   0.000   0.000
   8.990  36.348   0.000   0.000
   8.990  37.113   0.000   0.000
   8.990  37.879   0.000   0.000
   9.570   0.383   0.000   0.000
   9.570   1.148   0.000   0.000
   9.570   1.913   0.000   0.000
   9.570   2.678   0.000   0.000
   9.570   3.444   0.000   0.000
   9.570   4.209   0.000   0.000
   9.570   4.974   0.000   0.000
   9.570   5.739   0.000   0.000
   9.570   6.504   0.333   0.000
   9.570   7.270   0.667   0.000
   9.570   8.035   0.000   0.333
   9.570   8.800   0.000   0.000
