# q     qr    freq
# 2pi/L  2pi/L THz
0.05 0.05 0.1 2.03352  0.863187 1.2118 1.90834
0.0416667 0.0416667 0.0833333 2.05393  0.777134 1.05432 1.63285
0.0333333 0.0333333 0.0666667 2.07435  0.671126 0.882353 1.34414
0.025 0.025 0.05 2.09476  0.541648 0.691525 1.04006
0.0166667 0.0166667 0.0333333 2.11517  0.386514 0.480224 0.717314
0.00833333 0.00833333 0.0166667 2.13558  0.204579 0.249652 0.371976
-3.08781e-16 -3.08781e-16 -6.17562e-16 2.156  -1.12135e-07 -6.97162e-08 3.21051e-07
0 0 0 2.156  0 0 0
0.0119048 0.0119048 0.0119048 2.17662  0.241878 0.256734 0.305307
0.0238095 0.0238095 0.0238095 2.19723  0.447792 0.475067 0.605691
0.0357143 0.0357143 0.0357143 2.21785  0.615671 0.652262 0.903468
0.047619 0.047619 0.047619 2.23847  0.748773 0.788691 1.19751
0.0595238 0.0595238 0.0595238 2.25909  0.851283 0.887777 1.48663
0.0714286 0.0714286 0.0714286 2.27971  0.928004 0.956284 1.76927
0.0833333 0.0833333 0.0833333 2.30033  0.983048 1.00546 2.04349
0.0952381 0.0952381 0.0952381 2.32095  1.02161 1.04943 2.30718
0.107143 0.107143 0.107143 2.34157  1.05898 1.09666 2.55826
0.119048 0.119048 0.119048 2.36219  1.11378 1.15671 2.79515
0.130952 0.130952 0.130952 2.38281  1.20308 1.24387 3.02002
0.142857 0.142857 0.142857 2.40343  1.32597 1.36104 3.24929
0.154762 0.154762 0.154762 2.42405  1.45925 1.49063 3.48355
0.166667 0.166667 0.166667 2.44467  1.58837 1.6191 3.72076
0.178571 0.178571 0.178571 2.46529  1.70583 1.73718 3.95861
0.190476 0.190476 0.190476 2.48591  1.80718 1.83987 4.19443
0.202381 0.202381 0.202381 2.50653  1.89037 1.9258 4.42539
0.214286 0.214286 0.214286 2.52715  1.95668 1.99645 4.64875
0.22619 0.22619 0.22619 2.54777  2.0113 2.05605 4.86207
0.238095 0.238095 0.238095 2.56839  2.06311 2.11155 5.06312
0.25 0.25 0.25 2.58901  2.12356 2.17215 5.24962
0.261905 0.261905 0.261905 2.60963  2.20396 2.24732 5.42909
0.27381 0.27381 0.27381 2.63025  2.29802 2.33229 5.60768
0.285714 0.285714 0.285714 2.65087  2.39382 2.41787 5.78121
0.297619 0.297619 0.297619 2.67149  2.483 2.49767 5.94647
0.309524 0.309524 0.309524 2.69211  2.55905 2.56943 6.10154
0.321429 0.321429 0.321429 2.71273  2.61756 2.63396 6.2458
0.333333 0.333333 0.333333 2.73335  2.66219 2.68834 6.37965
0.345238 0.345238 0.345238 2.75397  2.69729 2.73261 6.504
0.357143 0.357143 0.357143 2.77459  2.72764 2.7695 6.61956
0.369048 0.369048 0.369048 2.7952  2.75912 2.80339 6.72607
0.380952 0.380952 0.380952 2.81582  2.79878 2.84057 6.82314
0.392857 0.392857 0.392857 2.83644  2.84912 2.88478 6.91572
0.404762 0.404762 0.404762 2.85706  2.9018 2.93029 7.0019
0.416667 0.416667 0.416667 2.87768  2.94935 2.97195 7.08047
0.428571 0.428571 0.428571 2.8983  2.98619 3.00667 7.15288
0.440476 0.440476 0.440476 2.91892  3.00886 3.03322 7.22214
0.452381 0.452381 0.452381 2.93954  3.01687 3.05103 7.29054
0.464286 0.464286 0.464286 2.96016  3.01224 3.06053 7.35729
0.47619 0.47619 0.47619 2.98078  2.99928 3.06321 7.41714
0.488095 0.488095 0.488095 3.0014  2.98485 3.06161 7.46081
0.5 0.5 0.5 3.02202  2.97787 3.05978 7.47749
0.5 0.5 0.5 3.02202  2.97787 3.05978 7.47749
0.508929 0.482143 0.508929 3.04389  3.03025 3.07727 7.45846
0.517857 0.464286 0.517857 3.06576  3.1233 3.18403 7.40844
0.526786 0.446429 0.526786 3.08763  3.19962 3.41292 7.33943
0.535714 0.428571 0.535714 3.1095  3.29592 3.696 7.26237
0.544643 0.410714 0.544643 3.13137  3.40515 4.00911 7.18461
0.553571 0.392857 0.553571 3.15324  3.51967 4.33212 7.1091
0.5625 0.375 0.5625 3.17511  3.63286 4.64858 7.0352
0.571429 0.357143 0.571429 3.19698  3.74801 4.95945 6.95739
0.580357 0.339286 0.580357 3.21885  3.86923 5.26204 6.87302
0.589286 0.321429 0.589286 3.24073  3.99308 5.53543 6.78961
0.598214 0.303571 0.598214 3.2626  4.11558 5.75301 6.72491
0.607143 0.285714 0.607143 3.28447  4.23129 5.88031 6.7077
0.616071 0.267857 0.616071 3.30634  4.33341 5.8991 6.75246
0.625 0.25 0.625 3.32821  4.41474 5.83748 6.82859
0.625 0.25 0.625 3.32821  4.41474 5.83748 6.82859
0.609375 0.25 0.640625 3.3503  4.42696 5.83998 6.8139
0.59375 0.25 0.65625 3.3724  4.4641 5.85558 6.78001
0.578125 0.25 0.671875 3.3945  4.52297 5.88639 6.73103
0.5625 0.25 0.6875 3.4166  4.59487 5.93528 6.6702
0.546875 0.25 0.703125 3.43869  4.66683 6.00519 6.59942
0.53125 0.25 0.71875 3.46079  4.72566 6.09643 6.51909
0.515625 0.25 0.734375 3.48289  4.76291 6.20333 6.42848
0.5 0.25 0.75 3.50498  4.77701 6.3069 6.33315
0.5 0.25 0.75 3.50498  4.77701 6.3069 6.33315
0.5 0.264706 0.735294 3.52578  4.75403 6.29018 6.34397
0.5 0.279412 0.720588 3.54658  4.68953 6.22987 6.37885
0.5 0.294118 0.705882 3.56738  4.58708 6.12698 6.43837
0.5 0.308824 0.691176 3.58817  4.45582 5.9851 6.51699
0.5 0.323529 0.676471 3.60897  4.30685 5.80825 6.60746
0.5 0.338235 0.661765 3.62977  4.15068 5.60129 6.7024
0.5 0.352941 0.647059 3.65056  3.99619 5.37009 6.79516
0.5 0.367647 0.632353 3.67136  3.8507 5.12206 6.88036
0.5 0.382353 0.617647 3.69216  3.71895 4.86224 6.95545
0.5 0.397059 0.602941 3.71296  3.59434 4.57488 7.02691
0.5 0.411765 0.588235 3.73375  3.47598 4.26761 7.09982
0.5 0.426471 0.573529 3.75455  3.36516 3.95519 7.17701
0.5 0.441176 0.558824 3.77535  3.26415 3.65531 7.25794
0.5 0.455882 0.544118 3.79615  3.17602 3.38884 7.3379
0.5 0.470588 0.529412 3.81694  3.10167 3.18162 7.40842
0.5 0.485294 0.514706 3.83774  3.02029 3.08065 7.45864
0.5 0.5 0.5 3.85854  2.97787 3.05978 7.47749
0.5 0.5 0.5 3.85854  2.97787 3.05978 7.47749
0.491071 0.491071 0.517857 3.88041  3.00826 3.09736 7.45607
0.482143 0.482143 0.535714 3.90228  3.07723 3.22413 7.39951
0.473214 0.473214 0.553571 3.92415  3.16633 3.43639 7.32149
0.464286 0.464286 0.571429 3.94602  3.27179 3.70802 7.23526
0.455357 0.455357 0.589286 3.96789  3.38778 4.01365 7.15063
0.446429 0.446429 0.607143 3.98976  3.50782 4.33136 7.07235
0.4375 0.4375 0.625 4.01163  3.62602 4.64313 7.00027
0.428571 0.428571 0.642857 4.0335  3.74478 4.94868 6.92719
0.419643 0.419643 0.660714 4.05537  3.86647 5.24677 6.84831
0.410714 0.410714 0.678571 4.07724  3.98613 5.52068 6.76837
0.401786 0.401786 0.696429 4.09911  4.09941 5.74892 6.70074
0.392857 0.392857 0.714286 4.12098  4.20235 5.89929 6.67159
0.383929 0.383929 0.732143 4.14285  4.29137 5.94296 6.70487
0.375 0.375 0.75 4.16472  4.3634 5.89601 6.78042
0.625 0.25 0.625 4.16472  4.41474 5.83748 6.82859
0.616071 0.232143 0.616071 4.18659  4.48162 5.74727 6.90373
0.607143 0.214286 0.607143 4.20846  4.54461 5.64929 6.97253
0.598214 0.196429 0.598214 4.23033  4.60467 5.54801 7.03596
0.589286 0.178571 0.589286 4.25221  4.66158 5.44761 7.09461
0.580357 0.160714 0.580357 4.27408  4.71354 5.35226 7.14848
0.571429 0.142857 0.571429 4.29595  4.75768 5.26603 7.19685
0.5625 0.125 0.5625 4.31782  4.79101 5.19271 7.238
0.553571 0.107143 0.553571 4.33969  4.81364 5.12883 7.27155
0.544643 0.0892857 0.544643 4.36156  4.82774 5.0698 7.29992
0.535714 0.0714286 0.535714 4.38343  4.83433 5.01751 7.32374
0.526786 0.0535714 0.526786 4.4053  4.83521 4.97386 7.34281
0.517857 0.0357143 0.517857 4.42717  4.83294 4.94063 7.35678
0.508929 0.0178571 0.508929 4.44904  4.8302 4.91958 7.36542
0.5 8.32667e-17 0.5 4.47091  4.82901 4.91234 7.36845
