 Position data for rigid sphere
     98      1     -1.2654400 -13.6068217  -8.7001776            
     99      1     -2.0842667 -14.7163406  -6.4440031            
    100      1      2.8872975 -12.1669710 -10.2989492            
    101      1     -9.0251564 -10.1295854   8.8531393            
    102      1     -8.9848815 -12.4100243   5.2633854            
    103      1     -9.3686839 -12.9395919   2.6897486            
    104      1     -4.8299303 -15.2139532  -2.7653979            
    105      1     -4.5272638 -14.5552738  -5.4852450            
    106      1     -7.3132721 -14.3856378   1.4175692            
    107      1     -7.2614320 -14.4079192  -1.4572212            
    108      1     -7.3593442  -7.5415086  12.3047034            
    109      1     -4.9050218  -4.1139714  14.8813986            
    110      1     -7.3262020  -4.9567440  13.5719372            
    111      1      5.4723072   3.4683529  14.8480439            
    112      1      2.7777659   4.0285019  15.4432902            
    113      1      9.4721551   4.7569512  12.2511109            
    114      1      7.0053161   5.5146622  13.5260516            
    115      1     15.9326824   2.6002331   1.3521995            
    116      1     15.1845840   5.0052968   2.6106390            
    117      1     14.3690529   7.3657085   1.3102219            
    118      1     14.3416984   7.3687182  -1.5677063            
    119      1     12.8475944   9.4286670  -2.9119719            
    120      1     12.2166052   9.0298117  -5.6264628            
    121      1     12.8662212   6.7582131  -7.1572992            
    122      1     11.4106348   6.2591511  -9.6467852            
    123      1     15.9510353  -0.0298232  -2.8290650            
    124      1     15.9274194   2.5359043  -1.5252949            
    125      1     15.1271998   4.9368044  -3.0390482            
    126      1      9.5665347  -8.9478830  -9.5318848            
    127      1     10.6707563  -6.4808635 -10.3234390            
    128      1      9.5616726  -4.7006007 -12.2032288            
    129      1     10.4585858  -1.9140157 -12.2227064            
    130      1      5.5765804 -11.8627400  -9.5193054            
    131      1      7.1099309  -9.7788265 -10.7825535            
    132      1      5.8339497  -8.0410365 -12.7963584            
    133      1      7.1052177  -5.4715075 -13.4914236            
    134      1     -9.3248466   2.9175747 -12.9218813            
    135      1    -15.1375334   4.8548550  -3.1185719            
    136      1     -9.3111581 -12.9212442  -2.9637489            
    137      1     -5.7308605  -8.0696208 -12.8249165            
    138      1     -6.3729508 -13.1187845  -7.0514548            
    139      1     -5.4671100 -11.8901908  -9.5485128            
    140      1     -8.8249345 -12.2853141  -5.7992770            
    141      1    -10.3737388 -10.2306287  -7.0823588            
    142      1    -12.3371918  -8.9093984  -5.5548485            
    143      1    -13.2439194  -6.6281697  -6.5655153            
    144      1     -7.0057000  -9.8141168 -10.8186554            
    145      1     -9.4733291  -8.9973181  -9.5783260            
    146      1    -10.6075344  -6.5246087 -10.3609710            
    147      1    -12.4393344  -5.5324416  -8.7803801            
    148      1     -5.4746734  -3.4608016 -14.8489336            
    149      1     -6.3842501  -0.6784543 -14.8735024            
    150      1     -7.0096341  -5.5070415 -13.5269194            
    151      1     -9.4770980  -4.7464300 -12.2513690            
    152      1     -8.8358275   0.0859988 -13.5779520            
    153      1    -10.3809678  -1.9634656 -12.2808931            
    154      1    -12.3437928  -1.1616621 -10.4269528            
    155      1    -13.2468480  -3.0623204  -8.8081346            
    156      1    -11.3935570   6.1977648  -9.7064204            
    157      1    -12.8648559   6.6884726  -7.2249458            
    158      1    -11.3969506   3.5970792 -10.9366615            
    159      1    -12.9078717   1.4962508  -9.6740946            
    160      1    -14.3545533   4.5826942  -5.9485912            
    161      1    -14.3793203   1.9869663  -7.1921582            
    162      1    -15.1904010  -0.2078580  -5.6257032            
    163      1    -14.5788501  -2.5898860  -6.5718830            
    164      1    -15.9534284   2.5139065   1.2682355            
    165      1    -15.9514379   0.0365712   2.8267147            
    166      1    -15.9326162   2.4504105  -1.6084949            
    167      1    -15.9358686  -0.1147825  -2.9111751            
    168      1    -12.8509837  -9.4247231   2.9097831            
    169      1    -11.3781439 -11.4474081   1.3909399            
    170      1    -11.3841695 -11.4292144  -1.4878738            
    171      1    -12.8986987  -9.3829696  -2.8325742            
    172      1    -14.3446670  -7.3635117   1.5650080            
    173      1    -14.3714597  -7.3603859  -1.3137314            
    174      1    -15.1863513  -4.9986180  -2.6131547            
    175      1    -14.5768311  -4.8181967  -5.1711702            
    176      1    -15.1296886  -4.9307145   3.0365444            
    177      1    -15.9286405  -2.5292665   1.5235636            
    178      1    -15.9338457  -2.5926968  -1.3529638            
    179      1     -2.7736130 -12.1803879 -10.3143224            
    180      1     -1.2765063  -1.9475831 -16.0317646            
    181      1     -2.0996208   0.5655931 -16.0534022            
    182      1     -4.5418707   1.3574926 -15.4909215            
    183      1     -2.7810842  -4.0221128 -15.4443583            
    184      1     -1.4108069  -6.3995413 -14.8153812            
    185      1    -10.3338593 -10.5784290   6.6142436            
    186      1    -12.2203706  -9.0253530   5.6254397            
    187      1    -12.8708443  -6.7512124   7.1555937            
    188      1    -14.6281030   2.5109030   6.4926107            
    189      1    -14.6299424   4.7489211   5.0845412            
    190      1    -15.2251018   4.9229332   2.5300253            
    191      1    -15.2212809   0.1321644   5.5439305            
    192      1    -14.4156623   7.2873839   1.2339941            
    193      1    -10.3578787  10.5235658  -6.6640031            
    194      1     -9.0286826  10.0800429  -8.9059335            
    195      1     -9.3904589   8.0141101 -10.4896781            
    196      1    -12.2358615   8.9632563  -5.6906725            
    197      1     -7.3324931   7.5061801 -12.3422781            
    198      1     -2.8877183  -8.4872967 -13.4932169            
    199      1     -1.4070287 -10.5816192 -12.1856321            
    200      1     -7.2786047   4.9240102 -13.6094108            
    201      1     -4.8472629   4.0945126 -14.9056712            
    202      1    -14.3731744   7.2904653  -1.6434714            
    203      1    -12.8834674   9.3583030  -2.9796740            
    204      1    -14.3637655  -4.6537884   5.8706489            
    205      1    -14.4081061  -2.0585302   7.1139972            
    206      1    -12.5024169   5.4787800   8.7242516            
    207      1    -13.3131523   2.9623024   8.7421259            
    208      1    -13.3162933   6.5828309   6.4639535            
    209      1    -12.4134403   8.8484433   5.4819319            
    210      1    -10.4678133  10.1729297   7.0268351            
    211      1     -9.4058811  -8.0601670  10.4404565            
    212      1      1.3788766 -13.6008644  -8.6922501            
    213      1      2.1784590   0.5763924 -16.0425096            
    214      1      0.0356722   2.1248726 -16.0600021            
    215      1      1.3676695  -1.9404489 -16.0251104            
    216      1      4.6146153   1.3805889 -15.4673632            
    217      1      4.9021788   4.1194791 -14.8808118            
    218      1      2.5300699   5.8332098 -14.9000817            
    219      1      2.5549034   8.4059833 -13.6107288            
    220      1      2.8791664  -4.0073693 -15.4302112            
    221      1      5.5677866  -3.4329508 -14.8207498            
    222      1      6.4650412  -0.6466977 -14.8399814            
    223      1      8.9081036   0.1286054 -13.5303058            
    224      1      9.3775051   2.9650833 -12.8728669            
    225      1      7.3230290   4.9619061 -13.5717633            
    226      1     -6.9034520  13.0472852  -6.6746328            
    227      1     -9.0441039  12.3576032  -5.2852486            
    228      1     -6.8939231  11.6399012  -8.9121574            
    229      1     -4.8418898  14.3649315  -5.7135691            
    230      1     -4.8212371  11.3521902 -10.5034983            
    231      1     -2.4787797  12.7103108  -9.7336363            
    232      1     -0.0043348  11.9195801 -10.9710353            
    233      1     -2.4847655   5.8199251 -14.9128950            
    234      1      0.0273092   4.6952202 -15.5046505            
    235      1     -4.9701145   9.2321521 -12.3493059            
    236      1     -2.5306081   8.3921393 -13.6238044            
    237      1      0.0066805   9.7337503 -12.9496751            
    238      1    -11.4296234  11.3881974  -1.4535103            
    239      1     -9.4243209  12.8887459  -2.7390565            
    240      1     -7.3801183  14.3465995  -1.4659336            
    241      1    -12.9618573   9.3171866   2.7604919            
    242      1    -11.4512873  11.3701451   1.4240243            
    243      1     -9.3949910  12.8726639   2.9101019            
    244      1    -12.9527425  -1.5593712   9.6038975            
    245      1    -12.4068811   1.0975416  10.3587996            
    246      1    -11.4150161  -6.2521081   9.6461690            
    247      1    -11.4384045  -3.6504527  10.8755286            
    248      1     -9.3806396  -2.9591486  12.8719488            
    249      1     -8.9109096  -0.1228238  13.5285117            
    250      1      1.5203716 -10.5746676 -12.1780499            
    251      1      1.5164098  -6.3920899 -14.8081637            
    252      1      2.9965383  -8.4728098 -13.4785859            
    253      1     -5.5708234   3.4384815  14.8183264            
    254      1     -6.4679889   0.6524436  14.8384454            
    255      1     -2.8827398   4.0131868  15.4280319            
    256      1     -1.5206182   6.3976551  14.8053286            
    257      1     -9.5632934   4.7054433  12.2000922            
    258      1    -10.6714449   6.4846077  10.3203756            
    259      1    -10.4606216   1.9195418  12.2200974            
    260      1     -7.1076846   5.4763591  13.4881554            
    261      1     -9.5670810   8.9506660   9.5287231            
    262      1      2.8816845   8.4931563  13.4908197            
    263      1      1.4060490   6.4055988  14.8132156            
    264      1      5.7239064   8.0763838  12.8237648            
    265      1      9.4670152   9.0025344   9.5796671            
    266      1      7.0002636   9.8199794  10.8168544            
    267      1     12.3356112   8.9161112   5.5475836            
    268      1     10.3744789  10.2298514   7.0823974            
    269      1     12.8959122   9.3878926   2.8289478            
    270      1     11.3810794  11.4327262   1.4845290            
    271      1     11.3746065  11.4506339  -1.3933180            
    272      1      9.3679618  12.9401567  -2.6895465            
    273      1      9.0036993  12.4072960  -5.2375978            
    274      1      6.8662717  13.0853102  -6.6384482            
    275      1      2.7690276  12.1843008  10.3109323            
    276      1      1.4017330  10.5861363  12.1823186            
    277      1      5.4627952  11.8945097   9.5456027            
    278      1      8.8242152  12.2865257   5.7978045            
    279      1      9.3085882  12.9240350   2.9596501            
    280      1      6.3704754  13.1216117   7.0484306            
    281      1     -1.5248387  10.5781499  12.1744666            
    282      1     -3.0004476   8.4771926  13.4749599            
    283      1     -5.8366133   8.0449897  12.7926584            
    284      1     -7.1116479   9.7814482  10.7790427            
    285      1      2.0820361  14.7183307   6.4401779            
    286      1      1.2620330  13.6096482   8.6962505            
    287      1      4.5242115  14.5576431   5.4814745            
    288      1      4.8259422  15.2160227   2.7609708            
    289      1      7.2578789  14.4104537   1.4498421            
    290      1      7.3087468  14.3869684  -1.4273703            
    291      1     -2.1964383  14.7067030   6.4287301            
    292      1     -1.3821860  13.6026891   8.6888685            
    293      1     -0.0556372  15.3962319   5.0391440            
    294      1     -4.6331090  14.5324801   5.4572289            
    295      1     -4.9242542  15.1891716   2.7351071            
    296      1     -7.3445790  14.3702987   1.4112754            
    297      1     -2.8905852  12.1690516  10.2955682            
    298      1     -5.5788354  11.8642286   9.5161284            
    299      1     -6.4796338  13.0864149   7.0142794            
    300      1     -8.9221495  12.2378961   5.7505801            
    301      1     -0.0504861  16.0086074   2.4823305            
    302      1      2.4603866  15.9662714   1.2102480            
    303      1      2.5033861  15.9183772  -1.6668385            
    304      1      4.9429821  15.1373357  -2.9779224            
    305      1      4.7926158  14.3914809  -5.6882456            
    306      1      2.4488603  14.2817550  -7.2439342            
    307      1      2.4595386  12.7238564  -9.7208113            
    308      1     -0.0353290  15.8876578  -3.1656132            
    309      1     -0.0257921  15.0507446  -5.9928663            
    310      1     -2.4895607  14.2682398  -7.2566827            
    311      1     -2.5822044  15.9043746  -1.6802125            
    312      1     -5.0105239  15.1099456  -3.0040336            
    313      1     -2.5546580  15.9524586   1.1970007            
    314      1      9.0197693  10.1296833  -8.8585158            
    315      1      6.8765145  11.6774520  -8.8764118            
    316      1     10.3350078  10.5802893  -6.6094718            
    317      1      9.4016683   8.0649147 -10.4405847            
    318      1      7.3559706   7.5456009 -12.3042118            
    319      1      4.9835159   9.2589832 -12.3237909            
    320      1      4.8135124  11.3784814 -10.4785631            
