Tinker BiTorsion parameter file for fix bitorsion

3 bitorsion types
  0.0 -60.0 -0.29306
  15.0 -60.0 0.11777
  30.0 -60.0 0.42905
  45.0 -60.0 0.53679
  60.0 -60.0 0.52038
  75.0 -60.0 0.27617
  90.0 -60.0 -0.36078
  105.0 -60.0 -0.66569
  120.0 -60.0 -0.35068
  135.0 -60.0 -0.13164
  150.0 -60.0 0.27666
  165.0 -60.0 0.70865
  180.0 -60.0 0.70531
  -180.0 -45.0 0.42237
  -165.0 -45.0 -0.14148
  -150.0 -45.0 -0.50856
  -135.0 -45.0 -0.14423
  -120.0 -45.0 -0.53339
  -105.0 -45.0 -0.514
  -90.0 -45.0 -0.3329
  -75.0 -45.0 -0.24488
  -60.0 -45.0 -0.32054
  -45.0 -45.0 -0.40379
  -30.0 -45.0 -0.41006
  -15.0 -45.0 -0.23372
  0.0 -45.0 0.07185
  15.0 -45.0 0.70729
  30.0 -45.0 1.16881
  45.0 -45.0 1.23276
  60.0 -45.0 0.77518
  75.0 -45.0 0.5197
  90.0 -45.0 -0.12956
  105.0 -45.0 -0.24028
  120.0 -45.0 -0.08791
  135.0 -45.0 0.02315
  150.0 -45.0 0.32774
  165.0 -45.0 0.5533
  180.0 -45.0 0.42237
  -180.0 -30.0 0.127
  -165.0 -30.0 -0.36697
  -150.0 -30.0 -0.33178
  -135.0 -30.0 -1.09856
  -120.0 -30.0 -1.01098
  -105.0 -30.0 -0.6178
  -90.0 -30.0 -0.18232
  -75.0 -30.0 0.14143
  -60.0 -30.0 0.40819
  -45.0 -30.0 0.50556
  -30.0 -30.0 0.34379
  -15.0 -30.0 0.31224
  0.0 -30.0 0.97008
  15.0 -30.0 1.70616
  30.0 -30.0 1.99942
  45.0 -30.0 1.79196
  60.0 -30.0 1.26978
  75.0 -30.0 0.65732
  90.0 -30.0 0.04223
  105.0 -30.0 0.22658
  120.0 -30.0 0.08209
  135.0 -30.0 0.05525
  150.0 -30.0 0.22382
  165.0 -30.0 0.33964
  180.0 -30.0 0.127
  -180.0 -15.0 -0.06517
  -165.0 -15.0 -0.13598
  -150.0 -15.0 -1.30614
  -135.0 -15.0 -1.09555
  -120.0 -15.0 -0.64991
  -105.0 -15.0 -0.06482
  -90.0 -15.0 0.49509
  -75.0 -15.0 0.92103
  -60.0 -15.0 1.94755
  -45.0 -15.0 0.95164
  -30.0 -15.0 0.8787
  -15.0 -15.0 1.42479
  0.0 -15.0 2.06338
  15.0 -15.0 2.50243
  30.0 -15.0 2.59266
  45.0 -15.0 2.02131
  60.0 -15.0 1.26236
  75.0 -15.0 0.65759
  90.0 -15.0 0.60601
  105.0 -15.0 0.40777
  120.0 -15.0 0.08605
  135.0 -15.0 -0.02333
  150.0 -15.0 0.06947
  165.0 -15.0 0.13044
  180.0 -15.0 -0.06517
  -180.0 0.0 -1.44412
  -165.0 0.0 -1.37206
  -150.0 0.0 -0.97055
  -135.0 0.0 -0.54692
  -120.0 0.0 -0.04768
  -105.0 0.0 0.65462
  -90.0 0.0 1.09803
  -75.0 0.0 1.4118
  -60.0 0.0 1.23685
  -45.0 0.0 1.32368
  -30.0 0.0 1.83555
  -15.0 0.0 2.29146
  0.0 0.0 2.61632
  15.0 0.0 2.73204
  30.0 0.0 2.49607
  45.0 0.0 1.76205
  60.0 0.0 1.23208
  75.0 0.0 1.11843
  90.0 0.0 1.50389
  105.0 0.0 0.20088
  120.0 0.0 -0.22667
  135.0 0.0 -0.38306
  150.0 0.0 -0.27813
  165.0 0.0 -0.08165
  180.0 0.0 -1.44412
  -180.0 15.0 -1.54337
  -165.0 15.0 -0.94875
  -150.0 15.0 -0.4463
  -135.0 15.0 -0.06444
  -120.0 15.0 0.39675
  -105.0 15.0 0.90513
  -90.0 15.0 1.24019
  -75.0 15.0 1.18954
  -60.0 15.0 1.36753
  -45.0 15.0 1.8229
  -30.0 15.0 2.22229
  -15.0 15.0 2.44694
  0.0 15.0 2.44244
  15.0 15.0 2.26164
  30.0 15.0 1.85516
  45.0 15.0 1.56722
  60.0 15.0 1.43193
  75.0 15.0 0.71918
  90.0 15.0 0.14053
  105.0 15.0 -0.36429
  120.0 15.0 -0.76466
  135.0 15.0 -0.87217
  150.0 15.0 -0.57197
  165.0 15.0 -1.61569
  180.0 15.0 -1.54337
  -180.0 30.0 -1.09485
  -165.0 30.0 -0.56681
  -150.0 30.0 -0.13387
  -135.0 30.0 0.19412
  -120.0 30.0 0.57374
  -105.0 30.0 0.86366
  -90.0 30.0 0.80314
  -75.0 30.0 1.08125
  -60.0 30.0 1.39143
  -45.0 30.0 1.86048
  -30.0 30.0 2.01491
  -15.0 30.0 2.03904
  0.0 30.0 1.77856
  15.0 30.0 1.48754
  30.0 30.0 1.53762
  45.0 30.0 1.22766
  60.0 30.0 0.55347
  75.0 30.0 -0.06469
  90.0 30.0 -0.47099
  105.0 30.0 -0.82958
  120.0 30.0 -1.01883
  135.0 30.0 -0.75479
  150.0 30.0 -1.39221
  165.0 30.0 -1.55942
  180.0 30.0 -1.09485
  -180.0 45.0 -0.55882
  -165.0 45.0 -0.22825
  -150.0 45.0 0.01795
  -135.0 45.0 0.21896
  -120.0 45.0 0.49238
  -105.0 45.0 0.39403
  -90.0 45.0 0.4887
  -75.0 45.0 0.90318
  -60.0 45.0 1.0673
  -45.0 45.0 1.40576
  -30.0 45.0 1.504
  -15.0 45.0 1.39328
  0.0 45.0 1.13519
  15.0 45.0 1.11176
  30.0 45.0 0.55506
  45.0 45.0 0.04408
  60.0 45.0 -0.2593
  75.0 45.0 -0.42888
  90.0 45.0 -0.51963
  105.0 45.0 -0.55634
  120.0 45.0 -0.25212
  135.0 45.0 -0.62098
  150.0 45.0 -1.22694
  165.0 45.0 -1.05054
  180.0 45.0 -0.55882
  -180.0 60.0 -0.18285
  -165.0 60.0 -0.0865
  -150.0 60.0 0.00476
  -135.0 60.0 0.11545
  -120.0 60.0 0.16266
  -105.0 60.0 0.01161
  -90.0 60.0 0.39632
  -75.0 60.0 0.75519
  -60.0 60.0 0.96557
  -45.0 60.0 0.9764
  -30.0 60.0 0.97745
  -15.0 60.0 0.97978
  0.0 60.0 0.79555
  15.0 60.0 -0.15675
  30.0 60.0 -0.51647
  45.0 60.0 -0.39418
  60.0 60.0 -0.15303
  75.0 60.0 -0.008
  90.0 60.0 0.09982
  105.0 60.0 0.37002
  120.0 60.0 0.12378
  135.0 60.0 -0.63827
  150.0 60.0 -0.59589
  165.0 60.0 -0.38041
  180.0 60.0 -0.18285
  -180.0 75.0 -0.066
  -165.0 75.0 -0.07528
  -150.0 75.0 -0.04119
  -135.0 75.0 -0.07933
  -120.0 75.0 -0.19424
  -105.0 75.0 -0.27213
  -90.0 75.0 0.0
  -75.0 75.0 0.40627
  -60.0 75.0 0.67141
  -45.0 75.0 0.48954
  -30.0 75.0 0.49392
  -15.0 75.0 0.53926
  0.0 75.0 -0.43613
  15.0 75.0 -0.91296
  30.0 75.0 -0.57046
  45.0 75.0 0.20602
  60.0 75.0 0.66426
  75.0 75.0 0.78486
  90.0 75.0 0.83638
  105.0 75.0 0.47569
  120.0 75.0 -0.24156
  135.0 75.0 -0.36935
  150.0 75.0 -0.03276
  165.0 75.0 -0.00079
  180.0 75.0 -0.066
  -180.0 90.0 -0.19813
  -165.0 90.0 -0.18275
  -150.0 90.0 -0.13564
  -135.0 90.0 -0.16443
  -120.0 90.0 -0.25121
  -105.0 90.0 -0.36588
  -90.0 90.0 -0.30532
  -75.0 90.0 -0.05335
  -60.0 90.0 -0.11065
  -45.0 90.0 -0.24703
  -30.0 90.0 -0.35383
  -15.0 90.0 -0.66704
  0.0 90.0 -1.22785
  15.0 90.0 -0.99837
  30.0 90.0 0.07165
  45.0 90.0 1.1709
  60.0 90.0 1.52568
  75.0 90.0 1.19212
  90.0 90.0 0.65821
  105.0 90.0 0.07691
  120.0 90.0 -0.25244
  135.0 90.0 -0.10611
  150.0 90.0 0.09358
  165.0 90.0 0.00731
  180.0 90.0 -0.19813
  -180.0 105.0 -0.3485
  -165.0 105.0 -0.15035
  -150.0 105.0 -0.40367
  -135.0 105.0 -0.01197
  -120.0 105.0 -0.061
  -105.0 105.0 -0.1519
  -90.0 105.0 -0.31715
  -75.0 105.0 -0.62391
  -60.0 105.0 -0.90231
  -45.0 105.0 -1.37607
  -30.0 105.0 -1.62179
  -15.0 105.0 -1.73579
  0.0 105.0 -1.64875
  15.0 105.0 -0.75542
  30.0 105.0 0.71157
  45.0 105.0 1.26356
  60.0 105.0 0.7596
  75.0 105.0 0.594
  90.0 105.0 0.30667
  105.0 105.0 -0.06284
  120.0 105.0 -0.20456
  135.0 105.0 -0.08836
  150.0 105.0 -0.1659
  165.0 105.0 -0.35505
  180.0 105.0 -0.3485
  -180.0 120.0 -0.34576
  -165.0 120.0 0.02576
  -150.0 120.0 0.27228
  -135.0 120.0 0.28454
  -120.0 120.0 0.18375
  -105.0 120.0 0.01398
  -90.0 120.0 -0.27455
  -75.0 120.0 -0.7758
  -60.0 120.0 -1.42554
  -45.0 120.0 -1.99064
  -30.0 120.0 -2.37393
  -15.0 120.0 -2.20009
  0.0 120.0 -1.60683
  15.0 120.0 -0.44372
  30.0 120.0 1.09513
  45.0 120.0 0.35522
  60.0 120.0 -0.04151
  75.0 120.0 0.17766
  90.0 120.0 0.14305
  105.0 120.0 -0.13472
  120.0 120.0 -0.31725
  135.0 120.0 -0.458
  150.0 120.0 -0.64821
  165.0 120.0 -0.63355
  180.0 120.0 -0.34576
  -180.0 135.0 -0.08457
  -165.0 135.0 0.36013
  -150.0 135.0 0.54446
  -135.0 135.0 0.48098
  -120.0 135.0 0.27776
  -105.0 135.0 0.02335
  -90.0 135.0 -0.28766
  -75.0 135.0 -0.80414
  -60.0 135.0 -1.5133
  -45.0 135.0 -2.20028
  -30.0 135.0 -2.36835
  -15.0 135.0 -2.12483
  0.0 135.0 -1.376
  15.0 135.0 -0.25291
  30.0 135.0 0.78641
  45.0 135.0 -0.96321
  60.0 135.0 -0.57499
  75.0 135.0 -0.00398
  90.0 135.0 0.08668
  105.0 135.0 -0.17475
  120.0 135.0 -0.55212
  135.0 135.0 -0.94225
  150.0 135.0 -1.01661
  165.0 135.0 -0.69656
  180.0 135.0 -0.08457
  -180.0 150.0 0.2851
  -165.0 150.0 0.66185
  -150.0 150.0 0.69665
  -135.0 150.0 0.48378
  -120.0 150.0 0.16399
  -105.0 150.0 -0.09637
  -90.0 150.0 -0.36878
  -75.0 150.0 -0.80945
  -60.0 150.0 -1.41793
  -45.0 150.0 -2.18914
  -30.0 150.0 -2.20786
  -15.0 150.0 -1.82363
  0.0 150.0 -1.11629
  15.0 150.0 -0.04735
  30.0 150.0 -1.17126
  45.0 150.0 -1.34899
  60.0 150.0 -0.62467
  75.0 150.0 0.05642
  90.0 150.0 0.17332
  105.0 150.0 -0.14673
  120.0 150.0 -0.698
  135.0 150.0 -1.11306
  150.0 150.0 -1.02621
  165.0 150.0 -0.41495
  180.0 150.0 0.2851
  -180.0 165.0 0.76902
  -165.0 165.0 0.89311
  -150.0 165.0 0.59358
  -135.0 165.0 0.25887
  -120.0 165.0 -0.03955
  -105.0 165.0 -0.24006
  -90.0 165.0 -0.46456
  -75.0 165.0 -0.8317
  -60.0 165.0 -1.40143
  -45.0 165.0 -1.95471
  -30.0 165.0 -2.00388
  -15.0 165.0 -1.56184
  0.0 165.0 -0.83182
  15.0 165.0 -0.45132
  30.0 165.0 -1.23096
  45.0 165.0 -1.2265
  60.0 165.0 -0.44761
  75.0 165.0 0.25891
  90.0 165.0 0.39936
  105.0 165.0 0.0765
  120.0 165.0 -0.49787
  135.0 165.0 -0.79017
  150.0 165.0 -0.50914
  165.0 165.0 0.18602
  180.0 165.0 0.76902
  -180.0 180.0 0.98936
  -165.0 180.0 0.76408
  -150.0 180.0 0.21674
  -135.0 180.0 -0.182
  -120.0 180.0 -0.37729
  -105.0 180.0 -0.47834
  -90.0 180.0 -0.59267
  -75.0 180.0 -0.93985
  -60.0 180.0 -1.55558
  -45.0 180.0 -2.01849
  -30.0 180.0 -1.94076
  -15.0 180.0 -1.464
  0.0 180.0 0.18253
  15.0 180.0 -0.80364
  30.0 180.0 -1.32974
  45.0 180.0 -1.31658
  60.0 180.0 -0.5014
  75.0 180.0 0.20431
  90.0 180.0 0.39356
  105.0 180.0 0.20356
  120.0 180.0 -0.16993
  135.0 180.0 -0.22733
  150.0 180.0 0.13703
  165.0 180.0 0.66356
  180.0 180.0 0.98936

2 25 25
  -180.0 -180.0 0.0
  -165.0 -180.0 -0.15918
  -150.0 -180.0 -0.46924
  -135.0 -180.0 -0.94887
  -120.0 -180.0 -1.41919
  -105.0 -180.0 -1.89608
  -90.0 -180.0 -2.35024
  -75.0 -180.0 -2.81648
  -60.0 -180.0 -3.17758
  -45.0 -180.0 -2.91092
  -30.0 -180.0 -1.84916
  -15.0 -180.0 -0.61868
  0.0 -180.0 1.44957
  15.0 -180.0 -0.61868
  30.0 -180.0 -1.84916
  45.0 -180.0 -2.91092
  60.0 -180.0 -3.17758
  75.0 -180.0 -2.81793
  90.0 -180.0 -2.34954
  105.0 -180.0 -1.91578
  120.0 -180.0 -1.41919
  135.0 -180.0 -0.94887
  150.0 -180.0 -0.46924
  165.0 -180.0 -0.15918
  180.0 -180.0 0.0
  -180.0 -165.0 -0.03043
  -165.0 -165.0 -0.40282
  -150.0 -165.0 -0.84288
  -135.0 -165.0 -1.22723
  -120.0 -165.0 -1.58634
  -105.0 -165.0 -1.98317
  -90.0 -165.0 -2.46682
  -75.0 -165.0 -2.96238
  -60.0 -165.0 -3.27921
  -45.0 -165.0 -2.85897
  -30.0 -165.0 -1.66034
  -15.0 -165.0 0.28654
  0.0 -165.0 0.47583
  15.0 -165.0 -0.59328
  30.0 -165.0 -1.85441
  45.0 -165.0 -2.72832
  60.0 -165.0 -2.82977
  75.0 -165.0 -2.4375
  90.0 -165.0 -1.97978
  105.0 -165.0 -1.47132
  120.0 -165.0 -0.94989
  135.0 -165.0 -0.44166
  150.0 -165.0 -0.04055
  165.0 -165.0 0.10146
  180.0 -165.0 -0.03043
  -180.0 -150.0 -0.05487
  -165.0 -150.0 -0.49639
  -150.0 -150.0 -0.83418
  -135.0 -150.0 -1.02443
  -120.0 -150.0 -1.24614
  -105.0 -150.0 -1.65671
  -90.0 -150.0 -2.17397
  -75.0 -150.0 -2.73078
  -60.0 -150.0 -2.95919
  -45.0 -150.0 -2.36553
  -30.0 -150.0 -0.65594
  -15.0 -150.0 1.60921
  0.0 -150.0 0.68197
  15.0 -150.0 -0.47503
  30.0 -150.0 -1.60792
  45.0 -150.0 -2.28172
  60.0 -150.0 -2.27657
  75.0 -150.0 -1.84368
  90.0 -150.0 -1.32072
  105.0 -150.0 -0.79693
  120.0 -150.0 -0.27502
  135.0 -150.0 0.15792
  150.0 -150.0 0.37394
  165.0 -150.0 0.30007
  180.0 -150.0 -0.05487
  -180.0 -135.0 0.22137
  -165.0 -135.0 -0.11507
  -150.0 -135.0 -0.25069
  -135.0 -135.0 -0.2512
  -120.0 -135.0 -0.45372
  -105.0 -135.0 -0.91494
  -90.0 -135.0 -1.48283
  -75.0 -135.0 -1.97985
  -60.0 -135.0 -1.99291
  -45.0 -135.0 -0.87317
  -30.0 -135.0 2.15102
  -15.0 -135.0 2.08125
  0.0 -135.0 1.01469
  15.0 -135.0 -0.13409
  30.0 -135.0 -1.08446
  45.0 -135.0 -1.57764
  60.0 -135.0 -1.54005
  75.0 -135.0 -1.11846
  90.0 -135.0 -0.54882
  105.0 -135.0 -0.14353
  120.0 -135.0 0.35059
  135.0 -135.0 0.78961
  150.0 -135.0 0.82176
  165.0 -135.0 0.599
  180.0 -135.0 0.22137
  -180.0 -120.0 0.76282
  -165.0 -120.0 0.65049
  -150.0 -120.0 0.73226
  -135.0 -120.0 0.80302
  -120.0 -120.0 0.46767
  -105.0 -120.0 -0.17578
  -90.0 -120.0 -0.55868
  -75.0 -120.0 -0.87022
  -60.0 -120.0 -0.44624
  -45.0 -120.0 1.42775
  -30.0 -120.0 3.49117
  -15.0 -120.0 2.47433
  0.0 -120.0 1.4066
  15.0 -120.0 0.51132
  30.0 -120.0 -0.07964
  45.0 -120.0 -0.49787
  60.0 -120.0 -0.64487
  75.0 -120.0 -0.35755
  90.0 -120.0 0.18803
  105.0 -120.0 0.5455
  120.0 -120.0 0.97289
  135.0 -120.0 1.16949
  150.0 -120.0 1.1591
  165.0 -120.0 1.05012
  180.0 -120.0 0.76282
  -180.0 -105.0 1.42827
  -165.0 -105.0 1.50406
  -150.0 -105.0 1.72284
  -135.0 -105.0 1.64917
  -120.0 -105.0 1.03764
  -105.0 -105.0 0.56475
  -90.0 -105.0 0.20084
  -75.0 -105.0 0.20821
  -60.0 -105.0 1.22814
  -45.0 -105.0 2.98189
  -30.0 -105.0 3.57647
  -15.0 -105.0 2.65211
  0.0 -105.0 1.95317
  15.0 -105.0 1.65224
  30.0 -105.0 1.43567
  45.0 -105.0 0.92486
  60.0 -105.0 0.55065
  75.0 -105.0 0.46027
  90.0 -105.0 0.6047
  105.0 -105.0 1.02077
  120.0 -105.0 1.33189
  135.0 -105.0 1.51499
  150.0 -105.0 1.50886
  165.0 -105.0 1.53133
  180.0 -105.0 1.42827
  -180.0 -90.0 1.90401
  -165.0 -90.0 2.03939
  -150.0 -90.0 2.29924
  -135.0 -90.0 1.79055
  -120.0 -90.0 1.3528
  -105.0 -90.0 1.02391
  -90.0 -90.0 0.90562
  -75.0 -90.0 1.23397
  -60.0 -90.0 2.45075
  -45.0 -90.0 3.45522
  -30.0 -90.0 3.09983
  -15.0 -90.0 2.62493
  0.0 -90.0 2.65047
  15.0 -90.0 3.09474
  30.0 -90.0 2.79428
  45.0 -90.0 2.15793
  60.0 -90.0 1.57482
  75.0 -90.0 1.3331
  90.0 -90.0 1.13012
  105.0 -90.0 1.17449
  120.0 -90.0 1.41199
  135.0 -90.0 1.62671
  150.0 -90.0 1.81755
  165.0 -90.0 1.82118
  180.0 -90.0 1.90401
  -180.0 -75.0 1.80621
  -165.0 -75.0 2.0808
  -150.0 -75.0 2.03556
  -135.0 -75.0 1.68691
  -120.0 -75.0 1.29208
  -105.0 -75.0 1.22509
  -90.0 -75.0 1.43311
  -75.0 -75.0 2.16375
  -60.0 -75.0 2.1732
  -45.0 -75.0 2.21268
  -30.0 -75.0 2.13049
  -15.0 -75.0 2.40205
  0.0 -75.0 3.24329
  15.0 -75.0 4.06613
  30.0 -75.0 3.57523
  45.0 -75.0 2.86443
  60.0 -75.0 2.31976
  75.0 -75.0 1.66472
  90.0 -75.0 1.27852
  105.0 -75.0 1.09103
  120.0 -75.0 1.36656
  135.0 -75.0 1.53314
  150.0 -75.0 1.59747
  165.0 -75.0 1.64225
  180.0 -75.0 1.80621
  -180.0 -60.0 0.94133
  -165.0 -60.0 1.07716
  -150.0 -60.0 1.06365
  -135.0 -60.0 0.96211
  -120.0 -60.0 0.94411
  -105.0 -60.0 1.25994
  -90.0 -60.0 0.79628
  -75.0 -60.0 0.57562
  -60.0 -60.0 0.56577
  -45.0 -60.0 0.74572
  -30.0 -60.0 1.24745
  -15.0 -60.0 2.21612
  0.0 -60.0 3.54214
  15.0 -60.0 3.78367
  30.0 -60.0 3.4012
  45.0 -60.0 2.89718
  60.0 -60.0 1.94715
  75.0 -60.0 1.36042
  90.0 -60.0 0.7925
  105.0 -60.0 0.57769
  120.0 -60.0 0.77935
  135.0 -60.0 0.79351
  150.0 -60.0 0.75367
  165.0 -60.0 0.78581
  180.0 -60.0 0.94133
  -180.0 -45.0 -0.67275
  -165.0 -45.0 -0.59212
  -150.0 -45.0 -0.422
  -135.0 -45.0 -0.01106
  -120.0 -45.0 -0.5147
  -105.0 -45.0 -0.80922
  -90.0 -45.0 -0.99538
  -75.0 -45.0 -1.0643
  -60.0 -45.0 -0.87844
  -45.0 -45.0 -0.24576
  -30.0 -45.0 0.77634
  -15.0 -45.0 2.05251
  0.0 -45.0 2.78505
  15.0 -45.0 3.13379
  30.0 -45.0 2.85045
  45.0 -45.0 2.19151
  60.0 -45.0 1.16243
  75.0 -45.0 0.2072
  90.0 -45.0 -0.42237
  105.0 -45.0 -0.4646
  120.0 -45.0 -0.38665
  135.0 -45.0 -0.55232
  150.0 -45.0 -0.67078
  165.0 -45.0 -0.6783
  180.0 -45.0 -0.67275
  -180.0 -30.0 -2.46944
  -165.0 -30.0 -2.32595
  -150.0 -30.0 -1.71439
  -135.0 -30.0 -2.48703
  -120.0 -30.0 -2.56054
  -105.0 -30.0 -2.46215
  -90.0 -30.0 -2.37111
  -75.0 -30.0 -2.19037
  -60.0 -30.0 -1.62432
  -45.0 -30.0 -0.7237
  -30.0 -30.0 0.35895
  -15.0 -30.0 1.35947
  0.0 -30.0 2.12358
  15.0 -30.0 2.36496
  30.0 -30.0 1.96636
  45.0 -30.0 1.05275
