#   Computed with "calc_table.py"
# Calculate a table of pairwise energies and forces between "INT" atoms
# in the lipid membrane model described in 
#   Brannigan et al, Phys Rev E, 72, 011915 (2005)
# The energy of this interaction U(r) = eps*(0.4*(sigma/r)^12 - 3.0*(sigma/r)^2)
# where here sigma = 7.5, and epsilon = 2.75/4.184
# The interaction is truncated.  See below.
#
# In this version I used the CHARMM switching function
#  S(r) = (rc2^2 - r^2)^2 * (rc2^2 + 2*r^2 - 3*rc1^2) / (rc2^2-rc1^2)^3
# with rc1=22.0 and rc2=22.5
# I realized later this is not what we want because although energy is conserved
# all enrgies are shifted with respect to energies used in the Brannigan paper
# (by 0.27 kCal/mole) and also probably with the later Watson JCP 2011 paper.
# (So don't use this.)

INT
N 1001 R

68 3.94 587.94359457 1808.82525631
69 3.96 552.934773448 1693.42065104
70 3.98 520.154239131 1585.89706361
71 4.0 489.450185216 1485.68080556
72 4.02 460.681829499 1392.24251449
73 4.04 433.718564209 1305.09353282
74 4.06 408.439175503 1223.78259822
75 4.08 384.73112627 1147.89281764
76 4.1 362.489896836 1077.03889938
77 4.12 341.618378642 1010.86461999
78 4.14 322.026316406 949.040505266
79 4.16 303.629794696 891.261706073
80 4.18 286.350765168 837.246052066
81 4.2 270.116611094 786.732267446
82 4.22 254.859746067 739.47833469
83 4.24 240.517244067 695.259993326
84 4.26 227.030498289 653.869362042
85 4.28 214.344906398 615.113673492
86 4.3 202.409580029 578.814112106
87 4.32 191.177076588 544.804746089
88 4.34 180.603151525 512.931545605
89 4.36 170.646529457 483.051479815
90 4.38 161.268692606 455.031686127
91 4.4 152.433685189 428.748705595
92 4.42 144.107932478 404.087778912
93 4.44 136.260073383 380.942197972
94 4.46 128.860805483 359.212708377
95 4.48 121.882741535 338.806958688
96 4.5 115.300276561 319.638992577
97 4.52 109.089464693 301.628780369
98 4.54 103.22790502 284.701786758
99 4.56 97.6946357479 268.788571763
100 4.58 92.4700360207 253.824422244
101 4.6 87.5357348372 239.749011508
102 4.62 82.8745265068 226.506084761
103 4.64 78.4702921579 214.043168343
104 4.66 74.3079268383 202.31130085
105 4.68 70.3732717904 191.264784422
106 4.7 66.6530515105 180.860954593
107 4.72 63.1348152392 171.05996726
108 4.74 59.806882552 161.824601429
109 4.76 56.6582927471 153.120076496
110 4.78 53.6787577523 144.913882966
111 4.8 50.8586182917 137.175625538
112 4.82 48.1888030746 129.876877635
113 4.84 45.6607907875 122.991046476
114 4.86 43.2665746852 116.493247913
115 4.88 40.9986295945 110.360190267
116 4.9 38.8498811562 104.570066494
117 4.92 36.813677146 99.1024540566
118 4.94 34.8837607263 93.9382219092
119 4.96 33.0542454907 89.05944408
120 4.98 31.3195921757 84.4493193479
121 5.0 29.6745869215 80.0920965658
122 5.02 28.1143209736 75.9730052143
123 5.04 26.6341717235 72.0781907976
124 5.06 25.229784997 68.3946547294
125 5.08 23.8970585023 64.9101983786
126 5.1 22.6321263576 61.6133709734
127 5.12 21.4313446252 58.4934210835
128 5.14 20.291277782 55.5402514226
129 5.16 19.2086860624 52.7443767307
130 5.18 18.1805136153 50.0968845179
131 5.2 17.2038774188 47.5893984632
132 5.22 16.2760569021 45.2140442802
133 5.24 15.3944842269 42.9634178757
134 5.26 14.5567351843 40.8305556374
135 5.28 13.7605206653 38.808906703
136 5.3 13.003678668 36.8923070701
137 5.32 12.2841668048 35.0749554196
138 5.34 11.600055277 33.3513905323
139 5.36 10.9495202864 31.7164701895
140 5.38 10.3308378544 30.1653514539
141 5.4 9.7423780233 28.693472236
142 5.42 9.182599413 27.2965340593
143 5.44 8.65004411217 25.9704859397
144 5.46 8.14333288066 24.7115093061
145 5.48 7.66116064403 23.5160038893
146 5.5 7.20229226095 22.3805745153
147 5.52 6.76555854632 21.3020187412
148 5.54 6.34985253373 20.2773152771
149 5.56 5.95412596195 19.3036131423
150 5.58 5.5773859715 18.3782215059
151 5.6 5.21869199787 17.4986001669
152 5.62 4.87715284909 16.6623506308
153 5.64 4.55192395618 15.867207745
154 5.66 4.24220478557 15.1110318537
155 5.68 3.94723640355 14.3918014404
156 5.7 3.66629918323 13.7076062261
157 5.72 3.39871064523 13.0566406912
158 5.74 3.14382342396 12.4371979973
159 5.76 2.90102335163 11.8476642796
160 5.78 2.66972765295 11.2865132882
161 5.8 2.44938324367 10.7523013555
162 5.82 2.23946512673 10.2436626676
163 5.84 2.03947488006 9.7593048226
164 5.86 1.84893923049 9.2980046552
165 5.88 1.66740870871 8.85860431242
166 5.9 1.49445638028 8.44000756375
167 5.92 1.32967664824 8.04117633127
168 5.94 1.17268412303 7.66112742597
169 5.96 1.0231125557 7.29892947717
170 5.98 0.880613830771 6.9537000433
171 6.0 0.744857015106 6.62460289254
172 6.02 0.615527459555 6.31084544295
173 6.04 0.492325950319 6.01167635216
174 6.06 0.374967907076 5.72638324756
175 6.08 0.263182625182 5.45429058822
176 6.1 0.156712559382 5.19475765055
177 6.12 0.0553126466265 4.94717663025
178 6.14 -0.0412503342437 4.71097085338
179 6.16 -0.133198368078 4.48559308998
180 6.18 -0.220742776239 4.27052396409
181 6.2 -0.304084758542 4.06527045435
182 6.22 -0.383415906069 3.8693644797
183 6.24 -0.4589186865 3.68236156522
184 6.26 -0.530766903527 3.50383958321
185 6.28 -0.599126131804 3.33339756513
186 6.3 -0.664154128804 3.17065458013
187 6.32 -0.726001224889 3.0152486763
188 6.34 -0.784810692795 2.866835881
189 6.36 -0.840719097683 2.72508925658
190 6.38 -0.893856628836 2.58969800863
191 6.4 -0.944347414023 2.46036664323
192 6.42 -0.992309817464 2.33681417085
193 6.44 -1.03785672233 2.21877335375
194 6.46 -1.08109579859 2.10598999469
195 6.48 -1.12212975704 1.99822226439
196 6.5 -1.16105659023 1.8952400656
197 6.52 -1.19796980108 1.79682443166
198 6.54 -1.23295861967 1.70276695755
199 6.56 -1.26610820912 1.61286926168
200 6.58 -1.29749986087 1.52694247655
201 6.6 -1.32721118011 1.44480676668
202 6.62 -1.35531626183 1.36629087245
203 6.64 -1.38188585796 1.29123167801
204 6.66 -1.40698753611 1.21947380239
205 6.68 -1.43068583041 1.15086921208
206 6.7 -1.45304238467 1.08527685416
207 6.72 -1.47411608859 1.02256230873
208 6.74 -1.493963207 0.962597459596
209 6.76 -1.51263750285 0.90526018218
210 6.78 -1.53019035404 0.850434047748
211 6.8 -1.54667086448 0.798008043011
212 6.82 -1.56212596978 0.747876304295
213 6.84 -1.57660053762 0.699937865467
214 6.86 -1.59013746336 0.654096418865
215 6.88 -1.60277776088 0.610260088543
216 6.9 -1.61456064906 0.568341215144
217 6.92 -1.62552363404 0.528256151786
218 6.94 -1.63570258753 0.489925070364
219 6.96 -1.64513182134 0.453271777711
220 6.98 -1.65384415828 0.418223541087
221 7.0 -1.66187099974 0.384710922497
222 7.02 -1.66924238997 0.352667621378
223 7.04 -1.67598707733 0.322030325194
224 7.06 -1.68213257263 0.292738567537
225 7.08 -1.68770520468 0.264734593325
226 7.1 -1.69273017323 0.237963230734
227 7.12 -1.6972315994 0.2123717695
228 7.14 -1.70123257376 0.187909845266
229 7.16 -1.70475520212 0.16452932965
230 7.18 -1.70782064924 0.142184225751
231 7.2 -1.71044918037 0.120830568787
232 7.22 -1.71266020104 0.100426331626
233 7.24 -1.71447229485 0.0809313349308
234 7.26 -1.71590325956 0.0623071617066
235 7.28 -1.71697014154 0.044517076001
236 7.3 -1.71768926862 0.0275259455594
237 7.32 -1.71807628139 0.0113001682279
238 7.34 -1.71814616312 -0.00419239808778
239 7.36 -1.71791326826 -0.0189825020854
240 7.38 -1.71739134971 -0.0330995625254
241 7.4 -1.71659358478 -0.0465717286462
242 7.42 -1.71553260002 -0.0594259376903
243 7.44 -1.71422049488 -0.0716879696855
244 7.46 -1.71266886435 -0.0833824996199
245 7.48 -1.71088882055 -0.0945331471409
246 7.5 -1.70889101338 -0.105162523901
247 7.52 -1.7066856502 -0.115292278666
248 7.54 -1.70428251466 -0.124943140307
249 7.56 -1.70169098469 -0.13413495876
250 7.58 -1.69892004969 -0.142886744076
251 7.6 -1.69597832693 -0.151216703644
252 7.62 -1.69287407728 -0.159142277674
253 7.64 -1.68961522019 -0.166680173038
254 7.66 -1.68620934803 -0.173846395532
255 7.68 -1.68266373981 -0.180656280652
256 7.7 -1.67898537429 -0.187124522948
257 7.72 -1.67518094251 -0.193265204023
258 7.74 -1.67125685978 -0.199091819249
259 7.76 -1.66721927716 -0.204617303261
260 7.78 -1.66307409242 -0.20985405428
261 7.8 -1.65882696053 -0.214813957332
262 7.82 -1.65448330371 -0.21950840641
263 7.84 -1.65004832104 -0.223948325627
264 7.86 -1.64552699763 -0.228144189416
265 7.88 -1.64092411345 -0.232106041819
266 7.9 -1.63624425173 -0.235843514899
267 7.92 -1.63149180705 -0.239365846333
268 7.94 -1.62667099301 -0.242681896213
269 7.96 -1.62178584967 -0.245800163096
270 7.98 -1.61684025061 -0.248728799339
271 8.0 -1.61183790969 -0.251475625745
272 8.02 -1.60678238756 -0.254048145572
273 8.04 -1.60167709786 -0.256453557906
274 8.06 -1.59652531318 -0.258698770453
275 8.08 -1.59133017079 -0.260790411767
276 8.1 -1.58609467805 -0.262734842931
277 8.12 -1.58082171772 -0.264538168734
278 8.14 -1.57551405289 -0.26620624836
279 8.16 -1.57017433188 -0.267744705599
280 8.18 -1.56480509278 -0.269158938625
281 8.2 -1.55940876791 -0.270454129338
282 8.22 -1.55398768802 -0.271635252315
283 8.24 -1.54854408639 -0.272707083354
284 8.26 -1.54308010269 -0.273674207668
285 8.28 -1.53759778673 -0.274541027712
286 8.3 -1.53209910206 -0.275311770682
287 8.32 -1.52658592932 -0.275990495686
288 8.34 -1.52106006966 -0.276581100614
289 8.36 -1.51552324778 -0.277087328708
290 8.38 -1.50997711503 -0.277512774857
291 8.4 -1.50442325228 -0.277860891625
292 8.42 -1.49886317276 -0.278134995017
293 8.44 -1.49329832464 -0.278338270004
294 8.46 -1.48773009372 -0.27847377582
295 8.48 -1.48215980579 -0.278544451025
296 8.5 -1.47658872904 -0.278553118366
297 8.52 -1.47101807634 -0.278502489422
298 8.54 -1.46544900739 -0.27839516907
299 8.56 -1.45988263082 -0.278233659745
300 8.58 -1.45432000621 -0.27802036554
301 8.6 -1.44876214601 -0.277757596126
302 8.62 -1.44321001738 -0.277447570509
303 8.64 -1.437664544 -0.277092420635
304 8.66 -1.43212660771 -0.276694194842
305 8.68 -1.42659705024 -0.276254861174
306 8.7 -1.4210766747 -0.275776310556
307 8.72 -1.41556624714 -0.275260359835
308 8.74 -1.41006649798 -0.274708754702
309 8.76 -1.40457812345 -0.274123172492
310 8.78 -1.39910178684 -0.273505224869
311 8.8 -1.39363811988 -0.272856460401
312 8.82 -1.38818772394 -0.272178367032
313 8.84 -1.38275117119 -0.271472374453
314 8.86 -1.37732900578 -0.270739856375
315 8.88 -1.37192174496 -0.269982132713
316 8.9 -1.36652988005 -0.269200471678
317 8.92 -1.36115387754 -0.26839609179
318 8.94 -1.35579418002 -0.267570163805
319 8.96 -1.35045120713 -0.266723812565
320 8.98 -1.34512535646 -0.26585811878
321 9.0 -1.3398170044 -0.264974120729
322 9.02 -1.334526507 -0.2640728159
323 9.04 -1.32925420074 -0.263155162565
324 9.06 -1.32400040334 -0.262222081284
325 9.08 -1.31876541444 -0.261274456364
326 9.1 -1.31354951637 -0.260313137244
327 9.12 -1.3083529748 -0.259338939836
328 9.14 -1.3031760394 -0.258352647809
329 9.16 -1.2980189445 -0.257355013824
330 9.18 -1.29288190964 -0.256346760718
331 9.2 -1.28776514023 -0.255328582644
332 9.22 -1.28266882805 -0.254301146164
333 9.24 -1.27759315183 -0.253265091305
334 9.26 -1.27253827775 -0.252221032561
335 9.28 -1.26750435995 -0.251169559871
336 9.3 -1.262491541 -0.25011123955
337 9.32 -1.25749995239 -0.249046615186
338 9.34 -1.25252971494 -0.2479762085
339 9.36 -1.24758093926 -0.246900520178
340 9.38 -1.24265372614 -0.245820030663
341 9.4 -1.23774816696 -0.244735200927
342 9.42 -1.23286434408 -0.243646473201
343 9.44 -1.22800233119 -0.242554271687
344 9.46 -1.22316219366 -0.241459003238
345 9.48 -1.2183439889 -0.240361058009
346 9.5 -1.21354776668 -0.239260810093
347 9.52 -1.20877356945 -0.238158618121
348 9.54 -1.20402143262 -0.237054825845
349 9.56 -1.19929138489 -0.235949762702
350 9.58 -1.19458344848 -0.234843744346
351 9.6 -1.18989763946 -0.233737073173
352 9.62 -1.18523396797 -0.232630038816
353 9.64 -1.18059243848 -0.231522918625
354 9.66 -1.17597305003 -0.230415978128
355 9.68 -1.17137579646 -0.229309471477
356 9.7 -1.16680066665 -0.228203641873
357 9.72 -1.16224764472 -0.22709872198
358 9.74 -1.15771671022 -0.225994934317
359 9.76 -1.15320783838 -0.224892491642
360 9.78 -1.14872100023 -0.223791597316
361 9.8 -1.14425616286 -0.222692445658
362 9.82 -1.13981328955 -0.221595222284
363 9.84 -1.13539233993 -0.220500104432
364 9.86 -1.13099327021 -0.219407261278
365 9.88 -1.12661603324 -0.218316854241
366 9.9 -1.12226057877 -0.217229037271
367 9.92 -1.1179268535 -0.216143957132
368 9.94 -1.1136148013 -0.215061753669
369 9.96 -1.10932436329 -0.213982560076
370 9.98 -1.10505547799 -0.212906503136
371 10.0 -1.10080808145 -0.211833703472
372 10.02 -1.09658210737 -0.210764275774
373 10.04 -1.09237748721 -0.209698329022
374 10.06 -1.08819415031 -0.208635966708
375 10.08 -1.08403202399 -0.207577287034
376 10.1 -1.07989103365 -0.206522383122
377 10.12 -1.0757711029 -0.205471343199
378 10.14 -1.07167215361 -0.204424250786
379 10.16 -1.06759410603 -0.203381184875
380 10.18 -1.06353687887 -0.202342220105
381 10.2 -1.05950038941 -0.201307426921
382 10.22 -1.05548455354 -0.20027687174
383 10.24 -1.05148928587 -0.199250617102
384 10.26 -1.04751449979 -0.19822872182
385 10.28 -1.04356010757 -0.197211241119
386 10.3 -1.03962602037 -0.196198226777
387 10.32 -1.0357121484 -0.195189727259
388 10.34 -1.03181840088 -0.19418578784
389 10.36 -1.0279446862 -0.193186450732
390 10.38 -1.02409091191 -0.1921917552
391 10.4 -1.0202569848 -0.191201737679
392 10.42 -1.01644281099 -0.190216431881
393 10.44 -1.01264829591 -0.189235868906
394 10.46 -1.00887334442 -0.188260077336
395 10.48 -1.00511786083 -0.187289083343
396 10.5 -1.00138174894 -0.186322910778
397 10.52 -0.997664912113 -0.185361581264
398 10.54 -0.993967253276 -0.184405114284
399 10.56 -0.990288675008 -0.183453527268
400 10.58 -0.986629079549 -0.182506835671
401 10.6 -0.982988368854 -0.181565053055
402 10.62 -0.979366444622 -0.180628191165
403 10.64 -0.975763208335 -0.179696260001
404 10.66 -0.972178561294 -0.17876926789
405 10.68 -0.968612404648 -0.177847221551
406 10.7 -0.965064639426 -0.176930126167
407 10.72 -0.96153516657 -0.176017985441
408 10.74 -0.958023886961 -0.175110801662
409 10.76 -0.95453070145 -0.174208575761
410 10.78 -0.951055510881 -0.173311307369
411 10.8 -0.947598216116 -0.172418994873
412 10.82 -0.944158718065 -0.171531635464
413 10.84 -0.940736917703 -0.170649225192
414 10.86 -0.937332716096 -0.169771759015
415 10.88 -0.933946014422 -0.168899230842
416 10.9 -0.93057671399 -0.168031633581
417 10.92 -0.92722471626 -0.167168959186
418 10.94 -0.923889922863 -0.166311198692
419 10.96 -0.920572235618 -0.165458342262
420 10.98 -0.917271556549 -0.164610379221
421 11.0 -0.913987787903 -0.1637672981
422 11.02 -0.910720832161 -0.162929086665
423 11.04 -0.907470592058 -0.162095731957
424 11.06 -0.904236970595 -0.161267220326
425 11.08 -0.901019871053 -0.160443537459
426 11.1 -0.897819197004 -0.159624668416
427 11.12 -0.894634852328 -0.15881059766
428 11.14 -0.891466741217 -0.15800130908
429 11.16 -0.888314768194 -0.157196786028
430 11.18 -0.88517883812 -0.156397011339
431 11.2 -0.882058856202 -0.155601967361
432 11.22 -0.878954728008 -0.154811635976
433 11.24 -0.87586635947 -0.154025998629
434 11.26 -0.872793656896 -0.153245036348
435 11.28 -0.869736526978 -0.152468729768
436 11.3 -0.866694876798 -0.15169705915
437 11.32 -0.863668613839 -0.150930004405
438 11.34 -0.860657645986 -0.150167545112
439 11.36 -0.857661881536 -0.149409660536
440 11.38 -0.854681229206 -0.148656329652
441 11.4 -0.851715598134 -0.147907531156
442 11.42 -0.848764897888 -0.147163243484
443 11.44 -0.845829038468 -0.146423444834
444 11.46 -0.842907930314 -0.145688113174
445 11.48 -0.840001484309 -0.144957226261
446 11.5 -0.837109611782 -0.144230761656
447 11.52 -0.834232224512 -0.143508696739
448 11.54 -0.831369234733 -0.14279100872
449 11.56 -0.828520555137 -0.142077674653
450 11.58 -0.825686098874 -0.141368671449
451 11.6 -0.822865779561 -0.140663975889
452 11.62 -0.820059511277 -0.139963564633
453 11.64 -0.81726720857 -0.139267414235
454 11.66 -0.814488786459 -0.138575501149
455 11.68 -0.811724160433 -0.137887801745
456 11.7 -0.808973246456 -0.137204292313
457 11.72 -0.806235960966 -0.136524949077
458 11.74 -0.803512220877 -0.135849748201
459 11.76 -0.800801943581 -0.135178665802
460 11.78 -0.798105046948 -0.134511677954
461 11.8 -0.795421449326 -0.133848760697
462 11.82 -0.792751069543 -0.133189890048
463 11.84 -0.790093826906 -0.132535042004
464 11.86 -0.787449641205 -0.131884192552
465 11.88 -0.784818432707 -0.131237317677
466 11.9 -0.782200122161 -0.130594393364
467 11.92 -0.779594630795 -0.129955395608
468 11.94 -0.777001880319 -0.129320300421
469 11.96 -0.774421792921 -0.128689083832
470 11.98 -0.771854291268 -0.1280617219
471 12.0 -0.769299298507 -0.127438190715
472 12.02 -0.766756738261 -0.126818466403
473 12.04 -0.764226534631 -0.126202525133
474 12.06 -0.761708612194 -0.125590343118
475 12.08 -0.759202896002 -0.124981896625
476 12.1 -0.756709311583 -0.124377161973
477 12.12 -0.754227784935 -0.123776115544
478 12.14 -0.75175824253 -0.123178733779
479 12.16 -0.74930061131 -0.122584993188
480 12.18 -0.746854818684 -0.121994870352
481 12.2 -0.744420792533 -0.121408341923
482 12.22 -0.7419984612 -0.120825384632
483 12.24 -0.739587753495 -0.120245975289
484 12.26 -0.737188598689 -0.119670090788
485 12.28 -0.734800926518 -0.119097708107
486 12.3 -0.732424667173 -0.118528804313
487 12.32 -0.730059751305 -0.117963356563
488 12.34 -0.727706110022 -0.11740134211
489 12.36 -0.725363674883 -0.116842738298
490 12.38 -0.723032377902 -0.116287522571
491 12.4 -0.720712151543 -0.115735672472
492 12.42 -0.718402928715 -0.115187165645
493 12.44 -0.716104642777 -0.114641979838
494 12.46 -0.713817227529 -0.114100092904
495 12.48 -0.711540617215 -0.1135614828
496 12.5 -0.709274746518 -0.113026127594
497 12.52 -0.707019550558 -0.112494005462
498 12.54 -0.70477496489 -0.11196509469
499 12.56 -0.702540925505 -0.111439373678
500 12.58 -0.700317368821 -0.110916820936
501 12.6 -0.698104231688 -0.110397415091
502 12.62 -0.69590145138 -0.109881134884
503 12.64 -0.693708965596 -0.109367959171
504 12.66 -0.691526712457 -0.108857866928
505 12.68 -0.689354630502 -0.108350837244
506 12.7 -0.687192658689 -0.107846849332
507 12.72 -0.685040736388 -0.107345882519
508 12.74 -0.682898803384 -0.106847916255
509 12.76 -0.680766799871 -0.106352930108
510 12.78 -0.678644666448 -0.105860903769
511 12.8 -0.676532344122 -0.105371817049
512 12.82 -0.674429774302 -0.10488564988
513 12.84 -0.672336898796 -0.104402382317
514 12.86 -0.670253659811 -0.103921994536
515 12.88 -0.668179999948 -0.103444466836
516 12.9 -0.666115862201 -0.102969779639
517 12.92 -0.664061189955 -0.102497913489
518 12.94 -0.662015926983 -0.102028849053
519 12.96 -0.659980017443 -0.101562567122
520 12.98 -0.657953405876 -0.101099048608
521 13.0 -0.655936037203 -0.100638274548
522 13.02 -0.653927856723 -0.100180226101
523 13.04 -0.651928810113 -0.0997248845489
524 13.06 -0.649938843419 -0.0992722312959
525 13.08 -0.647957903062 -0.0988222478696
526 13.1 -0.645985935828 -0.0983749159199
527 13.12 -0.64402288887 -0.0979302172191
528 13.14 -0.642068709705 -0.0974881336614
529 13.16 -0.640123346209 -0.097048647263
530 13.18 -0.638186746619 -0.0966117401617
531 13.2 -0.636258859526 -0.0961773946166
532 13.22 -0.634339633875 -0.0957455930079
533 13.24 -0.632429018963 -0.0953163178365
534 13.26 -0.630526964434 -0.0948895517235
535 13.28 -0.628633420282 -0.0944652774101
536 13.3 -0.62674833684 -0.0940434777572
537 13.32 -0.624871664787 -0.0936241357448
538 13.34 -0.623003355139 -0.0932072344716
539 13.36 -0.621143359249 -0.0927927571548
540 13.38 -0.619291628804 -0.0923806871294
541 13.4 -0.617448115825 -0.091971007848
542 13.42 -0.615612772662 -0.0915637028799
543 13.44 -0.61378555199 -0.0911587559112
544 13.46 -0.611966406813 -0.0907561507435
545 13.48 -0.610155290456 -0.0903558712944
546 13.5 -0.608352156563 -0.0899579015961
547 13.52 -0.606556959099 -0.0895622257951
548 13.54 -0.604769652343 -0.089168828152
549 13.56 -0.602990190889 -0.0887776930406
550 13.58 -0.601218529642 -0.0883888049474
551 13.6 -0.599454623814 -0.088002148471
552 13.62 -0.597698428927 -0.0876177083216
553 13.64 -0.595949900807 -0.0872354693205
554 13.66 -0.594208995581 -0.0868554163993
555 13.68 -0.592475669677 -0.0864775345994
556 13.7 -0.590749879822 -0.0861018090713
557 13.72 -0.589031583037 -0.0857282250742
558 13.74 -0.587320736639 -0.0853567679751
559 13.76 -0.585617298236 -0.0849874232486
560 13.78 -0.583921225723 -0.0846201764757
561 13.8 -0.582232477286 -0.0842550133436
562 13.82 -0.580551011393 -0.083891919645
563 13.84 -0.578876786798 -0.0835308812773
564 13.86 -0.577209762533 -0.0831718842421
565 13.88 -0.575549897912 -0.0828149146446
566 13.9 -0.573897152523 -0.0824599586927
567 13.92 -0.572251486231 -0.0821070026966
568 13.94 -0.570612859173 -0.0817560330682
569 13.96 -0.568981231756 -0.0814070363201
570 13.98 -0.567356564657 -0.0810599990654
571 14.0 -0.565738818819 -0.0807149080166
572 14.02 -0.564127955449 -0.0803717499853
573 14.04 -0.56252393602 -0.0800305118814
574 14.06 -0.560926722261 -0.0796911807123
575 14.08 -0.559336276164 -0.0793537435825
576 14.1 -0.557752559976 -0.079018187693
577 14.12 -0.5561755362 -0.0786845003402
578 14.14 -0.55460516759 -0.0783526689157
579 14.16 -0.553041417154 -0.0780226809053
580 14.18 -0.551484248147 -0.0776945238888
581 14.2 -0.549933624074 -0.0773681855387
582 14.22 -0.548389508683 -0.0770436536203
583 14.24 -0.546851865967 -0.0767209159903
584 14.26 -0.545320660162 -0.0763999605967
585 14.28 -0.543795855741 -0.076080775478
586 14.3 -0.54227741742 -0.0757633487623
587 14.32 -0.540765310147 -0.075447668667
588 14.34 -0.539259499107 -0.0751337234981
589 14.36 -0.537759949718 -0.0748215016493
590 14.38 -0.536266627629 -0.0745109916017
591 14.4 -0.534779498718 -0.0742021819228
592 14.42 -0.533298529092 -0.0738950612663
593 14.44 -0.531823685082 -0.073589618371
594 14.46 -0.530354933247 -0.0732858420606
595 14.48 -0.528892240363 -0.0729837212427
596 14.5 -0.527435573434 -0.0726832449085
597 14.52 -0.525984899677 -0.0723844021319
598 14.54 -0.52454018653 -0.072087182069
599 14.56 -0.523101401648 -0.0717915739575
600 14.58 -0.521668512897 -0.0714975671162
601 14.6 -0.520241488359 -0.071205150944
602 14.62 -0.518820296325 -0.0709143149198
603 14.64 -0.517404905297 -0.0706250486013
604 14.66 -0.515995283985 -0.0703373416252
605 14.68 -0.514591401305 -0.0700511837056
606 14.7 -0.513193226378 -0.0697665646344
607 14.72 -0.511800728528 -0.06948347428
608 14.74 -0.510413877282 -0.069201902587
609 14.76 -0.509032642367 -0.0689218395755
610 14.78 -0.507656993708 -0.0686432753407
611 14.8 -0.506286901427 -0.068366200052
612 14.82 -0.504922335844 -0.0680906039529
613 14.84 -0.503563267472 -0.0678164773599
614 14.86 -0.502209667017 -0.0675438106623
615 14.88 -0.500861505377 -0.0672725943215
616 14.9 -0.499518753638 -0.0670028188703
617 14.92 -0.498181383079 -0.0667344749127
618 14.94 -0.496849365161 -0.066467553123
619 14.96 -0.495522671534 -0.0662020442454
620 14.98 -0.494201274033 -0.0659379390934
621 15.0 -0.492885144673 -0.0656752285492
