Position data for MD simulation
161 2 9.729818 3.920007 18.490075
162 1 8.23825 8.027751 17.068995
163 1 4.103417 9.893021 18.750211
164 1 8.095744 7.73466 20.44646
165 2 8.348453 1.630886 15.803105
166 1 0.114526 2.216943 15.877394
167 2 4.178332 6.016772 21.363439
168 1 1.899673 9.855866 20.182773
169 1 0.06894 8.212942 17.306197
170 1 5.88851 5.844373 14.487209
171 1 0.059742 4.374953 14.646907
172 1 3.878323 4.145978 14.489788
173 2 4.294142 2.069501 21.441214
174 1 8.064234 9.497999 18.769847
175 1 0.054546 7.976599 20.116681
176 1 8.525044 0.101361 14.328798
177 2 9.906967 7.812697 18.799053
178 1 2.121141 3.832231 21.274441
179 2 0.246791 1.874452 21.452019
180 1 0.500726 0.008693 17.033685
181 1 6.032205 3.972779 21.459867
182 1 6.228607 9.827219 20.293439
183 1 1.999764 9.905509 14.422608
184 2 0.044761 6.18458 27.221929
185 1 2.164891 1.954699 22.914632
186 1 2.035794 3.798225 24.476506
187 1 2.328794 2.047568 26.040855
188 2 1.965861 4.051758 27.120895
189 1 0.39788 0.200226 23.107141
190 1 2.011846 6.031691 22.819617
191 2 1.784066 7.880599 24.253767
192 1 1.950682 5.925284 25.629958
193 1 2.108877 7.833186 26.877206
194 2 1.9192 8.201599 21.667898
195 1 1.939171 2.209822 28.547
196 1 0.09557 5.722002 24.118636
197 1 0.059192 4.031101 25.673341
198 1 4.156274 3.971969 23.108429
199 2 3.825507 5.899235 24.328013
200 1 3.962602 4.17038 25.711458
201 2 4.032842 6.194348 27.234817
202 2 8.150839 1.460228 21.735164
203 1 3.925207 7.821015 23.037858
204 1 6.069434 7.849806 21.58918
205 1 4.081687 8.179044 25.728661
206 1 2.137517 -0.00179 27.361868
207 1 8.039753 0.124328 26.068543
208 2 4.114742 2.131087 24.2305
209 1 3.99908 4.281021 28.716402
210 2 4.144388 2.150469 27.49599
211 1 6.148998 1.905923 22.975359
212 2 6.074117 3.917472 24.352374
213 1 6.069578 2.074776 25.719405
214 1 6.002174 3.93371 27.186956
215 1 0.192839 0.413941 26.157945
216 1 6.145721 5.660607 23.004422
217 2 6.18359 8.088504 24.428869
218 1 6.000198 5.825479 25.71821
219 1 6.173333 7.895994 27.094366
220 1 3.765773 8.320714 28.630547
221 2 0.032589 9.821813 27.080523
222 2 4.122723 9.91071 21.592517
223 2 8.048219 2.189184 27.563754
224 1 8.05413 3.580001 22.926534
225 1 8.342736 5.763964 24.213119
226 1 8.211594 4.017763 25.861054
227 2 8.184076 5.933488 27.242654
228 1 8.118291 7.605214 22.802609
229 1 8.324479 7.783863 25.586707
230 1 0.016695 3.877657 22.732209
231 2 8.078514 1.732391 24.510591
232 1 1.840212 9.799991 28.612751
233 1 8.133488 9.896767 24.464749
234 2 0.259027 2.202193 24.255994
235 1 0.314216 4.172421 28.718513
236 1 9.938719 0.110931 27.366007
237 2 7.9826 5.671003 21.68818
238 2 8.501796 9.719738 21.94795
239 1 9.867172 1.961233 25.98457
240 2 0.147317 6.141791 21.547334
241 1 5.959987 9.88575 28.446264
242 1 2.08124 9.932871 25.652862
243 1 6.215991 9.875565 22.814788
244 2 9.884 7.985376 27.46384
245 1 2.053337 6.324696 28.651576
246 1 6.049775 1.929788 28.696521
247 2 0.06014 2.237289 27.488449
248 1 3.934882 0.178228 25.967545
249 1 9.840405 6.042091 28.967975
250 2 2.173984 4.036239 30.18994
251 1 2.138694 1.819959 31.295867
252 1 1.8032 4.150642 32.867061
253 1 2.047457 2.163034 34.573733
254 1 9.757157 5.856956 31.585972
255 2 1.984761 8.057482 30.442659
256 1 1.902189 6.299208 31.518263
257 1 2.00465 7.876566 33.246864
258 1 2.092474 5.940699 34.381242
259 1 9.849722 7.582239 35.867784
260 1 5.975592 5.892618 28.820784
261 1 7.881925 4.231188 28.715136
262 2 3.96919 6.108456 30.036646
263 1 4.304991 4.019067 31.58604
264 2 3.874978 6.090045 33.013177
265 1 3.883657 4.012262 34.047762
266 2 7.971177 9.618775 30.35461
267 1 4.038509 7.895079 31.563612
268 2 9.882866 8.060992 32.88089
269 1 3.852553 7.973326 34.658588
270 2 8.029513 1.689238 30.31777
271 1 4.163056 1.923283 30.299358
272 2 0.30731 9.900525 33.238415
273 2 4.286428 1.824819 32.900834
274 1 9.963603 9.801963 34.332483
275 2 3.829562 9.892246 30.191697
276 1 9.951156 5.869139 34.267282
277 2 5.906886 3.824945 29.956531
278 1 6.25019 2.000173 31.408802
279 2 6.129784 3.873226 33.201737
280 1 6.024207 1.660256 34.504638
281 1 5.655283 8.037706 30.298826
282 1 5.90998 6.030124 31.796498
283 2 5.803769 8.062268 33.234027
284 1 5.648316 6.028578 34.412401
285 2 2.000293 0.062788 29.936432
286 1 4.002151 0.239121 34.547711
287 2 7.875695 9.857838 35.743993
288 1 4.152117 9.914457 32.869592
289 2 7.884602 5.804625 30.515091
290 1 8.132518 3.727718 31.677038
291 1 7.7924 5.613791 32.977039
292 1 8.01911 3.792212 34.3486
293 1 -0.020894 6.267341 35.935123
294 1 7.970367 7.808904 31.688519
295 1 7.867069 1.460462 33.267412
296 1 8.095509 7.621378 34.379858
297 2 0.26635 2.062812 32.980214
298 1 8.045897 7.870951 28.906921
299 1 9.997734 1.926788 34.348434
300 1 0.264087 4.15855 31.478102
301 1 8.129305 9.662531 33.34077
302 1 6.171677 9.777897 31.87305
303 2 2.117053 3.918439 35.830569
304 1 0.018672 6.039145 33.084422
305 2 -0.031077 6.013954 30.043673
306 1 0.325925 0.28504 34.639709
307 2 4.259742 2.109154 35.845693
308 1 0.073352 8.062334 31.580545
309 1 2.343233 1.989964 37.694901
310 2 2.150594 4.054688 38.94671
311 1 2.220728 2.214963 40.389648
312 1 1.840714 4.304025 41.598649
313 2 9.851649 3.872566 35.963799
314 1 2.171019 6.014511 37.248316
315 2 2.118925 8.126344 38.698529
316 1 1.822848 6.187734 40.065258
317 2 2.097718 8.187189 41.619939
318 1 5.93254 8.110487 35.997205
319 2 3.991484 5.882555 36.007498
320 1 -0.012189 2.312888 41.535278
321 1 6.078554 2.106397 42.961776
322 1 3.941822 4.118266 37.343966
323 1 4.059669 5.911086 38.924125
324 1 4.243788 3.888032 40.060591
325 2 3.820624 6.044866 41.295946
326 2 9.921226 7.931661 38.579473
327 1 4.030107 8.077903 37.285568
328 1 3.918623 8.293708 40.297934
329 1 2.161715 0.295479 39.355772
330 1 1.716889 2.19297 42.95232
331 2 4.139092 2.020988 38.874164
332 2 8.155884 2.03133 41.766174
333 2 3.98996 1.998471 41.86428
334 2 1.955968 0.141806 41.468358
335 1 6.069098 1.899748 37.679166
336 1 6.110129 4.162369 38.769973
337 1 6.048711 1.964619 40.3533
338 2 6.141685 4.080722 41.680286
339 2 1.734148 7.924023 35.925666
340 1 5.872871 5.91257 37.264731
341 2 5.753737 7.986748 38.662109
342 1 5.807845 6.31024 40.213219
343 1 5.79237 8.001638 41.901361
344 2 8.181288 1.933518 38.589357
345 2 6.088869 0.149377 35.933147
346 2 0.152044 2.044738 38.698728
347 1 7.919916 4.061438 37.378114
348 1 7.776014 6.110537 39.000834
349 1 8.002842 3.968503 40.117098
350 2 7.754178 6.072063 41.527234
351 1 7.780881 8.064429 37.254184
352 1 6.291803 9.911181 40.204209
353 1 7.950217 8.083051 39.741264
354 1 8.204143 1.891724 36.164896
355 1 9.851277 5.652981 37.621043
356 1 9.716265 5.972383 42.996371
357 2 7.856305 5.967135 36.020692
358 1 0.364357 2.154651 36.203036
359 1 0.193149 4.044633 40.128658
360 1 0.208035 7.768173 42.967627
361 1 9.743918 7.677695 41.398408
362 1 4.262636 0.235264 37.428049
363 1 8.043101 8.089437 43.017835
364 1 10.040909 5.794271 40.133159
365 1 4.408416 0.116462 40.438985
366 1 4.023578 4.299548 42.858497
367 1 5.738192 6.080328 42.916263
368 2 0.095082 9.809621 39.101012
369 2 2.214579 0.240932 36.189444
370 1 5.84047 3.923468 36.042476
371 1 0.100734 0.195132 37.583149
372 1 9.981436 1.84605 40.456977
373 2 0.100733 6.115963 38.581553
374 1 6.330599 0.057798 41.9442
375 1 2.035748 9.928114 40.400686
376 2 2.028957 12.029791 4.343529
377 2 1.832717 12.0538 1.526233
378 1 2.470958 13.791291 2.764359
379 1 2.300685 15.961461 4.291057
380 1 2.060136 13.885327 5.519295
381 1 5.834238 10.070177 2.927694
382 2 1.886408 16.065865 1.66092
383 1 2.119671 18.096749 3.047313
384 1 2.163548 18.168685 5.762644
385 1 10.050827 19.899402 1.574428
386 1 9.948295 15.901995 1.529421
387 1 0.210418 11.651505 6.004967
388 1 0.27473 19.935795 3.114751
389 1 4.130162 12.052688 2.845852
390 2 4.083177 14.206975 4.415789
391 1 4.479415 12.035332 5.613871
392 1 8.347115 10.116689 4.628832
393 1 4.026026 14.555714 1.14563
394 1 4.105262 16.069943 2.79047
395 2 4.308893 17.83833 4.559678
396 1 4.376446 15.933777 6.010429
397 1 3.760672 18.094647 1.847295
398 1 5.836096 18.459181 0.108707
399 1 1.806354 10.115736 0.142383
400 2 6.014233 12.01931 4.058408
401 2 6.287804 12.191282 1.438928
402 1 5.836242 14.336569 2.70115
403 1 6.122871 16.229593 4.050079
404 1 6.124808 14.192898 5.895019
405 2 6.014033 16.242276 1.12354
406 1 6.079131 18.233368 2.451718
407 1 7.97017 19.954987 2.606895
408 1 6.059387 18.072978 5.931421
409 1 0.427097 14.04138 1.503003
410 1 2.191644 10.0636 5.710588
411 1 0.367971 15.990554 5.758275
412 1 8.121831 11.862215 2.884365
413 1 7.839856 14.240154 4.204588
414 1 8.119676 12.198949 5.756332
415 1 1.889267 18.196126 0.390001
416 2 8.250768 14.243673 1.514848
417 1 8.097057 16.177213 2.73606
418 2 7.807352 18.225619 4.301169
419 1 8.310264 16.075805 5.305507
420 2 8.347941 18.190536 1.217783
421 1 6.282907 10.117942 5.854613
422 1 9.786661 18.050255 3.087513
423 2 0.049362 13.855713 3.892782
424 1 4.107379 12.401305 0.233064
425 2 3.884551 10.152812 1.437195
426 1 4.121692 13.877389 7.178332
427 1 0.075962 16.215095 2.937781
428 2 -0.012171 18.207893 7.149527
429 1 8.079939 10.068474 1.274677
430 1 1.837874 10.200577 2.937296
431 2 2.672069 11.916584 7.114747
432 1 9.745735 14.028721 5.503165
433 1 7.979471 19.87867 5.890632
434 2 6.458772 15.983265 7.07949
435 1 3.648404 16.379273 0.308238
436 1 9.917032 17.929154 5.767414
437 2 0.205506 13.496361 6.925497
438 2 8.374171 9.945625 7.179074
439 1 2.133145 11.985338 10.337125
440 1 6.205192 10.06828 8.567623
441 2 1.925428 12.221109 12.90294
442 1 6.102553 19.668158 13.166491
443 1 2.174822 13.823264 8.429979
444 1 2.207968 15.901953 9.783272
445 1 2.024553 13.917062 11.252814
446 2 1.910511 15.367567 13.024096
447 1 2.187987 18.012904 8.579874
448 1 2.094559 17.853285 11.590664
449 1 8.066064 17.823936 7.234384
450 2 2.327518 15.886631 7.19251
451 1 4.168685 12.037616 8.938555
452 2 3.859769 13.82077 9.965549
453 1 4.074929 11.694738 11.509286
454 2 3.991455 13.867807 13.313941
455 2 8.241508 9.994227 9.907508
456 1 4.442031 15.749147 8.427258
457 1 3.927001 17.574948 10.276783
458 1 4.177797 15.577045 11.593519
459 2 4.088318 17.830711 12.915447
460 1 9.943225 10.077354 14.205532
461 1 4.12084 19.696072 11.456918
462 1 6.118785 11.923269 10.309139
463 2 5.936561 11.748474 12.937377
464 1 0.308697 20.007911 8.71055
465 1 6.076704 13.9383 8.770194
466 1 6.060418 15.756544 10.252079
467 1 5.710351 13.764932 11.863599
468 2 6.342801 15.703697 12.760584
469 2 9.7832 15.914621 7.343858
470 1 6.301219 17.766585 8.600377
471 1 6.061071 17.859509 11.243124
472 1 4.198104 11.661356 14.355961
473 2 6.302664 12.183456 7.431069
474 1 9.91634 14.041515 8.86732
475 1 8.04318 12.051399 8.784519
476 2 7.823881 13.720662 10.339976
477 1 8.286488 11.772327 11.63164
478 1 8.073673 13.86118 13.043449
479 1 0.197463 19.893872 11.3413
480 1 8.111216 15.954976 8.899899
481 2 8.320206 18.034433 10.111612
482 1 8.197336 16.081274 11.655364
483 2 7.868502 18.008857 13.089194
484 1 8.144817 14.053925 7.268822
485 2 0.243417 17.732577 12.948887
486 1 8.076733 19.925371 11.951267
487 1 2.311394 19.890775 10.038164
488 1 0.323825 11.641597 8.442004
489 2 6.068835 19.842503 10.212475
490 2 4.261844 17.942884 7.385558
491 1 9.971954 18.123507 8.441667
492 1 0.130838 15.551097 11.725388
493 1 2.10934 10.04389 8.68172
494 1 0.064467 15.823015 8.131762
495 1 5.923108 13.869743 14.304942
496 2 0.429445 17.757335 10.194122
497 2 2.271552 12.061947 15.881208
498 1 1.728426 17.678267 14.54177
499 1 1.93772 11.940058 18.57329
500 1 6.091867 10.154343 14.451207
501 1 0.179935 15.718566 14.550667
502 2 2.334091 15.765436 15.794923
503 1 1.807925 13.684858 17.310827
504 2 1.93379 15.7204 18.586684
505 1 1.961022 13.915373 19.968681
506 1 8.081377 11.792338 14.42072
507 1 1.719614 17.542121 17.172139
508 2 8.060243 10.019609 15.9584
509 1 2.241833 17.603934 20.238216
510 2 9.766951 11.571701 18.959411
511 1 1.786775 13.723263 14.595033
512 1 3.922071 13.962299 15.775257
513 1 3.957659 11.84761 17.337809
514 2 4.004796 13.831573 18.542013
515 1 4.117571 12.106095 20.459603
516 2 5.975028 19.880808 21.507955
517 2 3.754312 18.033319 16.056822
518 1 4.154878 15.888459 17.462953
519 1 3.99898 17.763533 18.508782
520 1 3.878573 15.910034 19.930182
521 1 4.090863 19.778456 19.812861
522 1 4.037463 19.788498 14.371974
523 1 2.253425 19.793229 21.382606
524 1 9.868472 14.045688 14.555375
525 2 5.898236 12.275801 16.285392
526 2 5.848123 11.623066 18.966827
527 2 6.091065 20.068565 18.725057
528 2 5.927816 15.598823 15.822969
529 1 6.008748 13.97971 17.739874
530 2 6.051966 16.04965 18.98863
531 1 6.197967 13.781985 20.333308
532 1 8.036477 16.088011 17.373903
533 1 7.951199 16.051391 20.550815
534 1 6.118454 18.12285 17.521386
535 1 5.973811 18.022458 19.959868
536 1 0.092436 15.797416 16.979382
537 1 1.819958 19.70893 15.760981
538 1 0.103231 11.842829 16.840682
539 1 7.703861 13.80161 15.737854
540 1 7.889123 12.034454 17.581421
541 1 8.14076 14.042737 18.885476
542 1 8.181742 11.71865 20.548544
543 1 8.207834 17.933442 18.812521
544 2 1.933077 19.32246 18.708505
545 2 7.928429 17.983408 15.965131
546 1 9.737522 13.56871 17.334996
547 1 0.095347 15.836782 20.479816
548 1 9.991874 9.978639 17.464252
549 1 0.097312 12.194762 20.117479
550 1 0.060232 11.866639 14.486676
551 1 1.936656 10.191873 17.17055
552 2 5.923556 19.853668 15.916933
553 2 4.27242 17.879242 21.525228
554 2 9.739881 15.912875 15.903811
555 2 9.841973 15.549398 18.90038
556 2 2.083374 11.803382 21.349258
557 1 9.776525 13.948901 20.545942
558 1 9.858233 17.950848 20.238671
559 1 3.903622 16.109918 14.392165
560 1 5.826627 17.583321 14.390693
561 1 7.917089 16.126896 14.434843
562 2 9.925612 12.082768 15.915465
563 1 1.952223 10.132116 23.043184
564 2 1.989219 11.911142 24.588922
565 1 0.35401 19.847664 23.022754
566 1 2.186123 11.88216 27.097338
567 2 9.812315 12.023944 24.414141
568 1 1.890793 13.819875 23.461921
569 2 2.194679 15.988629 24.443331
570 1 1.972182 14.173991 25.860011
571 2 1.856972 16.207389 27.284477
572 1 9.744046 14.068621 23.031906
573 1 2.020495 17.844294 22.714036
574 2 9.929169 12.106822 27.573398
575 1 2.099585 18.094255 26.18589
576 1 5.959581 15.713524 21.67276
577 1 4.30702 10.041662 24.253572
578 2 7.856211 13.932108 21.856823
579 1 3.969034 11.810376 23.039177
580 1 4.045417 14.308208 24.337493
581 1 4.114667 12.048937 25.627464
582 2 4.015708 14.032842 27.162273
583 1 3.900101 16.224119 23.04151
584 1 3.933076 18.41217 24.663106
585 1 3.987061 16.094031 25.883547
586 2 3.852581 17.820563 27.555763
587 1 9.998789 13.993919 25.970413
588 2 4.02093 14.119482 21.899887
589 2 3.83091 10.064041 27.341561
590 2 6.198345 11.714544 24.359765
591 2 6.072161 12.233591 27.148947
592 1 6.132209 13.888006 23.220114
593 2 5.774092 16.00619 24.22597
594 1 5.930029 14.059059 25.931886
595 2 5.971041 15.913821 27.438942
596 1 5.736687 17.987191 23.152818
597 1 5.931678 17.861473 25.872756
598 1 0.082128 10.06276 24.423493
599 1 6.170637 11.923925 21.577162
600 1 1.963959 15.504562 21.698191
601 1 7.977113 11.870079 22.904859
602 1 8.151675 13.938115 24.486881
603 1 8.224413 11.828868 26.100062
604 1 8.012701 14.020173 27.663967
605 1 7.848126 16.008909 23.175792
606 1 7.823012 17.803207 24.410703
607 1 7.734327 16.121223 26.101554
608 1 8.108387 18.253512 27.194702
609 2 9.702023 15.919741 24.666695
610 1 0.230913 12.171122 25.898996
611 1 -0.003525 17.703944 27.539668
612 2 9.679762 16.112066 27.504865
613 2 7.775408 18.020147 21.678265
614 1 6.02849 17.945652 28.62477
615 1 5.946345 10.028704 26.009724
616 1 0.134876 12.216219 22.998254
617 1 0.024394 10.017972 21.690801
618 1 9.829445 17.839433 22.850926
619 1 9.876513 18.067422 25.849659
620 1 2.253977 14.166282 28.647324
621 2 8.204637 10.083655 27.313852
622 2 5.859088 19.934061 24.449803
623 2 1.869467 11.885633 35.857706
624 1 1.944783 12.000913 30.052149
625 1 3.999177 16.020135 28.791932
626 2 2.160109 11.999314 33.021487
627 1 4.22981 11.78747 28.891809
628 1 1.898467 15.957036 30.216626
629 1 2.008579 13.807795 31.514512
630 2 2.069733 15.74718 32.871478
631 1 1.883263 13.799466 34.751294
632 1 0.234762 15.850553 29.069945
633 1 2.368009 18.040786 31.760446
634 1 2.055575 17.842638 34.35966
635 1 5.772464 10.094766 34.521394
636 1 9.679583 17.922786 31.58157
637 1 7.932188 16.007184 28.987885
638 2 3.850847 13.85608 30.184146
639 1 3.933153 12.111768 31.690097
640 2 4.044669 14.028085 33.167423
641 1 3.883466 12.068188 34.502086
642 2 0.206196 13.539421 30.199773
643 1 3.967691 17.74596 30.164164
644 1 4.018473 15.783299 31.454813
645 2 4.26989 17.670983 33.348283
646 1 3.613212 15.940922 34.685128
647 1 9.668616 15.911144 32.978837
648 1 0.072776 19.896249 34.687915
649 1 3.995291 18.298358 35.906331
650 2 5.976688 11.831107 30.441452
651 1 2.118839 10.139921 34.610834
652 2 6.115073 12.047019 33.041424
653 1 1.989091 10.013889 31.73173
654 2 5.957387 15.879013 30.232357
655 1 5.987899 13.961787 31.76395
656 1 5.87958 15.97434 33.017823
657 1 6.047203 14.023772 34.731987
658 1 4.11866 19.789708 31.543756
659 1 8.019673 15.984021 34.698296
660 1 5.955652 17.980389 31.273395
661 1 6.115495 17.72357 34.805852
662 1 6.003856 19.935738 33.030376
663 1 7.911826 13.808726 30.387741
664 1 8.083511 11.903366 31.532109
665 2 8.14361 13.919756 32.86725
666 1 7.955778 11.922929 34.482819
667 1 2.071148 18.18347 28.796901
668 2 7.84123 18.297927 29.740168
669 1 7.949345 16.062975 31.378779
670 2 7.657325 17.807608 33.039729
671 2 0.096385 18.179176 30.554185
672 1 3.844134 19.965345 34.191974
673 1 0.085524 18.151903 33.002864
674 1 9.534218 17.843515 34.61042
675 1 10.017358 14.093051 31.507818
676 1 5.871404 14.028515 28.983888
677 2 9.795284 15.958233 30.243047
678 1 7.708683 11.935245 28.800859
679 1 0.014736 16.219952 31.814564
680 1 9.881198 13.726004 34.694464
681 1 0.25254 15.966602 34.522852
682 2 9.956246 12.066826 30.128347
683 1 7.833478 19.907902 31.454957
684 2 7.913282 13.777009 36.045347
685 1 5.780734 9.973422 37.622369
686 2 1.978728 12.136551 39.041283
687 2 3.931763 10.243689 39.044272
688 2 2.235163 12.092098 41.71954
689 2 4.087829 13.953938 36.233438
690 2 8.262442 9.985347 41.55868
691 1 1.925578 13.791961 37.37686
692 2 2.041965 15.878253 38.779089
693 1 2.273709 14.194441 40.230132
694 2 1.859363 16.191055 41.970679
695 1 2.345327 17.869223 37.421569
696 2 5.960356 16.113662 36.109356
697 1 2.188613 17.996178 40.395889
698 1 0.225133 19.996816 40.08101
699 1 5.838407 12.099152 35.968413
700 2 1.94978 19.824086 36.015414
701 1 4.0216 11.98496 37.625589
702 1 4.225204 14.012694 38.692352
703 1 4.075349 12.314534 40.461341
704 2 4.142427 14.214404 41.755395
705 1 2.134824 14.218699 43.048412
706 1 3.803945 16.164821 37.338417
707 2 4.006698 17.9936 39.019219
708 1 3.769289 16.226035 40.282136
709 2 4.077233 17.70308 41.858827
710 1 0.146115 11.952203 42.934587
711 2 8.013702 14.358908 41.671238
712 1 8.017944 12.065068 42.89477
713 1 8.073092 12.018854 40.351875
714 2 6.128774 12.173714 38.909326
715 1 7.98388 10.088546 38.666662
716 1 5.958085 11.788674 41.608518
717 1 8.039212 18.242244 41.719683
718 2 3.967598 10.255363 36.146443
719 1 6.316384 13.905936 37.382266
720 2 5.936708 15.96649 39.117623
721 1 6.020299 13.905325 40.215606
722 1 5.774397 15.918311 41.57635
723 2 8.171769 18.225606 38.681186
724 1 5.829574 18.118506 37.621133
725 1 5.865206 18.463554 40.274208
726 1 7.919425 14.288661 38.788141
727 1 -0.073722 18.325421 41.986803
728 1 1.822418 10.099372 37.414176
729 1 7.957984 16.319025 37.529215
730 1 8.051762 16.40653 40.26042
731 1 7.881634 11.555581 37.180966
