 Noint=           31
    0.200000    0.981528  -14.836056
    0.400000    0.928701  -13.713668
    0.600000    0.848277  -12.153231
    0.800000    0.749182  -10.387674
    1.000000    0.640833   -8.569246
    1.200000    0.531959   -6.823990
    1.400000    0.429662   -5.264451
    1.600000    0.338744   -3.959964
    1.800000    0.261588   -2.924707
    2.000000    0.198557   -2.133454
    2.200000    0.148627   -1.543675
    2.400000    0.110030   -1.110905
    2.600000    0.080752   -0.796341
    2.800000    0.058854   -0.569045
    3.000000    0.042640   -0.405531
    3.200000    0.030721   -0.288277
    3.400000    0.022003   -0.204439
    3.600000    0.015655   -0.144656
    3.800000    0.011050   -0.102124
    4.000000    0.007727   -0.071865
    4.200000    0.005345   -0.050395
    4.400000    0.003650   -0.035157
    4.600000    0.002457   -0.024381
    4.800000    0.001626   -0.016789
    5.000000    0.001056   -0.011456
    5.200000    0.000670   -0.007728
    5.400000    0.000414   -0.005170
    5.600000    0.000247   -0.003401
    5.800000    0.000140   -0.002204
    6.000000    0.000075   -0.001388
    6.200000    0.000035   -0.000871
    6.400000    0.000013   -0.000517
    6.600000    0.000001   -0.000299
    6.800000   -0.000005   -0.000163
    7.000000   -0.000007   -0.000082
    7.200000   -0.000007   -0.000027
    7.400000   -0.000007   -0.000000
    7.600000   -0.000006    0.000000
    7.800000   -0.000004    0.000000
    8.000000   -0.000003    0.000027
    8.200000   -0.000002    0.000027
 U U dfs 
          41
    0.200000    0.137098   -1.402611
    0.400000    0.247788   -6.615061
    0.600000    0.279720   -7.816416
    0.800000    0.226858   -3.282346
    1.000000    0.146357   -0.403164
    1.200000    0.084350   -0.560391
    1.400000    0.053279   -1.527457
    1.600000    0.046982   -2.203251
    1.800000    0.053392   -2.411963
    2.000000    0.062641   -2.271824
    2.200000    0.069340   -1.959138
    2.400000    0.071548   -1.605934
    2.600000    0.069349   -1.280350
    2.800000    0.063819   -1.007393
    3.000000    0.056365   -0.789457
    3.200000    0.048293   -0.619005
    3.400000    0.040563   -0.486023
    3.600000    0.033716   -0.381803
    3.800000    0.027931   -0.299706
    4.000000    0.023146   -0.234916
    4.200000    0.019189   -0.183895
    4.400000    0.015869   -0.143839
    4.600000    0.013029   -0.112492
    4.800000    0.010565   -0.088002
    5.000000    0.008419   -0.068790
    5.200000    0.006563   -0.053579
    5.400000    0.004982   -0.041470
    5.600000    0.003666   -0.031756
    5.800000    0.002600   -0.023973
    6.000000    0.001761   -0.017769
    6.200000    0.001123   -0.012844
    6.400000    0.000653   -0.009061
    6.600000    0.000322   -0.006150
    6.800000    0.000100   -0.004027
    7.000000   -0.000041   -0.002476
    7.200000   -0.000122   -0.001388
    7.400000   -0.000161   -0.000653
    7.600000   -0.000172   -0.000163
    7.800000   -0.000166    0.000136
    8.000000   -0.000150    0.000299
    8.200000   -0.000130    0.000381
 U U dfp 
          41
    0.200000    0.129678   -1.173954
    0.400000    0.240683   -6.405071
    0.600000    0.290651  -10.264896
    0.800000    0.253958   -7.514941
    1.000000    0.157434   -1.786291
    1.200000    0.048064    2.345023
    1.400000   -0.042349    4.086497
    1.600000   -0.101850    4.283834
    1.800000   -0.131663    3.769457
    2.000000   -0.138964    3.048410
    2.200000   -0.131868    2.361050
    2.400000   -0.117111    1.790237
    2.600000   -0.099467    1.345032
    2.800000   -0.081915    1.007610
    3.000000   -0.066051    0.754681
    3.200000   -0.052515    0.565398
    3.400000   -0.041363    0.423491
    3.600000   -0.032351    0.316958
    3.800000   -0.025132    0.236875
    4.000000   -0.019364    0.176711
    4.200000   -0.014758    0.131513
    4.400000   -0.011086    0.097580
    4.600000   -0.008176    0.072110
    4.800000   -0.005893    0.052926
    5.000000   -0.004130    0.038504
    5.200000   -0.002794    0.027674
    5.400000   -0.001806    0.019565
    5.600000   -0.001096    0.013551
    5.800000   -0.000601    0.009143
    6.000000   -0.000270    0.005959
    6.200000   -0.000060    0.003728
    6.400000    0.000064    0.002150
    6.600000    0.000129    0.001116
    6.800000    0.000155    0.000435
    7.000000    0.000157    0.000027
    7.200000    0.000145   -0.000190
    7.400000    0.000127   -0.000327
    7.600000    0.000106   -0.000354
    7.800000    0.000086   -0.000354
    8.000000    0.000068   -0.000327
    8.200000    0.000052   -0.000299
 U U dfd 
          41
    0.200000    0.103199   -0.467873
    0.400000    0.200426   -3.037008
    0.600000    0.277278   -6.659197
    0.800000    0.318290   -8.702120
    1.000000    0.320612   -8.427856
    1.200000    0.294098   -6.889379
    1.400000    0.252201   -5.136394
    1.600000    0.205899   -3.646135
    1.800000    0.162120   -2.525108
    2.000000    0.124271   -1.731079
    2.200000    0.093381   -1.184757
    2.400000    0.069143   -0.813076
    2.600000    0.050642   -0.560473
    2.800000    0.036793   -0.388089
    3.000000    0.026560   -0.269692
    3.200000    0.019062   -0.187867
    3.400000    0.013593   -0.130996
    3.600000    0.009614   -0.091321
    3.800000    0.006728   -0.063566
    4.000000    0.004641   -0.044110
    4.200000    0.003142   -0.030477
    4.400000    0.002075   -0.020898
    4.600000    0.001327   -0.014177
    4.800000    0.000811   -0.009497
    5.000000    0.000464   -0.006231
    5.200000    0.000238   -0.004000
    5.400000    0.000096   -0.002476
    5.600000    0.000012   -0.001469
    5.800000   -0.000034   -0.000789
    6.000000   -0.000055   -0.000381
    6.200000   -0.000061   -0.000136
    6.400000   -0.000059    0.000027
    6.600000   -0.000053    0.000109
    6.800000   -0.000044    0.000136
    7.000000   -0.000036    0.000136
    7.200000   -0.000028    0.000136
    7.400000   -0.000022    0.000109
    7.600000   -0.000016    0.000109
    7.800000   -0.000012    0.000082
    8.000000   -0.000009    0.000054
    8.200000   -0.000006    0.000054
 U U ffs 
          41
    0.200000    0.659293  -60.675758
    0.400000    0.148619   18.325916
    0.600000   -0.088447   23.668518
    0.800000   -0.159180   22.353010
    1.000000   -0.162554   19.533558
    1.200000   -0.148785   14.650311
    1.400000   -0.134169   10.343946
    1.600000   -0.115162    7.067151
    1.800000   -0.094916    4.713937
    2.000000   -0.077591    3.148139
    2.200000   -0.063852    2.122134
    2.400000   -0.052774    1.436190
    2.600000   -0.043475    0.979311
    2.800000   -0.035466    0.676176
    3.000000   -0.028535    0.472662
    3.200000   -0.022612    0.334210
    3.400000   -0.017683    0.239161
    3.600000   -0.013725    0.173228
    3.800000   -0.010660    0.126832
    4.000000   -0.008351    0.093743
    4.200000   -0.006631    0.069852
    4.400000   -0.005338    0.052382
    4.600000   -0.004336    0.039538
    4.800000   -0.003527    0.029987
    5.000000   -0.002848    0.022830
    5.200000   -0.002265    0.017415
    5.400000   -0.001761    0.013279
    5.600000   -0.001330    0.010095
    5.800000   -0.000968    0.007592
    6.000000   -0.000673    0.005633
    6.200000   -0.000441    0.004109
    6.400000   -0.000263    0.002912
    6.600000   -0.000134    0.002014
    6.800000   -0.000044    0.001333
    7.000000    0.000015    0.000816
    7.200000    0.000050    0.000463
    7.400000    0.000068    0.000218
    7.600000    0.000074    0.000027
    7.800000    0.000072   -0.000054
    8.000000    0.000066   -0.000136
    8.200000    0.000057   -0.000163
 U U ffp
          41
    0.200000    0.683341  -65.715149
    0.400000    0.187996   12.289723
    0.600000   -0.014600    1.811653
    0.800000   -0.013061  -18.100716
    1.000000    0.038428  -20.159691
    1.200000    0.082625  -15.719637
    1.400000    0.101842  -10.912392
    1.600000    0.102347   -7.196867
    1.800000    0.094552   -4.672848
    2.000000    0.083597   -3.042614
    2.200000    0.071467   -1.994105
    2.400000    0.059309   -1.320052
    2.600000    0.047980   -0.886302
    2.800000    0.038033   -0.604202
    3.000000    0.029710   -0.417912
    3.200000    0.023012   -0.293067
    3.400000    0.017775   -0.208113
    3.600000    0.013752   -0.149363
    3.800000    0.010675   -0.108138
    4.000000    0.008304   -0.078804
    4.200000    0.006447   -0.057688
    4.400000    0.004970   -0.042341
    4.600000    0.003780   -0.031075
    4.800000    0.002819   -0.022776
    5.000000    0.002048   -0.016599
    5.200000    0.001438   -0.012000
    5.400000    0.000967   -0.008572
    5.600000    0.000613   -0.006014
    5.800000    0.000355   -0.004109
    6.000000    0.000175   -0.002721
    6.200000    0.000055   -0.001714
    6.400000   -0.000019   -0.001007
    6.600000   -0.000061   -0.000517
    6.800000   -0.000081   -0.000218
    7.000000   -0.000086   -0.000000
    7.200000   -0.000081    0.000109
    7.400000   -0.000072    0.000190
    7.600000   -0.000061    0.000218
    7.800000   -0.000050    0.000218
    8.000000   -0.000039    0.000190
    8.200000   -0.000030    0.000190
 U U ffd 
          41
    0.200000    0.760862  -82.462662
    0.400000    0.288524    9.356961
    0.600000   -0.064386   44.436466
    0.800000   -0.221551   38.073299
    1.000000   -0.256077   24.563637
    1.200000   -0.233604   14.619725
    1.400000   -0.192327    8.526116
    1.600000   -0.150744    4.993507
    1.800000   -0.115075    2.972544
    2.000000   -0.086300    1.804822
    2.200000   -0.063835    1.118333
    2.400000   -0.046721    0.707387
    2.600000   -0.033939    0.456280
    2.800000   -0.024539    0.299489
    3.000000   -0.017702    0.199514
    3.200000   -0.012757    0.134588
    3.400000   -0.009186    0.091648
    3.600000   -0.006598    0.062858
    3.800000   -0.004713    0.043293
    4.000000   -0.003334    0.029878
    4.200000   -0.002323    0.020572
    4.400000   -0.001584    0.014123
    4.600000   -0.001048    0.009633
    4.800000   -0.000665    0.006476
    5.000000   -0.000398    0.004272
    5.200000   -0.000216    0.002776
    5.400000   -0.000097    0.001714
    5.600000   -0.000023    0.001007
    5.800000    0.000019    0.000544
    6.000000    0.000041    0.000245
    6.200000    0.000049    0.000054
    6.400000    0.000049   -0.000054
    6.600000    0.000045   -0.000109
    6.800000    0.000038   -0.000136
    7.000000    0.000031   -0.000136
    7.200000    0.000025   -0.000136
    7.400000    0.000019   -0.000109
    7.600000    0.000014   -0.000082
    7.800000    0.000010   -0.000082
    8.000000    0.000007   -0.000054
    8.200000    0.000005   -0.000054
 U U fff 
          41
    0.200000    0.916759 -119.867676
    0.400000    0.721484  -76.854179
    0.600000    0.512559  -40.516853
    0.800000    0.345240  -19.656771
    1.000000    0.227030   -9.486324
    1.200000    0.147917   -4.698781
    1.400000    0.096284   -2.411010
    1.600000    0.062851   -1.284160
    1.800000    0.041164   -0.708721
    2.000000    0.027035   -0.403899
    2.200000    0.017797   -0.236821
    2.400000    0.011741   -0.142343
    2.600000    0.007760   -0.087321
    2.800000    0.005135   -0.054477
    3.000000    0.003397   -0.034450
    3.200000    0.002241   -0.021960
    3.400000    0.001470   -0.014095
    3.600000    0.000953   -0.009061
    3.800000    0.000608   -0.005823
    4.000000    0.000378   -0.003728
    4.200000    0.000227   -0.002367
    4.400000    0.000129   -0.001469
    4.600000    0.000066   -0.000898
    4.800000    0.000028   -0.000517
    5.000000    0.000006   -0.000299
    5.200000   -0.000005   -0.000136
    5.400000   -0.000011   -0.000054
    5.600000   -0.000012   -0.000000
    5.800000   -0.000012    0.000027
    6.000000   -0.000011    0.000027
    6.200000   -0.000009    0.000027
    6.400000   -0.000007    0.000027
    6.600000   -0.000005    0.000027
    6.800000   -0.000004    0.000027
    7.000000   -0.000003    0.000027
    7.200000   -0.000002    0.000027
    7.400000   -0.000001    0.000000
    7.600000   -0.000001    0.000000
    7.800000   -0.000001    0.000000
    8.000000   -0.000000    0.000000
    8.200000   -0.000000    0.000000
 U O sps 
          41
    0.200000   -0.081028   -3.609182
    0.400000   -0.175119   -1.297194
    0.600000   -0.262822    6.570135
    0.800000   -0.298702   11.691507
    1.000000   -0.267298   11.129674
    1.200000   -0.190575    7.953343
    1.400000   -0.099131    4.649283
    1.600000   -0.015156    2.098705
    1.800000    0.050281    0.391191
    2.000000    0.094418   -0.637291
    2.200000    0.119252   -1.184729
    2.400000    0.128795   -1.415863
    2.600000    0.127376   -1.451265
    2.800000    0.118811   -1.373087
    3.000000    0.106134   -1.234962
    3.200000    0.091603   -1.071203
    3.400000    0.076812   -0.903309
    3.600000    0.062815   -0.744259
    3.800000    0.050236   -0.601099
    4.000000    0.039379   -0.477043
    4.200000    0.030311   -0.372687
    4.400000    0.022947   -0.287080
    4.600000    0.017110   -0.218290
    4.800000    0.012581   -0.164057
    5.000000    0.009133   -0.121961
    5.200000    0.006551   -0.089743
    5.400000    0.004648   -0.065389
    5.600000    0.003265   -0.047185
    5.800000    0.002271   -0.033742
    6.000000    0.001566   -0.023892
    6.200000    0.001071   -0.016762
    6.400000    0.000727   -0.011674
    6.600000    0.000489   -0.008055
    6.800000    0.000327   -0.005497
    7.000000    0.000217   -0.003728
    7.200000    0.000143   -0.002503
    7.400000    0.000094   -0.001687
    7.600000    0.000061   -0.001116
    7.800000    0.000040   -0.000735
    8.000000    0.000025   -0.000490
    8.200000    0.000016   -0.000327
 O U sss 
          41
    0.200000    0.170900  -14.319828
    0.400000    0.117497  -12.109938
    0.600000    0.040273   -8.871211
    0.800000   -0.047750   -5.362766
    1.000000   -0.134671   -1.264921
    1.200000   -0.206754    2.532128
    1.400000   -0.254072    5.128802
    1.600000   -0.274500    6.413071
    1.800000   -0.271978    6.689783
    2.000000   -0.253126    6.328334
    2.200000   -0.224687    5.628376
    2.400000   -0.192192    4.796061
    2.600000   -0.159558    3.958359
    2.800000   -0.129209    3.185202
    3.000000   -0.102417    2.509407
    3.200000   -0.079659    1.941043
    3.400000   -0.060909    1.477034
    3.600000   -0.045851    1.107422
    3.800000   -0.034022    0.819117
    4.000000   -0.024912    0.598378
    4.200000   -0.018018    0.432144
    4.400000   -0.012884    0.308849
    4.600000   -0.009117    0.218589
    4.800000   -0.006389    0.153363
    5.000000   -0.004438    0.106750
    5.200000   -0.003057    0.073743
    5.400000   -0.002089    0.050586
    5.600000   -0.001418    0.034477
    5.800000   -0.000955    0.023347
    6.000000   -0.000639    0.015701
    6.200000   -0.000425    0.010504
    6.400000   -0.000281    0.006993
    6.600000   -0.000184    0.004599
    6.800000   -0.000120    0.003020
    7.000000   -0.000078    0.001986
    7.200000   -0.000050    0.001279
    7.400000   -0.000032    0.000816
    7.600000   -0.000020    0.000517
    7.800000   -0.000013    0.000327
    8.000000   -0.000008    0.000218
    8.200000   -0.000005    0.000136
 O U sds 
          41
    0.200000    0.034091   -1.727814
    0.400000    0.123457   -5.618144
    0.600000    0.239193   -9.723662
    0.800000    0.352672  -13.713178
    1.000000    0.438085  -16.622265
    1.200000    0.479155  -17.410852
    1.400000    0.475420  -16.342014
    1.600000    0.437724  -14.216426
    1.800000    0.380550  -11.735944
    2.000000    0.316740   -9.343002
    2.200000    0.255212   -7.252705
    2.400000    0.200847   -5.532075
    2.600000    0.155429   -4.168322
    2.800000    0.118832   -3.113799
    3.000000    0.089992   -2.310981
    3.200000    0.067553   -1.705147
    3.400000    0.050220   -1.249846
    3.600000    0.036898   -0.908316
    3.800000    0.026721   -0.652611
    4.000000    0.019014   -0.461995
    4.200000    0.013250   -0.321067
    4.400000    0.009011   -0.218181
    4.600000    0.005954   -0.144302
    4.800000    0.003802   -0.092410
    5.000000    0.002326   -0.056845
    5.200000    0.001345   -0.033171
    5.400000    0.000716   -0.017960
    5.600000    0.000330   -0.008599
    5.800000    0.000105   -0.003129
    6.000000   -0.000014   -0.000163
    6.200000   -0.000070    0.001279
    6.400000   -0.000089    0.001796
    6.600000   -0.000087    0.001823
    6.800000   -0.000076    0.001633
    7.000000   -0.000062    0.001361
    7.200000   -0.000048    0.001061
    7.400000   -0.000036    0.000816
    7.600000   -0.000026    0.000599
    7.800000   -0.000019    0.000435
    8.000000   -0.000013    0.000299
    8.200000   -0.000009    0.000218
 O U sfs 
          41
    0.200000   -0.004504    3.639251
    0.400000    0.002153    7.829695
    0.600000    0.062598   -2.039058
    0.800000    0.140809  -10.984039
    1.000000    0.192876  -12.985926
    1.200000    0.210819  -11.582335
    1.400000    0.202639   -9.294538
    1.600000    0.179471   -7.121791
    1.800000    0.150411   -5.339228
    2.000000    0.121245   -3.956644
    2.200000    0.095070   -2.911482
    2.400000    0.073125   -2.131794
    2.600000    0.055502   -1.555158
    2.800000    0.041714   -1.131041
    3.000000    0.031081   -0.819770
    3.200000    0.022940   -0.591140
    3.400000    0.016722   -0.422702
    3.600000    0.011977   -0.298210
    3.800000    0.008367   -0.205990
    4.000000    0.005638   -0.137853
    4.200000    0.003605   -0.087893
    4.400000    0.002124   -0.051919
    4.600000    0.001078   -0.026667
    4.800000    0.000371   -0.009687
    5.000000   -0.000077    0.001116
    5.200000   -0.000335    0.007347
    5.400000   -0.000459    0.010395
    5.600000   -0.000494    0.011320
    5.800000   -0.000474    0.010912
    6.000000   -0.000424    0.009769
    6.200000   -0.000361    0.008327
    6.400000   -0.000295    0.006803
    6.600000   -0.000234    0.005415
    6.800000   -0.000181    0.004191
    7.000000   -0.000137    0.003157
    7.200000   -0.000101    0.002340
    7.400000   -0.000073    0.001714
    7.600000   -0.000052    0.001225
    7.800000   -0.000037    0.000871
    8.000000   -0.000025    0.000599
    8.200000   -0.000017    0.000408
 O U pds 
          41
    0.200000   -0.210747    4.960146
    0.400000   -0.369565   10.821940
    0.600000   -0.422798   12.536040
    0.800000   -0.358605    8.011277
    1.000000   -0.222761    2.039248
    1.200000   -0.073248   -2.201755
    1.400000    0.051327   -4.367836
    1.600000    0.135588   -5.045943
    1.800000    0.180497   -4.879573
    2.000000    0.194828   -4.327807
    2.200000    0.189000   -3.656122
    2.400000    0.171909   -2.997797
    2.600000    0.149925   -2.411010
    2.800000    0.127028   -1.914512
    3.000000    0.105388   -1.507565
    3.200000    0.085987   -1.180511
    3.400000    0.069133   -0.920398
    3.600000    0.054794   -0.714272
    3.800000    0.042794   -0.550922
    4.000000    0.032904   -0.421423
    4.200000    0.024881   -0.318972
    4.400000    0.018482   -0.238453
    4.600000    0.013470   -0.175786
    4.800000    0.009619   -0.127676
    5.000000    0.006717   -0.091294
    5.200000    0.004577   -0.064219
    5.400000    0.003032   -0.044436
    5.600000    0.001943   -0.030205
    5.800000    0.001195   -0.020109
    6.000000    0.000696   -0.013089
    6.200000    0.000374   -0.008272
    6.400000    0.000175   -0.005034
    6.600000    0.000058   -0.002912
    6.800000   -0.000006   -0.001551
    7.000000   -0.000036   -0.000707
    7.200000   -0.000046   -0.000218
    7.400000   -0.000046    0.000054
    7.600000   -0.000040    0.000163
    7.800000   -0.000033    0.000218
    8.000000   -0.000026    0.000218
    8.200000   -0.000019    0.000190
 O U pdp 
          41
    0.200000   -0.186039    4.081599
    0.400000   -0.350140    8.919756
    0.600000   -0.468132   13.007260
    0.800000   -0.523947   14.336891
    1.000000   -0.521024   13.167480
    1.200000   -0.476667   10.878949
    1.400000   -0.410532    8.459122
    1.600000   -0.338224    6.350076
    1.800000   -0.269655    4.671379
    2.000000   -0.209821    3.397450
    2.200000   -0.160327    2.455365
    2.400000   -0.120829    1.768359
    2.600000   -0.090067    1.271125
    2.800000   -0.066506    0.912507
    3.000000   -0.048672    0.654135
    3.200000   -0.035294    0.467927
    3.400000   -0.025337    0.333557
    3.600000   -0.017987    0.236576
    3.800000   -0.012609    0.166615
    4.000000   -0.008715    0.116329
    4.200000   -0.005929    0.080382
    4.400000   -0.003962    0.054913
    4.600000   -0.002595    0.037007
    4.800000   -0.001660    0.024599
    5.000000   -0.001033    0.016082
    5.200000   -0.000620    0.010340
    5.400000   -0.000356    0.006504
    5.600000   -0.000192    0.004000
    5.800000   -0.000093    0.002367
    6.000000   -0.000036    0.001333
    6.200000   -0.000006    0.000707
    6.400000    0.000009    0.000327
    6.600000    0.000014    0.000109
    6.800000    0.000015    0.000000
    7.000000    0.000014   -0.000054
    7.200000    0.000011   -0.000054
    7.400000    0.000009   -0.000082
    7.600000    0.000007   -0.000054
    7.800000    0.000005   -0.000054
    8.000000    0.000003   -0.000027
    8.200000    0.000002   -0.000027
 O U pfs
          41
    0.200000   -0.103704   20.141975
    0.400000   -0.220177   22.880150
    0.600000   -0.204407    3.098724
    0.800000   -0.124257   -6.818765
    1.000000   -0.040006   -8.603887
    1.200000    0.021892   -7.508792
    1.400000    0.058226   -5.830475
    1.600000    0.075795   -4.350366
    1.800000    0.080623   -3.213202
    2.000000    0.077273   -2.369105
    2.200000    0.069575   -1.751216
    2.400000    0.060320   -1.300731
    2.600000    0.051100   -0.970793
    2.800000    0.042625   -0.728068
    3.000000    0.035127   -0.548745
    3.200000    0.028634   -0.415409
    3.400000    0.023083   -0.315489
    3.600000    0.018381   -0.239977
    3.800000    0.014428   -0.182343
    4.000000    0.011131   -0.137935
    4.200000    0.008409   -0.103376
    4.400000    0.006192   -0.076382
    4.600000    0.004420   -0.055348
    4.800000    0.003033   -0.039103
    5.000000    0.001976   -0.026749
    5.200000    0.001194   -0.017551
    5.400000    0.000636   -0.010857
    5.600000    0.000256   -0.006150
    5.800000    0.000012   -0.002939
    6.000000   -0.000132   -0.000871
    6.200000   -0.000206    0.000408
