Created by Aysun Itai and modified by Andrew Jewett
NOTE: This file has been extensively modified.
50 2 1 0.000000 12.031  11.173  13.545
51 2 1 0.000000 12.031  11.173  14.963
52 2 1 0.000000 11.173  12.031  15.672
53 2 1 0.000000 11.173  12.031  12.836
54 2 1 0.000000 10.000  12.345  13.545
55 2 1 0.000000 10.000  12.345  14.963
56 2 1 0.000000  8.827  12.031  15.672
57 2 1 0.000000  8.827  12.031  12.836
58 2 1 0.000000  7.969  11.173  13.545
59 2 1 0.000000  7.969  11.173  14.963
60 2 1 0.000000  7.655  10.000  15.672
61 2 1 0.000000  7.655  10.000  12.836
62 2 1 0.000000  7.969   8.827  13.545
63 2 1 0.000000  7.969   8.827  14.963
64 2 1 0.000000  8.827   7.969  15.672
65 2 1 0.000000  8.827   7.969  12.836
66 2 1 0.000000 10.000   7.655  13.545
67 2 1 0.000000 10.000   7.655  14.963
68 2 1 0.000000 11.173   7.969  15.672
69 2 1 0.000000 11.173   7.969  12.836
70 2 1 0.000000 12.031   8.827  13.545
71 2 1 0.000000 12.031   8.827  14.963
72 2 1 0.000000 12.345  10.000  15.672
73  1   9  -0.18 -3.365   0.678  1.133  
74  1   4   0.09 -2.854   1.624  1.417  
75  1   4   0.09 -4.302    0.58  1.719  
76  1   9  -0.09 -1.647  -0.716  0.047  
77  1   4   0.09 -1.451  -1.802  -0.11  
78  1   10  -0.18 -2.425  -0.518  1.369 
79  1   5   0.09 -1.756  -0.365   2.24  
80  1   5   0.09 -3.037  -1.427  1.561  
81  1  11  -0.09 -3.628    0.67 -0.366  
82  1   4   0.09 -3.892   1.592 -0.905  
83  1   10  -0.18 -4.015  -0.644 -0.985 
84  1   5   0.09 -4.264  -1.466 -0.292  
85  1   5   0.09  -4.56  -0.575 -1.945  
86  1  12  -0.09 -2.584  -0.196 -1.019  
87  1   4   0.09 -2.203   0.152 -1.987  
88  1   8   0.28  1.737   0.629 -0.049  
89  1  16  -0.71  1.009   1.811 -0.085  
90  1   7   0.34 -0.238   1.412 -0.066  
91  1   3   0.12 -1.102   2.079 -0.079  
92  1  14  -0.05 -0.385   0.043 -0.026  
93  1  15  -0.74  3.524  -0.923  0.002  
94  1   7    0.5   2.59  -1.876  0.037  
95  1   3   0.13   2.97  -2.901  0.072  
96  1  15  -0.75  1.258   -1.76  0.035  
97  1   8   0.43  0.895  -0.468  -0.01  
98  1   6   0.46  3.123    0.37 -0.042  
99  1  13  -0.77  4.058   1.336 -0.077  
100 1   2   0.38  5.012   1.052 -0.068  
101 1   2   0.38  3.805   2.299 -0.107
    

Bond Coeffs

   1      2.0      1.4
   2      2.0      1.4     # comments can appear
   3      2.0      1.4     # at the end of lines
   4      2.0      1.4     # in each data file section
   5      2.0      1.1
   6      2.0      1.4
   7      2.0      1.4
   8      2.0      1.4
   9      2.0      1.4
   10     2.0      1.4
   11     2.0      1.4
   12     2.0      1.4
   13     2.0      1.4
   14     2.0      1.4
   15     2.0      1.4
   16     2.0      1.1
   17     2.0      1.4
   18     2.0      1.4
   19     2.0      1.1
   20     2.0      1.4
   21     2.0      1.4
   22     2.0      1.1
   23     2.0      1.1
   24     2.0      1.1

Bonds

1 1 1 2    # descriptive comments can 
2 1 1 22   # appear at the end of lines
3 1 2 3    # in each data file section
4 1 2 5    # (removed from this file)
5 1 3 24
6 1 3 4
7 1 4 7
8 1 4 29
9 1 5 6
10 1 6 7
11 1 6 9
12 1 7 8
13 1 8 33
14 1 8 11
15 1 9 10
16 1 10 13
17 1 10 11
18 1 11 12
19 1 12 15
20 1 12 37
21 1 13 14
22 1 14 17
23 1 14 15
24 1 15 16
25 1 16 19
26 1 16 41
27 1 17 18
28 1 18 21
29 1 18 19
30 1 19 20
31 1 20 23
32 1 20 45
33 1 21 22
34 1 22 23
35 1 23 24
36 1 24 25
37 1 25 26
38 1 25 46
39 1 26 27
40 1 26 29
41 1 27 48
42 1 27 28
43 1 28 31
44 1 28 53
45 1 29 30
46 1 30 31
47 1 30 33
48 1 31 32
49 1 32 57
50 1 32 35
51 1 33 34
52 1 34 37
53 1 34 35
54 1 35 36
55 1 36 39
56 1 36 61
57 1 37 38
58 1 38 41
59 1 38 39
60 1 39 40
61 1 40 43
62 1 40 65
63 1 41 42
64 1 42 45
65 1 42 43
66 1 43 44
67 1 44 47
68 1 44 69
69 1 45 46
70 1 46 47
71 1 47 48
72 1 48 49
73 1 49 50
74 1 49 70
75 1 50 51
76 1 50 53
77 1 51 72
78 1 51 52
79 1 52 55
80 1 53 54
81 1 54 55
82 1 54 57
83 1 55 56
84 1 56 59
85 1 57 58
86 1 58 61
87 1 58 59
88 1 59 60
89 1 60 63
90 1 61 62
91 1 62 65
92 1 62 63
93 1 63 64
94 1 64 67
95 1 65 66
96 1 66 69
97 1 66 67
98 1 67 68
99 1 68 71
100 1 69 70
101 1 70 71
102 1 71 72
103 13 73  81
104 19 73  74
105 19 73  75
106 18 76  78
107 19 76  77
108 20 76  92
109 18 78  73
110 23 78  79
111 23 78  80
112 14 81  86
113 15 81  83
114 16 81  82
115 21 83  86
116 23 83  84
117 23 83  85
118 17 86  76
119 22 86  87
120 12 88  89
121  8 89  90
122  5 90  91
123 10 92  97
124  6 92  90
125  4 93  98
126  7 94  93
127  5 94  95
128  7 94  96
129 11 97  96
130  9 97  88
131  3 98  99
132  2 98  88
133 24 99 100
134 24 99 101

     
Angle Coeffs

     1         0      120.0    0   2.0 
     2         0      120.0    0   2.0      # comments can appear
     3         0      120.0    0   2.0      # at the end of lines
     4         0      120.0    0   2.0      # in each data file section   
     5         0      120.0    0   2.0    
     6         0      120.0    0   2.0    
     7         0      120.0    0   2.0    
     8         0      120.0    0   2.0    
     9         0      120.0    0   2.0    
     10        0      120.0    0   2.0    
     11        0      120.0    0   2.0    
     12        0      120.0    0   2.0    
     13        0      120.0    0   2.0    
     14        0      120.0    0   2.0    
     15        0      120.0    0   2.0    
     16        0      120.0    0   2.0    
     17        0      120.0    0   2.0    
     18        0      120.0    0   2.0   
     19        0       60.0    0   2.0   
     20        0      120.0    0   2.0    
     21        0       60.0    0   2.0   
     22        0      120.0    0   2.0   
     23        0      120.0    0   2.0   
     24        0      120.0    0   2.0    
     25        0      120.0    0   2.0    
     26        0      120.0    0   2.0    
     27        0      120.0    0   2.0    
     28        0      120.0    0   2.0   
     29        0      120.0    0   2.0   
     30        0       60.0    0   2.0    
     31        0      120.0    0   2.0    
     32        0       90.0    0   2.0    
     33        0      120.0    0   2.0    
     34        0      120.0    0   2.0    
     35        0      120.0    0   2.0   
     36        0      120.0    0   2.0   
     37        0      120.0    0   2.0   
     38        0      120.0    0   2.0   
     39        0      120.0    0   2.0   
     40        0      120.0    0   2.0    
     41        0      120.0    0   2.0   
     42        0      120.0    0   2.0   
     43        0      120.0    0   2.0   
     44        0      120.0    0   2.0   
     45        0      120.0    0   2.0   
     46        0      120.0    0   2.0   
     47        0      120.0    0   2.0   
     48        0      120.0    0   2.0   
     49        0      120.0    0   2.0   
     50        0      120.0    0   2.0   

Angles

1  1 2 1 22
2  1 1 2 3      # comments can appear
3  1 1 2 5      # at the end of lines
4  1 3 2 5      # in each data file section   
5  1 2 3 24
6  1 2 3 4
7  1 4 3 24
8  1 3 4 7
9  1 3 4 29
10 1 7 4 29
11 1 2 5 6
12 1 5 6 7
13 1 5 6 9
14 1 7 6 9
15 1 4 7 6
16 1 4 7 8
17 1 6 7 8
18 1 7 8 33
19 1 7 8 11
20 1 11 8 33
21 1 6 9 10
22 1 9 10 13
23 1 9 10 11
24 1 11 10 13
25 1 8 11 10
26 1 8 11 12
27 1 10 11 12
28 1 11 12 15
29 1 11 12 37
30 1 15 12 37
31 1 10 13 14
32 1 13 14 17
33 1 13 14 15
34 1 15 14 17
35 1 12 15 14
36 1 12 15 16
37 1 14 15 16
38 1 15 16 19
39 1 15 16 41
40 1 19 16 41
41 1 14 17 18
42 1 17 18 21
43 1 17 18 19
44 1 19 18 21
45 1 16 19 18
46 1 16 19 20
47 1 18 19 20
48 1 19 20 23
49 1 19 20 45
50 1 23 20 45
51 1 18 21 22
52 1 1 22 21
53 1 1 22 23
54 1 21 22 23
55 1 20 23 22
56 1 20 23 24
57 1 22 23 24
58 1 3 24 23
59 1 3 24 25
60 1 23 24 25
61 1 24 25 26
62 1 24 25 46
63 1 26 25 46
64 1 25 26 27
65 1 25 26 29
66 1 27 26 29
67 1 26 27 48
68 1 26 27 28
69 1 28 27 48
70 1 27 28 31
71 1 27 28 53
72 1 31 28 53
73 1 4 29 26
74 1 4 29 30
75 1 26 29 30
76 1 29 30 31
77 1 29 30 33
78 1 31 30 33
79 1 28 31 30
80 1 28 31 32
81 1 30 31 32
82 1 31 32 57
83 1 31 32 35
84 1 35 32 57
85 1 8 33 30
86 1 8 33 34
87 1 30 33 34
88 1 33 34 37
89 1 33 34 35
90 1 35 34 37
91 1 32 35 34
92 1 32 35 36
93 1 34 35 36
94 1 35 36 39
95  1 35 36 61
96  1 39 36 61
97  1 12 37 34
98  1 12 37 38
99  1 34 37 38
100 1 37 38 41
101 1 37 38 39
102 1 39 38 41
103 1 36 39 38
104 1 36 39 40
105 1 38 39 40
106 1 39 40 43
107 1 39 40 65
108 1 43 40 65
109 1 16 41 38
110 1 16 41 42
111 1 38 41 42
112 1 41 42 45
113 1 41 42 43
114 1 43 42 45
115 1 40 43 42
116 1 40 43 44
117 1 42 43 44
118 1 43 44 47
119 1 43 44 69
120 1 47 44 69
121 1 20 45 42
122 1 20 45 46
123 1 42 45 46
124 1 25 46 45
125 1 25 46 47
126 1 45 46 47
127 1 44 47 46
128 1 44 47 48
129 1 46 47 48
130 1 27 48 47
131 1 27 48 49
132 1 47 48 49
133 1 48 49 50
134 1 48 49 70
135 1 50 49 70
136 1 49 50 51
137 1 49 50 53
138 1 51 50 53
139 1 50 51 72
140 1 50 51 52
141 1 52 51 72
142 1 51 52 55
143 1 28 53 50
144 1 28 53 54
145 1 50 53 54
146 1 53 54 55
147 1 53 54 57
148 1 55 54 57
149 1 52 55 54
150 1 52 55 56
151 1 54 55 56
152 1 55 56 59
153 1 32 57 54
154 1 32 57 58
155 1 54 57 58
156 1 57 58 61
157 1 57 58 59
158 1 59 58 61
159 1 56 59 58
160 1 56 59 60
161 1 58 59 60
162 1 59 60 63
163 1 36 61 58
164 1 36 61 62
165 1 58 61 62
166 1 61 62 65
167 1 61 62 63
168 1 63 62 65
169 1 60 63 62
170 1 60 63 64
171 1 62 63 64
172 1 63 64 67
173 1 40 65 62
174 1 40 65 66
175 1 62 65 66
176 1 65 66 69
177 1 65 66 67
178 1 67 66 69
179 1 64 67 66
180 1 64 67 68
181 1 66 67 68
182 1 67 68 71
183 1 44 69 66
184 1 44 69 70
185 1 66 69 70
186 1 49 70 69
187 1 49 70 71
188 1 69 70 71
189 1 68 71 70
190 1 68 71 72
191 1 70 71 72
192 1 51 72 71
193 25 73 81 82
194 24 73 81 83
195 23 73 81 86
196 29 73 78 80
197 29 73 78 79
198 44 74 73 75
199  7 76 92 90
200 15 76 92 97
201 27 76 86 87
202 26 76 86 83
203 18 76 86 81
204 29 76 78 80
205 29 76 78 79
206 28 76 78 73
207 45 77 76 92
208 38 78 76 92
209 37 78 76 77
210 37 78 73 75
211 37 78 73 74
212 16 78 73 81
213 46 79 78 80
214 20 81 86 87
215 19 81 86 83
216 22 81 83 85
217 22 81 83 84
218 21 81 83 86
219 17 81 73 75
220 17 81 73 74
221 39 83 86 87
222 36 83 81 82
223 46 84 83 85
224 35 86 83 85
225 35 86 83 84
226 31 86 81 82
227 30 86 81 83
228 34 86 76 92
229 33 86 76 77
230 32 86 76 78
231 11 88 98 93
232  9 88 89 90
233 14 89 88 97
234 43 91 90 89
235 12 92 97 88
236 49 92 97 96
237 48 92 90 89
238 41 92 90 91
239 50 93 94 96
240 42 93 94 95
241  5 94 93 98
242 42 95 94 96
243 13 96 97 88
244  8 97 96 94
245  6 97 92 90
246  4 98 99 101
247  4 98 99 100
248  2 98 88 97
249  3 98 88 89
250 47 99 98 93
251 10 99 98 88
252 40 100 99 101    

Dihedral Coeffs

    1          0.0          2        180        1 
    2          0.0          2        180        1    # comments can appear
    3          0.0          2        180        1    # at the end of lines
    4          0.0          2        180        1    # in each data file section
    5          0.0          2        180        1  
    6          0.0          2        180        1 
    7          0.0          2        180        1 
    8          0.0          2        180        1 
    9          0.0          1        180        1  
    10         0.0          1        180        1 
    11         0.0          3        180        1 
    12         0.0          2        180        1 
    13         0.0          2        180        1 
    14         0.0          2        180        1 
    15         0.0          2        180        1 
    16         0.0          2        180        1 
    17         0.0          2        180        1 
    18         0.0          2        180        1 
    19         0.0          2        180        1 
    20         0.0          2        180        1 
    21         0.0          2        180        1 
    22         0.0          2        180        1 
    23         0.0          1        180        1 
    24         0.0          1        180        1 
    25         0.0          3        180        1 
    26         0.0          2        180        1 
    27         0.0          2        180        1 
    28         0.0          2        180        1 
    29         0.0          2        180        1 
    30         0.0          6        180        1 
    31         0.0          3        180        1 
    32         0.0          3        180        1 
    33         0.0          3        180        1 
    34         0.0          3        180        1 
    35         0.0          3        180        1 
    36         0.0          3        180        1 
    37         0.0          3        180        1 
    38         0.0          3        180        1 
    39         0.0          3        180        1 
    40         0.0          3        180        1 
    41         0.0          3        180        1 
    42         0.0          3        180        1 
    43         0.0          3        180        1 
    44         0.0          3        180        1 
    45         0.0          3        180        1 
    46         0.0          3        180        1 
    47         0.0          3        180        1 
    48         0.0          3        180        1 
    49         0.0          2        180        1 
    50         0.0          2        180        1 
    51         0.0          2        180        1 
    52         0.0          3        180        1 
    53         0.0          3        180        1 
    54         0.0          3        180        1 
    55         0.0          3        180        1 
    56         0.0          3        180        1 
    57         0.0          3        180        1 
    58         0.0          3        180        1 
    59         0.0          3        180        1 
    60         0.0          3        180        1 
    61         0.0          3        180        1 
    62         0.0          3        180        1 
    63         0.0          3        180        1 
    64         0.0          3        180        1 
    65         0.0          3        180        1 
    66         0.0          2        180        1 
    67         0.0          3        180        1 
    68         0.0          3        180        1 
    69         0.0          3        180        1 
    70         0.0          3        180        1 
    71         0.0          3        180        1 
    72         0.0          3        180        1 
    73         0.0          3        180        1 
    74         0.0          3        180        1 
    75         0.0          2        180        1 
    76         0.0          2        180        1 
    77         0.0          2        180        1 
    78         0.0          2        180        1 

Dihedrals

1 1 22 1 2 3
2 1 22 1 2 5
3 1 2 1 22 21
4 1 2 1 22 23
5 1 1 2 3 24
6 1 1 2 3 4
7 1 5 2 3 24
8 1 5 2 3 4
9 1 1 2 5 6
10 1 3 2 5 6
11 1 2 3 24 23
12 1 2 3 24 25
13 1 4 3 24 23
14 1 4 3 24 25
15 1 2 3 4 7
16 1 2 3 4 29
17 1 24 3 4 7
18 1 24 3 4 29
19 1 3 4 7 6
20 1 3 4 7 8
21 1 29 4 7 6
22 1 29 4 7 8
23 1 3 4 29 26
24 1 3 4 29 30
25 1 7 4 29 26
26 1 7 4 29 30
27 1 2 5 6 7
28 1 2 5 6 9
29 1 5 6 7 4
30 1 5 6 7 8
31 1 9 6 7 4
32 1 9 6 7 8
33 1 5 6 9 10
34 1 7 6 9 10
35 1 4 7 8 33
36 1 4 7 8 11
37 1 6 7 8 33
38 1 6 7 8 11
39 1 7 8 33 30
40 1 7 8 33 34
41 1 11 8 33 30
42 1 11 8 33 34
43 1 7 8 11 10
44 1 7 8 11 12
45 1 33 8 11 10
46 1 33 8 11 12
47 1 6 9 10 13
48 1 6 9 10 11
49 1 9 10 13 14
50 1 11 10 13 14
51 1 9 10 11 8
52 1 9 10 11 12
53 1 13 10 11 8
54 1 13 10 11 12
55 1 8 11 12 15
56 1 8 11 12 37
57 1 10 11 12 15
58 1 10 11 12 37
59 1 11 12 15 14
60 1 11 12 15 16
61 1 37 12 15 14
62 1 37 12 15 16
63 1 11 12 37 34
64 1 11 12 37 38
65 1 15 12 37 34
66 1 15 12 37 38
67 1 10 13 14 17
68 1 10 13 14 15
69 1 13 14 17 18
70 1 15 14 17 18
71 1 13 14 15 12
72 1 13 14 15 16
73 1 17 14 15 12
74 1 17 14 15 16
75 1 12 15 16 19
76 1 12 15 16 41
77 1 14 15 16 19
78 1 14 15 16 41
79 1 15 16 19 18
80 1 15 16 19 20
81 1 41 16 19 18
82 1 41 16 19 20
83 1 15 16 41 38
84 1 15 16 41 42
85 1 19 16 41 38
86 1 19 16 41 42
87 1 14 17 18 21
88 1 14 17 18 19
89 1 17 18 21 22
90 1 19 18 21 22
91 1 17 18 19 16
92 1 17 18 19 20
93 1 21 18 19 16
94 1 21 18 19 20
95 1 16 19 20 23
96 1 16 19 20 45
97 1 18 19 20 23
98 1 18 19 20 45
99 1 19 20 23 22
100 1 19 20 23 24
101 1 45 20 23 22
102 1 45 20 23 24
103 1 19 20 45 42
104 1 19 20 45 46
105 1 23 20 45 42
106 1 23 20 45 46
107 1 18 21 22 1
108 1 18 21 22 23
109 1 1 22 23 20
110 1 1 22 23 24
111 1 21 22 23 20
112 1 21 22 23 24
113 1 20 23 24 3
114 1 20 23 24 25
115 1 22 23 24 3
116 1 22 23 24 25
117 1 3 24 25 26
118 1 3 24 25 46
119 1 23 24 25 26
120 1 23 24 25 46
121 1 24 25 26 27
122 1 24 25 26 29
123 1 46 25 26 27
124 1 46 25 26 29
125 1 24 25 46 45
126 1 24 25 46 47
127 1 26 25 46 45
128 1 26 25 46 47
129 1 25 26 27 48
130 1 25 26 27 28
131 1 29 26 27 48
132 1 29 26 27 28
133 1 25 26 29 4
134 1 25 26 29 30
135 1 27 26 29 4
136 1 27 26 29 30
137 1 26 27 48 47
138 1 26 27 48 49
139 1 28 27 48 47
140 1 28 27 48 49
141 1 26 27 28 31
142 1 26 27 28 53
143 1 48 27 28 31
144 1 48 27 28 53
145 1 27 28 31 30
146 1 27 28 31 32
147 1 53 28 31 30
148 1 53 28 31 32
149 1 27 28 53 50
150 1 27 28 53 54
151 1 31 28 53 50
152 1 31 28 53 54
153 1 4 29 30 31
154 1 4 29 30 33
155 1 26 29 30 31
156 1 26 29 30 33
157 1 29 30 31 28
158 1 29 30 31 32
159 1 33 30 31 28
160 1 33 30 31 32
161 1 29 30 33 8
162 1 29 30 33 34
163 1 31 30 33 8
164 1 31 30 33 34
165 1 28 31 32 57
166 1 28 31 32 35
167 1 30 31 32 57
168 1 30 31 32 35
169 1 31 32 57 54
170 1 31 32 57 58
171 1 35 32 57 54
172 1 35 32 57 58
173 1 31 32 35 34
174 1 31 32 35 36
175 1 57 32 35 34
176 1 57 32 35 36
177 1 8 33 34 37
178 1 8 33 34 35
179 1 30 33 34 37
180 1 30 33 34 35
181 1 33 34 37 12
182 1 33 34 37 38
183 1 35 34 37 12
184 1 35 34 37 38
185 1 33 34 35 32
186 1 33 34 35 36
187 1 37 34 35 32
188 1 37 34 35 36
189 1 32 35 36 39
190 1 32 35 36 61
191 1 34 35 36 39
192 1 34 35 36 61
193 1 35 36 39 38
194 1 35 36 39 40
195 1 61 36 39 38
196 1 61 36 39 40
197 1 35 36 61 58
198 1 35 36 61 62
199 1 39 36 61 58
200 1 39 36 61 62
201 1 12 37 38 41
202 1 12 37 38 39
203 1 34 37 38 41
204 1 34 37 38 39
205 1 37 38 41 16
206 1 37 38 41 42
207 1 39 38 41 16
208 1 39 38 41 42
209 1 37 38 39 36
210 1 37 38 39 40
211 1 41 38 39 36
212 1 41 38 39 40
213 1 36 39 40 43
214 1 36 39 40 65
215 1 38 39 40 43
216 1 38 39 40 65
217 1 39 40 43 42
218 1 39 40 43 44
219 1 65 40 43 42
220 1 65 40 43 44
221 1 39 40 65 62
222 1 39 40 65 66
223 1 43 40 65 62
224 1 43 40 65 66
225 1 16 41 42 45
226 1 16 41 42 43
227 1 38 41 42 45
228 1 38 41 42 43
229 1 41 42 45 20
230 1 41 42 45 46
231 1 43 42 45 20
232 1 43 42 45 46
233 1 41 42 43 40
234 1 41 42 43 44
235 1 45 42 43 40
236 1 45 42 43 44
237 1 40 43 44 47
238 1 40 43 44 69
239 1 42 43 44 47
240 1 42 43 44 69
241 1 43 44 47 46
242 1 43 44 47 48
243 1 69 44 47 46
244 1 69 44 47 48
245 1 43 44 69 66
246 1 43 44 69 70
247 1 47 44 69 66
248 1 47 44 69 70
249 1 20 45 46 25
250 1 20 45 46 47
251 1 42 45 46 25
252 1 42 45 46 47
253 1 25 46 47 44
254 1 25 46 47 48
255 1 45 46 47 44
256 1 45 46 47 48
257 1 44 47 48 27
258 1 44 47 48 49
259 1 46 47 48 27
260 1 46 47 48 49
261 1 27 48 49 50
262 1 27 48 49 70
263 1 47 48 49 50
264 1 47 48 49 70
265 1 48 49 50 51
266 1 48 49 50 53
267 1 70 49 50 51
268 1 70 49 50 53
269 1 48 49 70 69
270 1 48 49 70 71
271 1 50 49 70 69
272 1 50 49 70 71
273 1 49 50 51 72
274 1 49 50 51 52
275 1 53 50 51 72
276 1 53 50 51 52
277 1 49 50 53 28
278 1 49 50 53 54
279 1 51 50 53 28
280 1 51 50 53 54
281 1 50 51 72 71
282 1 52 51 72 71
283 1 50 51 52 55
284 1 72 51 52 55
285 1 51 52 55 54
286 1 51 52 55 56
287 1 28 53 54 55
288 1 28 53 54 57
289 1 50 53 54 55
290 1 50 53 54 57
291 1 53 54 55 52
292 1 53 54 55 56
293 1 57 54 55 52
294 1 57 54 55 56
295 1 53 54 57 32
296 1 53 54 57 58
297 1 55 54 57 32
298 1 55 54 57 58
299 1 52 55 56 59
300 1 54 55 56 59
301 1 55 56 59 58
302 1 55 56 59 60
303 1 32 57 58 61
304 1 32 57 58 59
305 1 54 57 58 61
306 1 54 57 58 59
307 1 57 58 61 36
308 1 57 58 61 62
309 1 59 58 61 36
310 1 59 58 61 62
311 1 57 58 59 56
312 1 57 58 59 60
313 1 61 58 59 56
314 1 61 58 59 60
315 1 56 59 60 63
316 1 58 59 60 63
317 1 59 60 63 62
318 1 59 60 63 64
319 1 36 61 62 65
320 1 36 61 62 63
321 1 58 61 62 65
322 1 58 61 62 63
323 1 61 62 65 40
324 1 61 62 65 66
325 1 63 62 65 40
326 1 63 62 65 66
327 1 61 62 63 60
328 1 61 62 63 64
329 1 65 62 63 60
330 1 65 62 63 64
331 1 60 63 64 67
332 1 62 63 64 67
333 1 63 64 67 66
334 1 63 64 67 68
335 1 40 65 66 69
336 1 40 65 66 67
337 1 62 65 66 69
338 1 62 65 66 67
339 1 65 66 69 44
340 1 65 66 69 70
341 1 67 66 69 44
342 1 67 66 69 70
343 1 65 66 67 64
344 1 65 66 67 68
345 1 69 66 67 64
346 1 69 66 67 68
347 1 64 67 68 71
348 1 66 67 68 71
349 1 67 68 71 70
350 1 67 68 71 72
351 1 44 69 70 49
352 1 44 69 70 71
353 1 66 69 70 49
354 1 66 69 70 71
355 1 49 70 71 68
356 1 49 70 71 72
357 1 69 70 71 68
358 1 69 70 71 72
359 1 68 71 72 51
360 1 70 71 72 51
361 38 73 81 86  76
362 39 73 81 86  83
363 40 73 81 86  87
364 41 73 81 83  86
365 42 73 81 83  84
366 42 73 81 83  85
367 46 73 78 76  86
368 47 73 78 76  77
369 48 73 78 76  92
370 47 74 73 78  76
371 71 74 73 78  79
372 71 74 73 78  80
373 53 74 73 81  86
374 58 74 73 81  83
375 67 74 73 81  82
376 47 75 73 78  76
377 71 75 73 78  79
378 71 75 73 78  80
379 53 75 73 81  86
380 58 75 73 81  83
381 67 75 73 81  82
382 51 76 92 97  96
383 20 76 92 97  88
384 49 76 92 90  91
385 50 76 92 90  89
386 43 76 86 81  83
387 44 76 86 81  82
388 36 76 86 83  81
389 45 76 86 83  84
390 45 76 86 83  85
391 30 76 78 73  81
392 33 77 76 86  81
393 64 77 76 86  83
394 70 77 76 86  87
395 71 77 76 78  79
396 71 77 76 78  80
397 25 77 76 92  97
398 11 77 76 92  90
399 32 78 76 86  81
400 61 78 76 86  83
401 62 78 76 86  87
402 24 78 76 92  97
403 10 78 76 92  90
404 52 78 73 81  86
405 57 78 73 81  83
406 60 78 73 81  82
407 55 79 78 76  86
408 74 79 78 76  92
409 31 79 78 73  81
410 55 80 78 76  86
411 74 80 78 76  92
412 31 80 78 73  81
413 34 81 86 76  92
414 35 81 86 83  84
415 35 81 86 83  85
416 37 81 83 86  87
417 63 82 81 86  83
418 68 82 81 86  87
419 56 82 81 83  86
420 69 82 81 83  84
421 69 82 81 83  85
422 65 83 86 76  92
423 59 83 81 86  87
424 54 84 83 81  86
425 73 84 83 86  87
426 54 85 83 81  86
427 73 85 83 86  87
428 23 86 76 92  97
429  9 86 76 92  90
430 72 87 86 76  92
431 17 88 98 99 100
432 17 88 98 99 101
433 12 88 98 93  94
434  7 88 97 92  90
435 14 88 97 96  94
436 29 88 89 90  92
437 28 88 89 90  91
438 22 89 90 92  97
439 75 89 88 98  99
440 77 89 88 98  93
441 76 89 88 97  92
442 78 89 88 97  96
443  8 90 92 97  96
