################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.7121176720610016E+00 a       161     0     7     1    11
 -1.6773486202682584E+01 a       162     0     7     1    12
  8.6676731368122528E+00 a       163     0     7     1    13
 -1.2293039810028539E+00 a       164     0     7     1    14
 -2.2811823974655120E+01 a       165     0     7     1    15
 -7.1906975038556888E+00 a       166     0     7     1    16
 -1.1100936660627136E+01 a       167     0     7     1    17
  2.5096456515549410E+00 a       168     0     7     1    18
 -8.2830054125661903E+00 a       169     0     7     1    19
  1.4308990630020320E+01 a       170     0     7     1    20
 -1.4211125648871650E+00 a       171     0     7     1    21
 -7.1030788471181472E-01 a       172     0     7     1    22
  1.9855633135275369E+01 a       173     0     7     1    23
 -5.0222825995011018E+00 a       174     0     7     1    24
  2.8336876309217565E+00 a       175     0     7     1    25
  1.2989870863882689E+00 a       176     0     8     1     1
  1.6317155326554985E+01 a       177     0     8     1     2
  1.1299807220875589E+01 a       178     0     8     1     3
  1.6662446968000719E+01 a       179     0     8     1     4
 -2.1148958055015852E+00 a       180     0     8     1     5
  8.0807820713485157E+00 a       181     0     8     1     6
  1.4756928529491644E+00 a       182     0     8     1     7
 -1.8576498548437503E+00 a       183     0     8     1     8
 -6.5803763266761752E+00 a       184     0     8     1     9
 -1.4617321665219620E+01 a       185     0     8     1    10
  2.5420127922121498E+00 a       186     0     8     1    11
 -1.1459546725077542E+01 a       187     0     8     1    12
 -5.7279252792377344E-01 a       188     0     8     1    13
  6.6995479956870465E+00 a       189     0     8     1    14
  6.5026121098595775E+00 a       190     0     8     1    15
 -2.4146992911321604E+01 a       191     0     8     1    16
  1.7592777430005096E+01 a       192     0     8     1    17
 -4.4088079834404530E+00 a       193     0     8     1    18
  2.6619475322128787E+00 a       194     0     8     1    19
 -2.7620162813322896E+01 a       195     0     8     1    20
  1.1312775745303194E+01 a       196     0     8     1    21
  7.8960900397005016E+00 a       197     0     8     1    22
 -9.2584890220611644E+00 a       198     0     8     1    23
 -7.5829075251590856E+00 a       199     0     8     1    24
 -1.5702889381396949E+01 a       200     0     8     1    25
 -6.0639703911359019E-02 a       201     0     9     1     1
 -4.9247565651287832E+00 a       202     0     9     1     2
  1.2106355466042226E+01 a       203     0     9     1     3
 -8.5040672154593562E+00 a       204     0     9     1     4
 -1.9730634072023652E+00 a       205     0     9     1     5
  1.3338172438762994E+00 a       206     0     9     1     6
  1.0403848598882854E+00 a       207     0     9     1     7
  3.1716127040577504E+00 a       208     0     9     1     8
  4.8548323846115409E+00 a       209     0     9     1     9
  2.8285159512886676E-01 a       210     0     9     1    10
 -7.2538963241095287E+00 a       211     0     9     1    11
  5.6605292741969135E+00 a       212     0     9     1    12
 -7.3281447205805028E+00 a       213     0     9     1    13
 -7.2323271523996810E+00 a       214     0     9     1    14
  2.7162165549305191E+00 a       215     0     9     1    15
  4.7371512123906303E+00 a       216     0     9     1    16
 -1.2795462595586067E+00 a       217     0     9     1    17
 -1.2479842668197239E+00 a       218     0     9     1    18
  8.2517482868477465E+00 a       219     0     9     1    19
  1.5771106219004059E+00 a       220     0     9     1    20
  1.1199186705905022E+00 a       221     0     9     1    21
 -2.3206003597031788E-01 a       222     0     9     1    22
 -1.8081347949376255E+01 a       223     0     9     1    23
  6.4100804204621458E+00 a       224     0     9     1    24
  2.0638413110708587E-01 a       225     0     9     1    25
  5.4946010011519562E+00 a       226     0    10     1     1
 -1.0007883449351111E+01 a       227     0    10     1     2
 -4.2092466490417992E+00 a       228     0    10     1     3
 -5.1484334386740827E+00 a       229     0    10     1     4
  3.8492140234244099E+00 a       230     0    10     1     5
  3.7806988156875683E+00 a       231     0    10     1     6
 -3.3355303672289521E-01 a       232     0    10     1     7
  8.5957281207011293E-01 a       233     0    10     1     8
  2.6318043159412694E+00 a       234     0    10     1     9
 -2.0370256057905092E+00 a       235     0    10     1    10
 -6.0705410865883813E+00 a       236     0    10     1    11
  7.7663948435164212E+00 a       237     0    10     1    12
  5.2575997574986886E+00 a       238     0    10     1    13
 -1.0970226410597640E+01 a       239     0    10     1    14
 -8.2022944757991745E+00 a       240     0    10     1    15
  1.4611135167439018E+00 a       241     0    10     1    16
 -9.6067700839357795E-01 a       242     0    10     1    17
  2.8969685517227264E+00 a       243     0    10     1    18
  5.1871728208292078E-01 a       244     0    10     1    19
  5.9723981759776086E+00 a       245     0    10     1    20
 -5.6526426853755227E+00 a       246     0    10     1    21
 -5.7012415503934060E+00 a       247     0    10     1    22
  1.3226673860538469E+01 a       248     0    10     1    23
 -1.1596542017869393E+00 a       249     0    10     1    24
  4.5181717464756330E+00 a       250     0    10     1    25
  2.9081108390343352E-01 a       251     0    11     1     1
  7.0173519357555021E+00 a       252     0    11     1     2
 -2.7343225639603612E+00 a       253     0    11     1     3
  6.7125648985634467E-01 a       254     0    11     1     4
 -1.4389607300831309E+00 a       255     0    11     1     5
  2.0863810552553317E+00 a       256     0    11     1     6
 -2.8278441217480297E+00 a       257     0    11     1     7
 -1.8684390261232542E+00 a       258     0    11     1     8
  1.5173228455949850E+00 a       259     0    11     1     9
 -1.7720802500487582E+00 a       260     0    11     1    10
  2.9615007040584400E+00 a       261     0    11     1    11
  5.5888676956090788E-01 a       262     0    11     1    12
 -4.1893717343842518E-01 a       263     0    11     1    13
 -4.5555017384864960E-01 a       264     0    11     1    14
 -1.2004787116771394E+00 a       265     0    11     1    15
 -4.3671713173561306E+00 a       266     0    11     1    16
  2.6268170207311425E+00 a       267     0    11     1    17
  2.0861374981960101E+00 a       268     0    11     1    18
 -3.9467976641769651E+00 a       269     0    11     1    19
 -2.8568852978075676E+00 a       270     0    11     1    20
 -3.6298673422613743E+00 a       271     0    11     1    21
 -2.3751659557584084E+00 a       272     0    11     1    22
  9.6961030126275300E+00 a       273     0    11     1    23
 -3.8360345397984514E+00 a       274     0    11     1    24
  7.4917832681719021E-01 a       275     0    11     1    25
 -3.8601565331430994E+00 a       276     0    12     1     1
  1.2334085724542578E+00 a       277     0    12     1     2
  1.3883137264471166E+00 a       278     0    12     1     3
  3.5605774607307024E+00 a       279     0    12     1     4
 -5.7819414222489574E+00 a       280     0    12     1     5
 -1.2501210997170223E-01 a       281     0    12     1     6
 -4.2808961405835779E+00 a       282     0    12     1     7
 -7.3252216114344915E+00 a       283     0    12     1     8
  6.0219945070033543E-01 a       284     0    12     1     9
  3.1395849109967169E+00 a       285     0    12     1    10
  3.0305896266861554E+00 a       286     0    12     1    11
 -1.4143455695905820E+00 a       287     0    12     1    12
 -5.4638828890258671E+00 a       288     0    12     1    13
  6.4792557797350705E+00 a       289     0    12     1    14
  4.5371436871747193E+00 a       290     0    12     1    15
 -1.1533461552353546E+00 a       291     0    12     1    16
 -2.3558298927391648E+00 a       292     0    12     1    17
  1.7399171589274749E+00 a       293     0    12     1    18
 -4.8487063398429440E+00 a       294     0    12     1    19
 -5.7033421532043960E-01 a       295     0    12     1    20
 -1.4257707367342978E+00 a       296     0    12     1    21
 -2.6397293314995309E+00 a       297     0    12     1    22
 -2.2627535308920042E+00 a       298     0    12     1    23
 -2.7717009651755204E+00 a       299     0    12     1    24
  2.7387478336632087E+00 a       300     0    12     1    25
  2.4186741478605520E+00 a       301     0    13     1     1
 -3.4944840306430418E+00 a       302     0    13     1     2
  2.1030004854108602E+00 a       303     0    13     1     3
  1.4374186253345995E+00 a       304     0    13     1     4
  1.1617439780972767E+00 a       305     0    13     1     5
 -2.6439447388124258E+00 a       306     0    13     1     6
  2.4329755420814574E+00 a       307     0    13     1     7
 -8.5717844737500770E-01 a       308     0    13     1     8
 -2.3888368245484140E+00 a       309     0    13     1     9
  7.8077425868699946E-01 a       310     0    13     1    10
 -1.6080862934589075E+00 a       311     0    13     1    11
  1.2697401381575075E+00 a       312     0    13     1    12
  1.3337003897559968E-01 a       313     0    13     1    13
 -1.0390225034430518E+00 a       314     0    13     1    14
  1.1220960772378719E+00 a       315     0    13     1    15
  2.1672672073943278E+00 a       316     0    13     1    16
 -7.6556432522471796E-02 a       317     0    13     1    17
 -1.4492561882008852E+00 a       318     0    13     1    18
  3.3180900339831249E-01 a       319     0    13     1    19
  3.1763960484138609E+00 a       320     0    13     1    20
  5.8361392577657190E-01 a       321     0    13     1    21
  9.6511368793992280E-01 a       322     0    13     1    22
 -4.3642051047376942E+00 a       323     0    13     1    23
  2.4130612852273967E+00 a       324     0    13     1    24
  1.0958958229814106E+00 a       325     0    13     1    25
  2.1192597160887914E+00 a       326     0    14     1     1
 -5.0692375773713882E+00 a       327     0    14     1     2
 -2.4507817466810016E+00 a       328     0    14     1     3
  5.8024848653758093E-02 a       329     0    14     1     4
  4.8594499142475156E+00 a       330     0    14     1     5
  3.4489650784571051E+00 a       331     0    14     1     6
  8.5777967991056789E-02 a       332     0    14     1     7
  1.1531915319250103E+00 a       333     0    14     1     8
 -7.9405775334483342E-01 a       334     0    14     1     9
  1.8147497054993594E-01 a       335     0    14     1    10
  2.3750920638956341E-01 a       336     0    14     1    11
  2.6614731814111616E+00 a       337     0    14     1    12
  4.0677517220565420E+00 a       338     0    14     1    13
 -3.9421246902004270E-01 a       339     0    14     1    14
 -2.6358211134625926E+00 a       340     0    14     1    15
  1.1720175187126387E+00 a       341     0    14     1    16
  5.0750718124526617E-01 a       342     0    14     1    17
 -1.3756710203592946E+00 a       343     0    14     1    18
  4.9977012202457938E-01 a       344     0    14     1    19
  1.2218668685289211E+00 a       345     0    14     1    20
  3.1076725758015700E-01 a       346     0    14     1    21
 -1.0132494852704739E+00 a       347     0    14     1    22
  2.4214858213320172E+00 a       348     0    14     1    23
  2.9887204648229995E+00 a       349     0    14     1    24
  3.7431348583028434E-01 a       350     0    14     1    25
 -1.0977916798947627E+00 a       351     0    15     1     1
  1.0701397562333292E+00 a       352     0    15     1     2
 -5.9035817224644660E-01 a       353     0    15     1     3
 -9.0748114915258671E-01 a       354     0    15     1     4
 -1.3253508128910669E+00 a       355     0    15     1     5
  7.8765245831574060E-01 a       356     0    15     1     6
  2.7327135863692200E-02 a       357     0    15     1     7
  4.6463720795787411E-01 a       358     0    15     1     8
  4.9974432422740439E-01 a       359     0    15     1     9
  4.2798717717048357E-01 a       360     0    15     1    10
  6.8710860008055796E-01 a       361     0    15     1    11
  1.7139879331687053E+00 a       362     0    15     1    12
  5.6268488724491939E-01 a       363     0    15     1    13
  6.6750989111862047E-01 a       364     0    15     1    14
  1.4397221680585286E+00 a       365     0    15     1    15
  4.5279750008423403E-01 a       366     0    15     1    16
  5.0866419627153892E-01 a       367     0    15     1    17
  7.3963180657667227E-01 a       368     0    15     1    18
  1.1521887951551322E+00 a       369     0    15     1    19
 -1.4866183272524940E+00 a       370     0    15     1    20
 -1.3616398521253987E+00 a       371     0    15     1    21
  2.6202790834594486E-01 a       372     0    15     1    22
  1.5074957279738481E+00 a       373     0    15     1    23
 -1.6205035893428665E+00 a       374     0    15     1    24
 -1.2998391238039100E+00 a       375     0    15     1    25
 -9.3641853880742010E-01 a       376     0    16     1     1
 -2.7376928409123931E+00 a       377     0    16     1     2
  7.9332155487453226E-01 a       378     0    16     1     3
 -2.8525664756125607E-01 a       379     0    16     1     4
  7.4751196527836983E-01 a       380     0    16     1     5
  1.0249289098173713E+00 a       381     0    16     1     6
 -1.8546442663400537E+00 a       382     0    16     1     7
 -1.0549897952608451E+00 a       383     0    16     1     8
 -6.3630120361611320E-01 a       384     0    16     1     9
  6.6237612981615623E-01 a       385     0    16     1    10
 -5.5448950463878743E-01 a       386     0    16     1    11
  1.2050106911060470E+00 a       387     0    16     1    12
  3.9737497458180110E-01 a       388     0    16     1    13
  5.0109748335825777E-01 a       389     0    16     1    14
  4.0327652547372667E-01 a       390     0    16     1    15
  8.8643064796620796E-01 a       391     0    16     1    16
  4.6304323223345301E-01 a       392     0    16     1    17
 -2.4505895284404668E+00 a       393     0    16     1    18
 -8.4133364692195267E-01 a       394     0    16     1    19
 -1.5110010117067827E+00 a       395     0    16     1    20
  3.4085891522501455E-01 a       396     0    16     1    21
  3.1268038879440385E-01 a       397     0    16     1    22
  7.4003041706355299E-01 a       398     0    16     1    23
  1.2178938914740584E-01 a       399     0    16     1    24
  4.7293074933049455E-02 a       400     0    16     1    25
  3.1553509583631771E+00 a       401     0    17     1     1
 -5.5802418178018307E+00 a       402     0    17     1     2
 -2.6820887513703795E+00 a       403     0    17     1     3
  1.3611233633822425E-02 a       404     0    17     1     4
  4.4816951705937047E+00 a       405     0    17     1     5
 -5.3273421864243655E+00 a       406     0    17     1     6
 -2.8604686865391171E+00 a       407     0    17     1     7
 -6.2409056428356209E+00 a       408     0    17     1     8
 -2.7294113313893482E+00 a       409     0    17     1     9
  8.0447889701632587E+00 a       410     0    17     1    10
  3.7968250901451115E+00 a       411     0    17     1    11
  6.1053141270653644E+00 a       412     0    17     1    12
  7.9575953043010985E+00 a       413     0    17     1    13
 -8.3646321867855189E-01 a       414     0    17     1    14
 -9.8343457754445236E+00 a       415     0    17     1    15
  4.9972748246782395E+00 a       416     0    17     1    16
 -1.4965816328493091E+00 a       417     0    17     1    17
 -1.0029228324415648E+01 a       418     0    17     1    18
  5.2568130437764782E-01 a       419     0    17     1    19
  3.2629819296919251E+00 a       420     0    17     1    20
 -9.4864262172354721E+00 a       421     0    17     1    21
  2.0133320481661512E+00 a       422     0    17     1    22
 -2.5824165220386761E+00 a       423     0    17     1    23
 -3.0623541276912514E+00 a       424     0    17     1    24
  3.6881204417292737E+00 a       425     0    17     1    25
 -3.3612109899887197E+00 a       426     0    18     1     1
  5.3333455077526706E+00 a       427     0    18     1     2
  7.0017063538187496E-01 a       428     0    18     1     3
 -4.6596829239008164E+00 a       429     0    18     1     4
  6.8209756898225093E-01 a       430     0    18     1     5
 -6.5260543610279917E+00 a       431     0    18     1     6
  1.3123829389003430E+00 a       432     0    18     1     7
  2.7715931711063098E+00 a       433     0    18     1     8
  3.5186591355105641E+00 a       434     0    18     1     9
 -4.2634531039835357E+00 a       435     0    18     1    10
 -9.5854201044583798E-01 a       436     0    18     1    11
 -2.0978686052914943E+00 a       437     0    18     1    12
 -8.9772662763029789E+00 a       438     0    18     1    13
  1.9768645811850407E+00 a       439     0    18     1    14
  7.3670408489508361E+00 a       440     0    18     1    15
 -4.5370304619720505E+00 a       441     0    18     1    16
  1.0315059285612109E+00 a       442     0    18     1    17
  3.1023107845720395E+00 a       443     0    18     1    18
  2.7011350909821794E+00 a       444     0    18     1    19
  2.0894755387847144E+00 a       445     0    18     1    20
  6.4298219839784458E+00 a       446     0    18     1    21
 -3.6389216657484109E+00 a       447     0    18     1    22
 -1.9585064481704217E+00 a       448     0    18     1    23
  4.3796564928038269E+00 a       449     0    18     1    24
 -1.5242269046632566E+00 a       450     0    18     1    25
 -1.1444499511491067E+01 a       451     0    19     1     1
 -1.2789689392745718E+01 a       452     0    19     1     2
  3.4789124800619677E+00 a       453     0    19     1     3
  2.2398697525721655E+01 a       454     0    19     1     4
 -2.9517807553388176E+00 a       455     0    19     1     5
  1.0456899770851461E+01 a       456     0    19     1     6
 -2.1774384553060873E+01 a       457     0    19     1     7
 -1.4740422142098448E+00 a       458     0    19     1     8
  2.6104661970128717E+01 a       459     0    19     1     9
 -2.4081133455512077E+01 a       460     0    19     1    10
  1.3007894745410247E+00 a       461     0    19     1    11
 -5.1546596841336223E+00 a       462     0    19     1    12
 -7.0571054726823768E+00 a       463     0    19     1    13
  1.3042438116729291E+00 a       464     0    19     1    14
  1.6928559591291155E+01 a       465     0    19     1    15
 -6.7364772527228753E+00 a       466     0    19     1    16
  2.9369764139126438E+01 a       467     0    19     1    17
 -5.6164540957105666E+00 a       468     0    19     1    18
  2.6381479720783041E-01 a       469     0    19     1    19
  1.1648801072168056E+00 a       470     0    19     1    20
 -9.7621028440308972E+00 a       471     0    19     1    21
 -2.4495819053323867E+01 a       472     0    19     1    22
  2.0487735845785913E+01 a       473     0    19     1    23
  1.5613183880507096E+01 a       474     0    19     1    24
  2.2952898686623944E+00 a       475     0    19     1    25
  6.7784245511731287E+00 a       476     0    20     1     1
  3.7512926040238188E+00 a       477     0    20     1     2
 -1.4090584942884933E+01 a       478     0    20     1     3
 -1.7276730895098403E+01 a       479     0    20     1     4
 -1.2210325416588912E+00 a       480     0    20     1     5
 -1.0767095565801567E+01 a       481     0    20     1     6
  6.5252375427728433E+00 a       482     0    20     1     7
  2.8116557648596285E+00 a       483     0    20     1     8
 -1.0983036930646623E+01 a       484     0    20     1     9
  1.0172907238701352E+01 a       485     0    20     1    10
  8.0436693936395942E-01 a       486     0    20     1    11
  2.6160210876528285E+00 a       487     0    20     1    12
  8.0905039578636317E-01 a       488     0    20     1    13
  3.5280353020086892E+00 a       489     0    20     1    14
 -4.3134519502596707E+00 a       490     0    20     1    15
 -2.7849447275673991E+00 a       491     0    20     1    16
 -7.6081258895571393E+00 a       492     0    20     1    17
  6.8533490599734781E-01 a       493     0    20     1    18
 -8.6739359281855699E-01 a       494     0    20     1    19
 -1.1561786164848851E+01 a       495     0    20     1    20
  4.0807329692500307E+00 a       496     0    20     1    21
  1.5887197851126649E+01 a       497     0    20     1    22
 -1.5862637598212434E+01 a       498     0    20     1    23
 -1.3227492727080636E+01 a       499     0    20     1    24
 -9.6316212012535274E-01 a       500     0    20     1    25
 -2.3311076886477737E+00 a       501     0    21     1     1
  1.6187410207560906E+00 a       502     0    21     1     2
  1.5355275536101967E+00 a       503     0    21     1     3
 -3.2576721366136963E+00 a       504     0    21     1     4
 -3.4761287579904248E+00 a       505     0    21     1     5
  1.1110427672521253E+00 a       506     0    21     1     6
  1.0503832339541006E+00 a       507     0    21     1     7
  2.0002973548997698E+00 a       508     0    21     1     8
  3.2182923729080808E+00 a       509     0    21     1     9
 -2.2459858393943724E+00 a       510     0    21     1    10
  1.2810707973140767E-02 a       511     0    21     1    11
 -8.1563534776190103E+00 a       512     0    21     1    12
 -2.6664870484279217E+00 a       513     0    21     1    13
 -5.2008558789696768E-01 a       514     0    21     1    14
  5.9263359598324783E+00 a       515     0    21     1    15
 -1.4747654590104164E+00 a       516     0    21     1    16
  2.3730444562368276E+00 a       517     0    21     1    17
  5.4231657477361450E+00 a       518     0    21     1    18
 -1.0028220015349436E+00 a       519     0    21     1    19
  3.0119511489549000E-01 a       520     0    21     1    20
  3.2360403670895908E+00 a       521     0    21     1    21
 -3.2353491692288996E+00 a       522     0    21     1    22
 -8.0879941504115449E-01 a       523     0    21     1    23
  9.9370207571285840E-01 a       524     0    21     1    24
 -7.2681059092628819E-01 a       525     0    21     1    25
  8.3413635618117183E+00 a       526     0    22     1     1
  7.3895796140513355E+00 a       527     0    22     1     2
  2.1756697250124180E-01 a       528     0    22     1     3
  2.6543860348781723E-01 a       529     0    22     1     4
 -1.8498516872975808E+00 a       530     0    22     1     5
  1.0502428199989866E+00 a       531     0    22     1     6
